[ARTCC LOW]

Tower CTR LFBA Agen la Garenne           N044.16.44.000 E000.28.29.000 N044.13.48.000 E000.45.33.000
                                         N044.13.48.000 E000.45.33.000 N044.13.07.400 E000.45.50.200
                                         N044.13.07.400 E000.45.50.200 N044.12.26.900 E000.46.06.600
                                         N044.12.26.900 E000.46.06.600 N044.11.45.500 E000.46.18.200
                                         N044.11.45.500 E000.46.18.200 N044.11.03.500 E000.46.24.800
                                         N044.11.03.500 E000.46.24.800 N044.10.21.300 E000.46.26.400
                                         N044.10.21.300 E000.46.26.400 N044.09.39.100 E000.46.23.000
                                         N044.09.39.100 E000.46.23.000 N044.08.57.300 E000.46.14.500
                                         N044.08.57.300 E000.46.14.500 N044.08.16.200 E000.46.01.200
                                         N044.08.16.200 E000.46.01.200 N044.07.36.100 E000.45.43.000
                                         N044.07.36.100 E000.45.43.000 N044.06.57.300 E000.45.20.100
                                         N044.06.57.300 E000.45.20.100 N044.06.20.200 E000.44.52.700
                                         N044.06.20.200 E000.44.52.700 N044.05.44.900 E000.44.20.900
                                         N044.05.44.900 E000.44.20.900 N044.05.11.800 E000.43.45.100
                                         N044.05.11.800 E000.43.45.100 N044.04.41.100 E000.43.05.500
                                         N044.04.41.100 E000.43.05.500 N044.04.13.100 E000.42.22.400
                                         N044.04.13.100 E000.42.22.400 N044.03.47.900 E000.41.36.200
                                         N044.03.47.900 E000.41.36.200 N044.03.25.700 E000.40.47.100
                                         N044.03.25.700 E000.40.47.100 N044.03.06.800 E000.39.55.600
                                         N044.03.06.800 E000.39.55.600 N044.02.56.000 E000.39.07.000
                                         N044.02.56.000 E000.39.07.000 N044.05.39.000 E000.31.05.000
                                         N044.05.39.000 E000.31.05.000 N044.08.31.000 E000.24.40.000
                                         N044.08.31.000 E000.24.40.000 N044.09.13.100 E000.24.31.300
                                         N044.09.13.100 E000.24.31.300 N044.09.55.200 E000.24.24.800
                                         N044.09.55.200 E000.24.24.800 N044.10.37.600 E000.24.23.300
                                         N044.10.37.600 E000.24.23.300 N044.11.19.900 E000.24.26.900
                                         N044.11.19.900 E000.24.26.900 N044.12.01.900 E000.24.35.400
                                         N044.12.01.900 E000.24.35.400 N044.12.43.100 E000.24.48.900
                                         N044.12.43.100 E000.24.48.900 N044.13.23.300 E000.25.07.300
                                         N044.13.23.300 E000.25.07.300 N044.14.02.200 E000.25.30.400
                                         N044.14.02.200 E000.25.30.400 N044.14.39.400 E000.25.58.000
                                         N044.14.39.400 E000.25.58.000 N044.15.14.800 E000.26.29.900
                                         N044.15.14.800 E000.26.29.900 N044.15.48.000 E000.27.05.900
                                         N044.15.48.000 E000.27.05.900 N044.16.18.700 E000.27.45.700
                                         N044.16.18.700 E000.27.45.700 N044.16.44.000 E000.28.29.000

