[ARTCC]

TMA LFBL TMA 1.1 Limoges                 N046.03.25.000 E001.16.38.000 N046.00.16.000 E001.23.58.000
N046.00.16.000 E001.23.58.000 N045.41.55.000 E001.06.43.000
N045.41.55.000 E001.06.43.000 N045.41.58.000 E001.00.58.000
N045.41.58.000 E001.00.58.000 N045.43.23.000 E000.57.50.000
N045.43.23.000 E000.57.50.000 N046.03.25.000 E001.16.38.000

TMA LFBL TMA 1.2 Limoges                 N046.09.12.000 E000.55.00.000 N046.14.19.998 E001.32.47.997
                                         N046.14.19.998 E001.32.47.997 N045.52.10.000 E001.41.30.000
                                         N045.52.10.000 E001.41.30.000 N045.41.44.998 E001.20.30.000
                                         N045.41.44.998 E001.20.30.000 N045.41.58.000 E001.01.05.999
                                         N045.41.58.000 E001.01.05.999 N045.42.03.408 E000.59.47.356
                                         N045.42.03.408 E000.59.47.356 N045.42.22.354 E000.58.05.901
                                         N045.42.22.354 E000.58.05.901 N045.42.53.292 E000.56.30.712
                                         N045.42.53.292 E000.56.30.712 N045.43.35.281 E000.55.04.668
                                         N045.43.35.281 E000.55.04.668 N045.44.27.043 E000.53.50.400
                                         N045.44.27.043 E000.53.50.400 N045.45.27.013 E000.52.50.155
                                         N045.45.27.013 E000.52.50.155 N045.46.33.360 E000.52.05.759
                                         N045.46.33.360 E000.52.05.759 N045.47.44.071 E000.51.38.580
                                         N045.47.44.071 E000.51.38.580 N045.47.56.000 E000.51.36.000
                                         N045.47.56.000 E000.51.36.000 N045.50.30.000 E000.54.30.000
                                         N045.50.30.000 E000.54.30.000 N046.09.12.000 E000.55.00.000

TMA LFBL TMA 2 Limoges                   N045.47.56.000 E000.51.36.000 N045.47.44.071 E000.51.38.580
                                         N045.47.44.071 E000.51.38.580 N045.46.33.360 E000.52.05.759
                                         N045.46.33.360 E000.52.05.759 N045.45.27.013 E000.52.50.155
                                         N045.45.27.013 E000.52.50.155 N045.44.27.043 E000.53.50.400
                                         N045.44.27.043 E000.53.50.400 N045.43.35.281 E000.55.04.668
                                         N045.43.35.281 E000.55.04.668 N045.42.53.292 E000.56.30.712
                                         N045.42.53.292 E000.56.30.712 N045.42.22.354 E000.58.05.901
                                         N045.42.22.354 E000.58.05.901 N045.42.03.408 E000.59.47.356
                                         N045.42.03.408 E000.59.47.356 N045.41.58.000 E001.01.05.999
                                         N045.41.58.000 E001.01.05.999 N045.41.44.998 E001.20.30.000
                                         N045.41.44.998 E001.20.30.000 N045.33.55.000 E001.15.42.000
                                         N045.33.55.000 E001.15.42.000 N045.33.21.756 E001.14.26.734
                                         N045.33.21.756 E001.14.26.734 N045.32.02.201 E001.10.21.948
                                         N045.32.02.201 E001.10.21.948 N045.31.13.479 E001.06.01.062
                                         N045.31.13.479 E001.06.01.062 N045.30.57.073 E001.01.31.999
                                         N045.30.57.073 E001.01.31.999 N045.31.13.479 E000.57.02.934
                                         N045.31.13.479 E000.57.02.934 N045.32.02.201 E000.52.42.048
                                         N045.32.02.201 E000.52.42.048 N045.33.21.756 E000.48.37.262
                                         N045.33.21.756 E000.48.37.262 N045.35.09.726 E000.44.56.012
                                         N045.35.09.726 E000.44.56.012 N045.37.22.836 E000.41.45.032
                                         N045.37.22.836 E000.41.45.032 N045.37.59.000 E000.41.06.000
                                         N045.37.59.000 E000.41.06.000 N045.46.56.998 E000.50.32.998
                                         N045.46.56.998 E000.50.32.998 N045.47.56.000 E000.51.36.000

TMA LFBL TMA 3 Limoges                   N046.26.20.000 E000.55.09.997 N046.20.00.000 E002.11.53.999
                                         N046.20.00.000 E002.11.53.999 N046.07.27.998 E002.11.53.999
                                         N046.07.27.998 E002.11.53.999 N045.52.10.000 E001.41.30.000
                                         N045.52.10.000 E001.41.30.000 N046.14.19.998 E001.32.47.997
                                         N046.14.19.998 E001.32.47.997 N046.09.12.000 E000.55.00.000
                                         N046.09.12.000 E000.55.00.000 N046.26.20.000 E000.55.09.997

TMA LFBL TMA 4 Limoges                   N045.49.19.000 W000.04.23.000 N045.48.48.999 E000.08.00.000
                                         N045.48.48.999 E000.08.00.000 N045.48.31.000 E000.15.30.000
                                         N045.48.31.000 E000.15.30.000 N045.47.43.999 E000.33.00.000
                                         N045.47.43.999 E000.33.00.000 N045.54.32.999 E000.54.36.000
                                         N045.54.32.999 E000.54.36.000 N045.50.30.000 E000.54.30.000
                                         N045.50.30.000 E000.54.30.000 N045.46.56.998 E000.50.32.998
                                         N045.46.56.998 E000.50.32.998 N045.35.55.999 E000.39.00.000
                                         N045.35.55.999 E000.39.00.000 N045.30.03.999 E000.32.52.000
                                         N045.30.03.999 E000.32.52.000 N045.36.30.000 E000.26.15.998
                                         N045.36.30.000 E000.26.15.998 N045.37.56.000 W000.06.00.000
                                         N045.37.56.000 W000.06.00.000 N045.39.59.999 W000.09.01.000
                                         N045.39.59.999 W000.09.01.000 N045.40.41.924 W000.09.08.261
                                         N045.40.41.924 W000.09.08.261 N045.41.39.000 W000.09.28.000
                                         N045.41.39.000 W000.09.28.000 N045.49.19.000 W000.04.23.000

TMA LFBL TMA 5 Limoges                   N045.49.19.000 W000.04.23.000 N045.48.48.999 E000.08.00.000
                                         N045.48.48.999 E000.08.00.000 N045.48.31.000 E000.15.30.000
                                         N045.48.31.000 E000.15.30.000 N045.47.43.999 E000.33.00.000
                                         N045.47.43.999 E000.33.00.000 N045.54.32.999 E000.54.36.000
                                         N045.54.32.999 E000.54.36.000 N045.50.30.000 E000.54.30.000
                                         N045.50.30.000 E000.54.30.000 N045.46.56.998 E000.50.32.998
                                         N045.46.56.998 E000.50.32.998 N045.35.55.999 E000.39.00.000
                                         N045.35.55.999 E000.39.00.000 N045.30.03.999 E000.32.52.000
                                         N045.30.03.999 E000.32.52.000 N045.36.30.000 E000.26.15.998
                                         N045.36.30.000 E000.26.15.998 N045.37.56.000 W000.06.00.000
                                         N045.37.56.000 W000.06.00.000 N045.39.59.999 W000.09.01.000
                                         N045.39.59.999 W000.09.01.000 N045.40.41.924 W000.09.08.261
                                         N045.40.41.924 W000.09.08.261 N045.41.39.000 W000.09.28.000
                                         N045.41.39.000 W000.09.28.000 N045.49.19.000 W000.04.23.000

TMA LFBL TMA 6.2 Limoges                 N045.09.59.999 E001.31.59.998 N045.02.59.999 E001.53.34.000
                                         N045.02.59.999 E001.53.34.000 N045.02.10.999 E001.53.36.253
                                         N045.02.10.999 E001.53.36.253 N044.59.13.898 E001.53.14.326
                                         N044.59.13.898 E001.53.14.326 N044.56.22.178 E001.52.09.215
                                         N044.56.22.178 E001.52.09.215 N044.53.41.057 E001.50.22.896
                                         N044.53.41.057 E001.50.22.896 N044.51.15.429 E001.47.58.595
                                         N044.51.15.429 E001.47.58.595 N044.49.09.721 E001.45.00.703
                                         N044.49.09.721 E001.45.00.703 N044.48.48.999 E001.44.22.997
                                         N044.48.48.999 E001.44.22.997 N044.57.49.000 E001.16.30.999
                                         N044.57.49.000 E001.16.30.999 N044.46.15.997 E001.21.30.000
                                         N044.46.15.997 E001.21.30.000 N044.46.48.998 E001.28.39.000
                                         N044.46.48.998 E001.28.39.000 N044.46.05.999 E001.46.19.000
                                         N044.46.05.999 E001.46.19.000 N044.46.51.850 E001.47.44.418
                                         N044.46.51.850 E001.47.44.418 N044.49.19.741 E001.51.13.703
                                         N044.49.19.741 E001.51.13.703 N044.52.11.065 E001.54.03.463
                                         N044.52.11.065 E001.54.03.463 N044.55.20.622 E001.56.08.546
                                         N044.55.20.622 E001.56.08.546 N044.58.42.645 E001.57.25.152
