;=============================================== ~~ LFBB/LFCR/LFBB/LFCR/Gates ~~ =================================================;
N044.24.34.715:E002.29.01.665:LFCR Gates:1
N044.24.33.695:E002.29.04.405:LFCR Gates:2
N044.24.31.885:E002.29.05.900:LFCR Gates:3
N044.24.32.295:E002.29.05.955:LFCR Gates:4
N044.24.32.875:E002.29.06.600:LFCR Gates:5
N044.24.30.645:E002.29.07.655:LFCR Gates:7
N044.24.31.145:E002.29.08.805:LFCR Gates:8
N044.24.31.634:E002.29.08.765:LFCR Gates:9
N044.24.41.260:E002.28.55.250:LFCR Gates:Hangar
N044.24.34.690:E002.29.06.880:LFCR Gates:Hangar
N044.24.41.925:E002.28.53.095:LFCR Gates:AVT
N044.24.37.505:E002.29.01.415:LFCR Gates:TWR
N044.24.38.565:E002.28.59.735:LFCR Gates:Terminal
;=============================================== ~~ LFBB/LFCR/Taxiways ~~ ================================================;
N044.24.29.775:E002.29.01.685:LFCR Taxiways:C
N044.24.32.785:E002.29.02.485:LFCR Taxiways:A1
N044.24.30.495:E002.29.06.105:LFCR Taxiways:A2
N044.24.36.965:E002.28.58.605:LFCR Taxiways:A3
;============================================== ~~ 
