[ARTCC]
TMA LFSB TMA Bale Mulhouse               N047.34.08.000 E007.41.10.000 N047.33.02.000 E007.41.02.000
                                         N047.33.02.000 E007.41.02.000 N047.34.39.000 E007.24.56.000
                                         N047.34.39.000 E007.24.56.000 N047.28.55.000 E007.23.41.000
                                         N047.28.55.000 E007.23.41.000 N047.29.03.560 E007.23.14.052
                                         N047.29.03.560 E007.23.14.052 N047.29.52.588 E007.21.15.005
                                         N047.29.52.588 E007.21.15.005 N047.30.53.545 E007.19.28.837
                                         N047.30.53.545 E007.19.28.837 N047.32.04.943 E007.17.58.161
                                         N047.32.04.943 E007.17.58.161 N047.33.25.032 E007.16.45.210
                                         N047.33.25.032 E007.16.45.210 N047.34.51.852 E007.15.51.780
                                         N047.34.51.852 E007.15.51.780 N047.36.23.271 E007.15.19.186
                                         N047.36.23.271 E007.15.19.186 N047.37.57.045 E007.15.08.232
                                         N047.37.57.045 E007.15.08.232 N047.39.30.865 E007.15.19.186
                                         N047.39.30.865 E007.15.19.186 N047.41.02.420 E007.15.51.780
                                         N047.41.02.420 E007.15.51.780 N047.42.29.451 E007.16.45.210
                                         N047.42.29.451 E007.16.45.210 N047.43.49.807 E007.17.58.161
                                         N047.43.49.807 E007.17.58.161 N047.45.01.499 E007.19.28.837
                                         N047.45.01.499 E007.19.28.837 N047.45.37.000 E007.20.24.000
                                         N047.45.37.000 E007.20.24.000 N047.45.26.763 E007.21.39.032
                                         N047.45.26.763 E007.21.39.032 N047.45.22.000 E007.22.29.000
                                         N047.45.22.000 E007.22.29.000 N047.46.00.000 E007.23.00.000
                                         N047.46.00.000 E007.23.00.000 N047.48.52.000 E007.32.46.000
                                         N047.50.11.000 E007.33.39.000 N047.44.37.000 E007.38.00.000
                                         N047.44.37.000 E007.38.00.000 N047.40.04.000 E007.36.24.000
                                         N047.40.04.000 E007.36.24.000 N047.46.00.000 E007.32.00.000
                                         N047.46.00.000 E007.32.00.000 N047.46.22.080 E007.31.48.612
                                         N047.46.22.080 E007.31.48.612 N047.46.57.180 E007.31.48.108
                                         N047.46.57.180 E007.31.48.108 N047.47.12.876 E007.31.52.896
                                         N047.47.12.876 E007.31.52.896 N047.48.12.420 E007.32.27.888
                                         N047.48.12.420 E007.32.27.888 N047.48.45.612 E007.32.45.096
                                         N047.48.45.612 E007.32.45.096 N047.48.52.000 E007.32.46.000
                                         N047.48.52.000 E007.32.46.000 N047.49.22.548 E007.32.59.820
                                         N047.49.22.548 E007.32.59.820 N047.50.06.216 E007.33.33.264
                                         N047.50.06.216 E007.33.33.264 N047.50.11.000 E007.33.39.000
                                         N047.44.37.000 E007.38.00.000 N047.35.12.000 E007.45.19.000
                                         N047.35.12.000 E007.45.19.000 N047.34.04.000 E007.41.13.000
                                         N047.34.04.000 E007.41.13.000 N047.34.08.000 E007.41.10.000
                                         N047.34.08.000 E007.41.10.000 N047.40.04.000 E007.36.24.000
                                         N047.50.11.000 E007.33.39.000 N047.50.19.932 E007.33.41.580
                                         N047.50.19.932 E007.33.41.580 N047.50.38.724 E007.33.47.376
                                         N047.50.38.724 E007.33.47.376 N047.51.04.248 E007.33.48.204
                                         N047.51.04.248 E007.33.48.204 N047.51.28.116 E007.33.38.664
                                         N047.51.28.116 E007.33.38.664 N047.51.49.140 E007.33.26.280
                                         N047.51.49.140 E007.33.26.280 N047.51.58.644 E007.33.22.356
                                         N047.51.58.644 E007.33.22.356 N047.52.13.908 E007.33.20.340
                                         N047.52.13.908 E007.33.20.340 N047.52.26.724 E007.33.19.620
                                         N047.52.26.724 E007.33.19.620 N047.52.45.732 E007.33.23.652
                                         N047.52.45.732 E007.33.23.652 N047.52.56.676 E007.33.32.976
                                         N047.52.56.676 E007.33.32.976 N047.53.08.340 E007.33.48.924
                                         N047.53.08.340 E007.33.48.924 N047.53.26.628 E007.34.33.348
                                         N047.53.26.628 E007.34.33.348 N047.53.41.820 E007.34.50.664
                                         N047.53.41.820 E007.34.50.664 N047.53.53.736 E007.34.57.108
                                         N047.53.53.736 E007.34.57.108 N047.54.12.276 E007.34.58.548
                                         N047.54.12.276 E007.34.58.548 N047.54.19.944 E007.34.57.540
                                         N047.54.19.944 E007.34.57.540 N047.55.14.772 E007.34.51.636
                                         N047.55.14.772 E007.34.51.636 N047.55.26.904 E007.34.49.980
                                         N047.55.26.904 E007.34.49.980 N047.55.36.948 E007.34.51.672
                                         N047.55.36.948 E007.34.51.672 N047.55.47.640 E007.34.57.540
                                         N047.55.47.640 E007.34.57.540 N047.56.00.000 E007.35.06.000
                                         N047.56.00.000 E007.35.06.000 N047.41.49.000 E007.44.58.000
                                         N047.41.49.000 E007.44.58.000 N047.35.12.000 E007.45.19.000
                                         N047.56.00.000 E007.35.06.000 N047.56.05.352 E007.35.08.520
                                         N047.56.05.352 E007.35.08.520 N047.56.17.700 E007.35.22.200
                                         N047.56.17.700 E007.35.22.200 N047.56.54.852 E007.36.12.096
                                         N047.56.54.852 E007.36.12.096 N047.57.12.456 E007.36.32.652
                                         N047.57.12.456 E007.36.32.652 N047.57.29.520 E007.36.46.584
                                         N047.57.29.520 E007.36.46.584 N047.57.48.996 E007.37.02.460
                                         N047.57.48.996 E007.37.02.460 N047.58.09.444 E007.37.16.140
                                         N047.58.09.444 E007.37.16.140 N047.58.22.044 E007.37.19.632
                                         N047.58.22.044 E007.37.19.632 N047.58.31.620 E007.37.19.200
                                         N047.58.31.620 E007.37.19.200 N047.59.09.204 E007.37.07.140
                                         N047.59.09.204 E007.37.07.140 N047.59.36.204 E007.36.52.092
                                         N047.59.36.204 E007.36.52.092 N048.00.01.224 E007.36.30.924
                                         N048.00.01.224 E007.36.30.924 N048.00.14.580 E007.36.18.288
                                         N048.00.14.580 E007.36.18.288 N048.01.29.640 E007.34.42.492
                                         N048.01.29.640 E007.34.42.492 N048.01.45.696 E007.34.22.476
                                         N048.01.45.696 E007.34.22.476 N048.01.55.560 E007.34.14.880
                                         N048.01.55.560 E007.34.14.880 N048.01.57.000 E007.34.13.800
                                         N048.01.57.000 E007.34.13.800 N048.01.59.520 E007.34.12.360
                                         N048.01.59.520 E007.34.12.360 N048.02.02.760 E007.34.11.280
                                         N048.02.02.760 E007.34.11.280 N048.02.07.080 E007.34.10.200
                                         N048.02.07.080 E007.34.10.200 N048.02.10.680 E007.34.10.200
                                         N048.02.10.680 E007.34.10.200 N048.02.15.360 E007.34.10.920
                                         N048.02.15.360 E007.34.10.920 N048.02.18.960 E007.34.11.640
                                         N048.02.18.960 E007.34.11.640 N048.02.27.600 E007.34.15.240
                                         N048.02.27.600 E007.34.15.240 N048.02.33.720 E007.34.17.400
                                         N048.02.33.720 E007.34.17.400 N048.02.41.280 E007.34.20.640
                                         N048.02.41.280 E007.34.20.640 N048.02.48.840 E007.34.23.160
                                         N048.02.48.840 E007.34.23.160 N048.03.01.800 E007.34.26.760
                                         N048.03.01.800 E007.34.26.760 N048.03.04.680 E007.34.27.480
                                         N048.03.04.680 E007.34.27.480 N048.03.07.920 E007.34.27.840
                                         N048.03.07.920 E007.34.27.840 N048.03.12.960 E007.34.27.840
                                         N048.03.12.960 E007.34.27.840 N048.03.20.160 E007.34.27.480
                                         N048.03.20.160 E007.34.27.480 N048.03.27.360 E007.34.26.400
                                         N048.03.27.360 E007.34.26.400 N048.03.42.480 E007.34.23.160
                                         N048.03.42.480 E007.34.23.160 N048.04.19.560 E007.34.14.880
                                         N048.04.19.560 E007.34.14.880 N048.04.38.640 E007.34.10.920
                                         N048.04.38.640 E007.34.10.920 N048.04.47.640 E007.34.09.840
                                         N048.04.47.640 E007.34.09.840 N048.04.52.320 E007.34.10.200
                                         N048.04.52.320 E007.34.10.200 N048.04.53.000 E007.34.10.000
                                         N048.04.53.000 E007.34.10.000 N048.06.00.000 E007.58.00.000
                                         N048.06.00.000 E007.58.00.000 N047.47.20.000 E007.47.55.000
                                         N047.47.20.000 E007.47.55.000 N047.41.49.000 E007.44.58.000
                                         N048.14.09.000 E007.05.31.000 N048.13.42.000 E007.13.52.000
                                         N048.13.42.000 E007.13.52.000 N048.13.15.000 E007.22.20.000
                                         N048.13.15.000 E007.22.20.000 N048.13.14.000 E007.23.59.000
                                         N048.13.14.000 E007.23.59.000 N048.13.02.000 E007.39.42.000
                                         N048.13.02.000 E007.39.42.000 N048.12.59.400 E007.39.41.040
                                         N048.12.59.400 E007.39.41.040 N048.12.56.880 E007.39.36.720
                                         N048.12.56.880 E007.39.36.720 N048.12.52.200 E007.39.27.360
                                         N048.12.52.200 E007.39.27.360 N048.12.40.320 E007.39.01.080
                                         N048.12.40.320 E007.39.01.080 N048.12.35.280 E007.38.51.360
                                         N048.12.35.280 E007.38.51.360 N048.12.31.320 E007.38.44.880
                                         N048.12.31.320 E007.38.44.880 N048.12.28.800 E007.38.41.280
                                         N048.12.28.800 E007.38.41.280 N048.12.24.120 E007.38.36.600
                                         N048.12.24.120 E007.38.36.600 N048.12.19.440 E007.38.32.640
                                         N048.12.19.440 E007.38.32.640 N048.12.10.080 E007.38.26.160
                                         N048.12.10.080 E007.38.26.160 N048.11.56.760 E007.38.17.880
                                         N048.11.56.760 E007.38.17.880 N048.11.47.760 E007.38.12.480
                                         N048.11.47.760 E007.38.12.480 N048.11.38.760 E007.38.07.440
                                         N048.11.38.760 E007.38.07.440 N048.11.20.040 E007.37.56.280
                                         N048.11.20.040 E007.37.56.280 N048.11.13.920 E007.37.53.040
                                         N048.11.13.920 E007.37.53.040 N048.11.07.440 E007.37.48.360
                                         N048.11.07.440 E007.37.48.360 N048.10.58.080 E007.37.40.800
                                         N048.10.58.080 E007.37.40.800 N048.10.51.960 E007.37.35.400
                                         N048.10.51.960 E007.37.35.400 N048.10.47.640 E007.37.30.720
                                         N048.10.47.640 E007.37.30.720 N048.10.35.400 E007.37.17.040
                                         N048.10.35.400 E007.37.17.040 N048.10.23.160 E007.37.02.640
                                         N048.10.23.160 E007.37.02.640 N048.10.14.880 E007.36.53.280
                                         N048.10.14.880 E007.36.53.280 N048.09.55.440 E007.36.30.960
                                         N048.09.55.440 E007.36.30.960 N048.09.45.360 E007.36.19.080
                                         N048.09.45.360 E007.36.19.080 N048.09.34.560 E007.36.06.840
                                         N048.09.34.560 E007.36.06.840 N048.09.32.040 E007.36.04.680
                                         N048.09.32.040 E007.36.04.680 N048.09.30.600 E007.36.03.600
                                         N048.09.30.600 E007.36.03.600 N048.09.27.720 E007.36.01.800
                                         N048.09.27.720 E007.36.01.800 N048.09.24.120 E007.36.00.000
                                         N048.09.24.120 E007.36.00.000 N048.09.18.000 E007.35.57.840
                                         N048.09.18.000 E007.35.57.840 N048.09.09.720 E007.35.55.680
                                         N048.09.09.720 E007.35.55.680 N048.09.06.480 E007.35.55.320
                                         N048.09.06.480 E007.35.55.320 N048.09.00.720 E007.35.55.320
                                         N048.09.00.720 E007.35.55.320 N048.08.57.840 E007.35.55.680
                                         N048.08.57.840 E007.35.55.680 N048.08.49.920 E007.35.57.840
                                         N048.08.49.920 E007.35.57.840 N048.08.32.280 E007.36.02.160
                                         N048.08.32.280 E007.36.02.160 N048.08.25.440 E007.36.02.160
                                         N048.08.25.440 E007.36.02.160 N048.08.21.120 E007.36.01.080
                                         N048.08.21.120 E007.36.01.080 N048.08.14.640 E007.35.58.560
                                         N048.08.14.640 E007.35.58.560 N048.08.07.080 E007.35.54.240
                                         N048.08.07.080 E007.35.54.240 N048.08.02.040 E007.35.49.920
                                         N048.08.02.040 E007.35.49.920 N048.07.57.720 E007.35.44.880
                                         N048.07.57.720 E007.35.44.880 N048.07.51.960 E007.35.35.880
                                         N048.07.51.960 E007.35.35.880 N048.07.48.000 E007.35.28.320
                                         N048.07.48.000 E007.35.28.320 N048.07.46.200 E007.35.24.000
                                         N048.07.46.200 E007.35.24.000 N048.07.42.960 E007.35.15.000
                                         N048.07.42.960 E007.35.15.000 N048.07.41.160 E007.35.11.760
                                         N048.07.41.160 E007.35.11.760 N048.07.38.280 E007.35.04.200
                                         N048.07.38.280 E007.35.04.200 N048.07.34.680 E007.34.57.360
                                         N048.07.34.680 E007.34.57.360 N048.07.30.360 E007.34.50.520
                                         N048.07.30.360 E007.34.50.520 N048.07.27.120 E007.34.46.560
                                         N048.07.27.120 E007.34.46.560 N048.07.24.240 E007.34.43.680
                                         N048.07.24.240 E007.34.43.680 N048.07.22.080 E007.34.41.880
                                         N048.07.22.080 E007.34.41.880 N048.07.16.680 E007.34.39.000
