[ARTCC]

TMA LFOA TMA 1.1 Avord                   N047.21.13.000 E002.22.41.000 N047.21.13.000 E002.59.30.000
                                         N047.21.13.000 E002.59.30.000 N047.15.41.000 E003.11.08.000
                                         N047.15.41.000 E003.11.08.000 N047.11.22.000 E003.14.10.000
                                         N047.11.22.000 E003.14.10.000 N047.07.17.000 E003.11.24.000
                                         N047.07.17.000 E003.11.24.000 N047.06.27.000 E003.11.03.000
                                         N047.06.27.000 E003.11.03.000 N047.05.33.000 E003.06.03.000
                                         N047.05.33.000 E003.06.03.000 N047.04.01.382 E003.06.11.207
                                         N047.04.01.382 E003.06.11.207 N047.01.22.577 E003.06.03.065
                                         N047.01.22.577 E003.06.03.065 N046.58.46.219 E003.05.22.555
                                         N046.58.46.219 E003.05.22.555 N046.56.15.339 E003.04.10.465
                                         N046.56.15.339 E003.04.10.465 N046.53.52.859 E003.02.28.197
                                         N046.53.52.859 E003.02.28.197 N046.51.41.530 E003.00.17.742
                                         N046.51.41.530 E003.00.17.742 N046.49.43.883 E002.57.41.638
                                         N046.49.43.883 E002.57.41.638 N046.48.02.182 E002.54.42.924
                                         N046.48.02.182 E002.54.42.924 N046.46.38.378 E002.51.25.076
                                         N046.46.38.378 E002.51.25.076 N046.45.34.080 E002.47.51.946
                                         N046.45.34.080 E002.47.51.946 N046.44.50.518 E002.44.07.683
                                         N046.44.50.518 E002.44.07.683 N046.44.28.527 E002.40.16.651
                                         N046.44.28.527 E002.40.16.651 N046.44.28.527 E002.36.23.349
                                         N046.44.28.527 E002.36.23.349 N046.44.50.518 E002.32.32.318
                                         N046.44.50.518 E002.32.32.318 N046.45.34.080 E002.28.48.055
                                         N046.45.34.080 E002.28.48.055 N046.46.38.378 E002.25.14.925
                                         N046.46.38.378 E002.25.14.925 N046.48.02.182 E002.21.57.077
                                         N046.48.02.182 E002.21.57.077 N046.49.43.883 E002.18.58.362
                                         N046.49.43.883 E002.18.58.362 N046.51.41.530 E002.16.22.258
                                         N046.51.41.530 E002.16.22.258 N046.53.52.859 E002.14.11.803
                                         N046.53.52.859 E002.14.11.803 N046.56.15.339 E002.12.29.536
                                         N046.56.15.339 E002.12.29.536 N046.58.46.219 E002.11.17.446
                                         N046.58.46.219 E002.11.17.446 N047.01.22.577 E002.10.36.936
                                         N047.01.22.577 E002.10.36.936 N047.04.01.382 E002.10.28.794
                                         N047.04.01.382 E002.10.28.794 N047.06.39.543 E002.10.53.179
                                         N047.06.39.543 E002.10.53.179 N047.09.13.977 E002.11.49.617
                                         N047.09.13.977 E002.11.49.617 N047.11.41.667 E002.13.17.008
                                         N047.11.41.667 E002.13.17.008 N047.13.59.717 E002.15.13.654
                                         N047.13.59.717 E002.15.13.654 N047.14.18.000 E002.15.26.000
                                         N047.14.18.000 E002.15.26.000 N047.21.13.000 E002.22.41.000
										 
TMA LFOA TMA 1.2 Avord                   N047.08.39.000 E002.11.30.000 N047.07.15.000 E002.22.17.000
N047.07.15.000 E002.22.17.000 N047.05.39.000 E002.25.32.000
N047.05.39.000 E002.25.32.000 N047.04.57.971 E002.25.19.931
N047.04.57.971 E002.25.19.931 N047.03.43.076 E002.25.08.380
N047.03.43.076 E002.25.08.380 N047.02.36.000 E002.25.11.000
N047.02.36.000 E002.25.11.000 N047.01.35.000 E002.23.25.000
N047.01.35.000 E002.23.25.000 N047.03.17.000 E002.18.35.000
N047.03.17.000 E002.18.35.000 N047.01.00.000 E002.10.41.000
N047.01.00.000 E002.10.41.000 N047.01.22.577 E002.10.36.936
N047.01.22.577 E002.10.36.936 N047.04.01.382 E002.10.28.794
N047.04.01.382 E002.10.28.794 N047.06.39.543 E002.10.53.179
N047.06.39.543 E002.10.53.179 N047.08.39.000 E002.11.30.000										 

TMA LFOA TMA 2 Avord                     N047.06.27.000 E003.11.03.000 N046.59.00.000 E003.23.00.000
                                         N046.59.00.000 E003.23.00.000 N046.43.41.000 E003.18.47.000
                                         N046.43.41.000 E003.18.47.000 N046.46.33.000 E002.51.08.000
                                         N046.46.33.000 E002.51.08.000 N046.46.38.378 E002.51.25.076
                                         N046.46.38.378 E002.51.25.076 N046.48.02.182 E002.54.42.924
                                         N046.48.02.182 E002.54.42.924 N046.49.43.883 E002.57.41.638
                                         N046.49.43.883 E002.57.41.638 N046.51.41.530 E003.00.17.742
                                         N046.51.41.530 E003.00.17.742 N046.53.52.859 E003.02.28.197
                                         N046.53.52.859 E003.02.28.197 N046.56.15.339 E003.04.10.465
                                         N046.56.15.339 E003.04.10.465 N046.58.46.219 E003.05.22.555
                                         N046.58.46.219 E003.05.22.555 N047.01.22.577 E003.06.03.065
                                         N047.01.22.577 E003.06.03.065 N047.04.01.382 E003.06.11.207
                                         N047.04.01.382 E003.06.11.207 N047.05.33.000 E003.06.03.000
                                         N047.05.33.000 E003.06.03.000 N047.06.27.000 E003.11.03.000
