;================================================= ~~ LFFF/LFPB/Gates ~~ =================================================;
N048.58.03.011:E002.26.51.517:LFPB Gates:P1
N048.57.47.789:E002.26.59.333:LFPB Gates:M1
N048.57.46.759:E002.26.53.184:LFPB Gates:M2
N048.57.46.273:E002.26.49.913:LFPB Gates:M3
N048.57.46.530:E002.26.45.640:LFPB Gates:M4
N048.57.42.337:E002.26.45.533:LFPB Gates:D
N048.57.35.361:E002.26.39.115:LFPB Gates:F1
N048.57.31.031:E002.26.35.814:LFPB Gates:F2
N048.57.26.022:E002.26.32.072:LFPB Gates:I
N048.57.22.000:E002.26.29.000:LFPB Gates:K1
N048.57.19.000:E002.26.27.000:LFPB Gates:K2
N048.57.15.927:E002.26.25.548:LFPB Gates:Z1
N048.57.13.379:E002.26.23.708:LFPB Gates:Z2
N048.57.11.279:E002.26.22.005:LFPB Gates:H1
N048.57.08.731:E002.26.19.961:LFPB Gates:H2
N048.57.06.497:E002.26.17.916:LFPB Gates:H3
N048.57.04.173:E002.26.15.736:LFPB Gates:H4
N048.57.01.893:E002.26.13.692:LFPB Gates:H5
N048.57.00.491:E002.26.07.151:LFPB Gates:T
N048.56.56.133:E002.25.52.246:LFPB Gates:G1
N048.57.02.726:E002.25.56.845:LFPB Gates:G2
N048.57.14.318:E002.26.14.237:LFPB Gates:L1
N048.57.14.720:E002.26.08.445:LFPB Gates:L2
N048.57.18.832:E002.26.17.916:LFPB Gates:N
N048.57.22.719:E002.26.19.573:LFPB Gates:J
N048.57.24.325:E002.26.14.463:LFPB Gates:J
N048.57.30.676:E002.26.24.662:LFPB Gates:F3
N048.57.32.910:E002.26.21.255:LFPB Gates:F3
N048.57.38.969:E002.26.27.746:LFPB Gates:E
N048.56.50.323:E002.25.49.946:LFPB Gates:S
N048.57.19.952:E002.26.04.842:LFPB Gates:Q
N048.57.45.000:E002.26.57.000:LFPB Gates:ASTON SKY
N048.57.38.826:E002.26.51.207:LFPB Gates:DASSAULT FALCON SERVICE
N048.57.29.660:E002.26.44.686:LFPB Gates:SIGNATURE
N048.57.19.534:E002.26.37.500:LFPB Gates:SKYVALET
N048.57.13.947:E002.26.33.641:LFPB Gates:SIGNATURE
N048.57.04.138:E002.26.26.554:LFPB Gates:UNIVERSAL
N048.57.01.628:E002.26.24.558:LFPB Gates:ADVANCED AIR SUPPORT
N048.57.00.452:E002.26.16.345:LFPB Gates:JETEX
;============================================== ~~ LFFF/LFPB/Points VFR ~~ ===============================================;
N048.53.55.000:E002.33.26.000:LFPB Points VFR:E1
N049.00.00.000:E002.11.06.000:LFPB Points VFR:W1
N048.55.56.000:E002.28.51.000:LFPB Points VFR:E2
N048.58.27.000:E002.21.57.000:LFPB Points VFR:W2
;=============================================== ~~ LFFF/LFPB/Taxiways ~~ ================================================;
N048.57.59.729:E002.26.41.510:LFPB Taxiways:B
N048.58.09.025:E002.26.50.777:LFPB Taxiways:B
N048.58.13.718:E002.27.08.083:LFPB Taxiways:B
N048.58.20.288:E002.27.27.366:LFPB Taxiways:B
N048.58.12.817:E002.27.00.301:LFPB Taxiways:BN2
N048.58.08.137:E002.26.39.048:LFPB Taxiways:B1
N048.57.56.886:E002.25.53.416:LFPB Taxiways:R1
N048.57.52.171:E002.25.31.852:LFPB Taxiways:A1
N048.58.04.608:E002.26.31.977:LFPB Taxiways:C4
N048.58.07.897:E002.27.00.571:LFPB Taxiways:N2
N048.58.01.908:E002.27.04.796:LFPB Taxiways:N2
N048.58.17.574:E002.27.18.474:LFPB Taxiways:NR6
N048.58.13.855:E002.27.20.982:LFPB Taxiways:NB
N048.57.51.371:E002.26.46.479:LFPB Taxiways:W4
N048.57.55.291:E002.27.03.246:LFPB Taxiways:W4
N048.57.51.617:E002.26.41.821:LFPB Taxiways:W3
N048.57.46.416:E002.25.22.498:LFPB Taxiways:AG1
N048.57.42.697:E002.25.22.760:LFPB Taxiways:AB
N048.57.37.152:E002.25.50.056:LFPB Taxiways:AU
N048.57.47.368:E002.25.32.200:LFPB Taxiways:A1
N048.57.46.445:E002.25.18.869:LFPB Taxiways:A
N048.57.47.905:E002.26.46.945:LFPB Taxiways:W5
N048.57.44.680:E002.26.30.958:LFPB Taxiways:V4
N048.57.45.783:E002.26.17.107:LFPB Taxiways:C3
N048.57.31.357:E002.26.07.406:LFPB Taxiways:C2
N048.57.11.120:E002.25.52.992:LFPB Taxiways:C1
N048.56.55.268:E002.25.44.246:LFPB Taxiways:C
N048.57.41.045:E002.25.39.967:LFPB Taxiways:A
N048.57.37.545:E002.25.52.781:LFPB Taxiways:U3
N048.57.37.259:E002.25.57.905:LFPB Taxiways:R
N048.57.46.828:E002.25.56.406:LFPB Taxiways:R
N048.57.33.655:E002.25.54.895:LFPB Taxiways:A
N048.57.28.544:E002.25.46.445:LFPB Taxiways:U2
N048.57.10.439:E002.25.33.489:LFPB Taxiways:U1
N048.56.59.231:E002.25.31.142:LFPB Taxiways:U1
N048.57.20.950:E002.25.59.500:LFPB Taxiways:DQ
N048.57.24.163:E002.26.02.051:LFPB Taxiways:DQ-N
N048.57.18.671:E002.25.57.753:LFPB Taxiways:DQ-S
N048.57.21.077:E002.26.06.104:LFPB Taxiways:VQ
N048.56.53.248:E002.25.48.193:LFPB Taxiways:VG1
N048.57.06.914:E002.25.58.017:LFPB Taxiways:VG2
N048.57.35.351:E002.26.18.145:LFPB Taxiways:V3
N048.57.21.244:E002.26.08.264:LFPB Taxiways:V2
N048.57.12.237:E002.26.02.044:LFPB Taxiways:V2
N048.57.40.804:E002.26.23.624:LFPB Taxiways:VE
N048.57.37.564:E002.26.32.908:LFPB Taxiways:WE
N048.57.25.803:E002.26.13.037:LFPB Taxiways:VJ
N048.57.22.800:E002.26.22.795:LFPB Taxiways:WJ
N048.57.15.187:E002.26.17.216:LFPB Taxiways:WL1
N048.57.17.033:E002.26.18.974:LFPB Taxiways:WN
N048.57.41.101:E002.26.37.283:LFPB Taxiways:W2
N048.57.34.549:E002.26.32.777:LFPB Taxiways:W2
N048.57.25.583:E002.26.26.843:LFPB Taxiways:W2
N048.57.30.307:E002.26.27.900:LFPB Taxiways:WF3
N048.57.36.873:E002.26.36.165:LFPB Taxiways:WF11
N048.57.35.043:E002.26.35.031:LFPB Taxiways:WF12
N048.57.33.241:E002.26.33.723:LFPB Taxiways:WF21
N048.57.31.296:E002.26.32.284:LFPB Taxiways:WF22
N048.57.21.346:E002.26.23.696:LFPB Taxiways:W1
N048.57.11.185:E002.26.15.833:LFPB Taxiways:W1
N048.57.33.141:E002.26.18.010:LFPB Taxiways:X
N048.57.26.520:E002.26.18.791:LFPB Taxiways:C22
N048.57.15.720:E002.26.06.115:LFPB Taxiways:VL2
N048.57.06.173:E002.26.04.002:LFPB Taxiways:C11
N048.57.43.562:E002.26.40.553:LFPB Taxiways:WD
N048.57.02.897:E002.26.07.785:LFPB Taxiways:WT
N048.57.02.897:E002.26.10.785:LFPB Taxiways:WH5
N048.57.05.341:E002.26.12.827:LFPB Taxiways:WH4
N048.57.09.676:E002.26.16.252:LFPB Taxiways:WH2
N048.57.12.474:E002.26.18.656:LFPB Taxiways:WH1
N048.57.14.726:E002.26.20.061:LFPB Taxiways:WZ2
N048.57.17.243:E002.26.22.141:LFPB Taxiways:WZ1
