;================================================= ~~ LFFF/LFPG/Gates ~~ =================================================;
N049.00.49.270:E002.30.17.740:LFPG Gates:I04
N049.00.49.370:E002.30.20.000:LFPG Gates:I05
N049.00.49.530:E002.30.22.210:LFPG Gates:I06
N049.00.43.610:E002.30.18.470:LFPG Gates:I09
N049.00.43.700:E002.30.20.680:LFPG Gates:I10
N049.00.43.790:E002.30.22.950:LFPG Gates:I11
N049.00.41.470:E002.30.21.630:LFPG Gates:I14
N049.00.39.530:E002.30.21.450:LFPG Gates:I15
N049.00.39.120:E002.30.21.670:LFPG Gates:I16
N049.00.37.610:E002.30.21.680:LFPG Gates:I17
N049.00.36.800:E002.30.21.920:LFPG Gates:I18
N049.00.35.680:E002.30.21.910:LFPG Gates:I19
N049.00.47.190:E002.30.08.990:LFPG Gates:I20
N049.00.44.960:E002.30.07.560:LFPG Gates:I21
N049.00.44.350:E002.30.07.530:LFPG Gates:I22
N049.00.43.050:E002.30.07.800:LFPG Gates:I23
N049.00.41.120:E002.30.08.020:LFPG Gates:I24
N049.00.39.200:E002.30.08.270:LFPG Gates:I25
N049.00.37.870:E002.30.08.170:LFPG Gates:I26
N049.00.37.260:E002.30.07.920:LFPG Gates:I27
N049.00.52.560:E002.30.11.360:LFPG Gates:I3A
N049.00.52.440:E002.30.09.600:LFPG Gates:I3B
N049.00.52.360:E002.30.07.890:LFPG Gates:I3C
N049.00.52.250:E002.30.06.080:LFPG Gates:I3D
N049.00.52.260:E002.30.03.800:LFPG Gates:I3F
N049.00.52.170:E002.30.02.130:LFPG Gates:I3G
N049.00.52.080:E002.30.00.460:LFPG Gates:I3H
N049.00.55.200:E002.30.24.850:LFPG Gates:I30
N049.00.55.640:E002.30.24.220:LFPG Gates:I31
N049.00.55.330:E002.30.22.460:LFPG Gates:I32
N049.00.55.490:E002.30.20.670:LFPG Gates:I33
N049.00.55.180:E002.30.20.080:LFPG Gates:I34
N049.00.54.670:E002.30.11.500:LFPG Gates:I35
N049.00.54.510:E002.30.08.900:LFPG Gates:I36
N049.00.54.370:E002.30.06.330:LFPG Gates:I37
N049.00.54.190:E002.30.02.930:LFPG Gates:I38
N049.00.54.060:E002.30.00.360:LFPG Gates:I39
N049.00.48.000:E002.30.09.580:LFPG Gates:I40
N049.00.46.940:E002.30.08.090:LFPG Gates:I41
N049.00.47.190:E002.30.07.760:LFPG Gates:I42
N049.00.46.700:E002.30.04.400:LFPG Gates:I43
N049.00.46.540:E002.30.01.460:LFPG Gates:I44
N049.00.46.390:E002.29.58.580:LFPG Gates:I45
N049.00.46.220:E002.29.55.630:LFPG Gates:I46
N049.00.46.080:E002.29.52.750:LFPG Gates:I47
N049.00.45.880:E002.29.49.220:LFPG Gates:I48
N049.00.45.719:E002.29.46.310:LFPG Gates:I49
N049.00.48.840:E002.30.08.220:LFPG Gates:I4J
N049.00.48.810:E002.30.06.540:LFPG Gates:I4L
N049.00.48.660:E002.30.04.820:LFPG Gates:I4M
N049.00.48.590:E002.30.03.140:LFPG Gates:I4N
N049.00.48.470:E002.30.01.560:LFPG Gates:I4P
N049.00.48.410:E002.29.59.780:LFPG Gates:I4Q
N049.00.48.370:E002.29.58.140:LFPG Gates:I4R
N049.00.48.230:E002.29.56.470:LFPG Gates:I4S
N049.00.48.150:E002.29.54.790:LFPG Gates:I4T
N049.00.48.070:E002.29.53.130:LFPG Gates:I4U
N049.00.47.970:E002.29.51.460:LFPG Gates:I4V
N049.00.47.850:E002.29.49.400:LFPG Gates:I4W
N049.00.47.780:E002.29.47.700:LFPG Gates:I4X
N049.00.45.150:E002.29.43.410:LFPG Gates:I50
N049.00.44.840:E002.29.41.330:LFPG Gates:I51
N049.00.44.010:E002.29.41.590:LFPG Gates:I52
N049.00.42.920:E002.29.41.330:LFPG Gates:I53
N049.00.41.670:E002.29.41.900:LFPG Gates:I54
N049.00.41.020:E002.29.41.900:LFPG Gates:I55
N049.01.03.360:E002.30.28.210:LFPG Gates:I60
N049.01.02.620:E002.30.25.670:LFPG Gates:I61
N049.01.03.170:E002.30.24.650:LFPG Gates:I62
N049.01.02.470:E002.30.21.930:LFPG Gates:I63
N049.01.02.960:E002.30.21.120:LFPG Gates:I64
N049.01.02.300:E002.30.19.010:LFPG Gates:I65
N049.01.02.760:E002.30.17.570:LFPG Gates:I66
N049.01.02.100:E002.30.16.030:LFPG Gates:I67
N049.01.02.590:E002.30.14.020:LFPG Gates:I68
N049.01.01.950:E002.30.13.080:LFPG Gates:I69
N049.01.02.410:E002.30.10.460:LFPG Gates:I70
N049.01.01.600:E002.30.06.740:LFPG Gates:I71
N049.01.02.130:E002.30.05.880:LFPG Gates:I72
N049.01.01.410:E002.30.03.020:LFPG Gates:I73
N049.01.01.970:E002.30.02.340:LFPG Gates:I74
N049.01.01.280:E002.30.00.140:LFPG Gates:I75
N049.01.01.710:E002.29.58.720:LFPG Gates:I76
N049.01.01.140:E002.29.57.220:LFPG Gates:I77
N049.01.01.510:E002.29.54.950:LFPG Gates:I78
N049.01.01.060:E002.29.54.330:LFPG Gates:I79
N049.00.53.230:E002.29.41.820:LFPG Gates:I80
N049.00.54.320:E002.29.41.550:LFPG Gates:I81
N049.00.55.750:E002.29.42.070:LFPG Gates:I82
N049.00.57.150:E002.29.42.620:LFPG Gates:I83
N049.00.58.520:E002.29.43.080:LFPG Gates:I84
N049.00.53.640:E002.29.47.700:LFPG Gates:I85
N049.00.52.410:E002.29.47.610:LFPG Gates:I86
N049.00.52.690:E002.29.53.190:LFPG Gates:I90
N049.00.53.900:E002.29.52.640:LFPG Gates:I91
N049.00.54.570:E002.30.43.030:LFPG Gates:EN20
N049.00.54.420:E002.30.39.590:LFPG Gates:EN21
N049.00.54.190:E002.30.36.030:LFPG Gates:EN22
N049.00.53.990:E002.30.32.500:LFPG Gates:EN23
N049.00.54.040:E002.30.28.920:LFPG Gates:EN24
N049.00.32.320:E002.30.35.920:LFPG Gates:EN49
N049.00.49.620:E002.30.38.820:LFPG Gates:EN50
N049.00.47.595:E002.30.38.065:LFPG Gates:EN51
N049.00.47.720:E002.30.41.020:LFPG Gates:EN52
N049.00.48.990:E002.30.43.410:LFPG Gates:EN53
N049.00.46.740:E002.30.43.770:LFPG Gates:EN54
N049.00.47.950:E002.30.45.420:LFPG Gates:EN55
N049.00.50.860:E002.30.48.710:LFPG Gates:EN56
N049.00.49.360:E002.30.49.860:LFPG Gates:EN57
N049.00.44.520:E002.30.38.280:LFPG Gates:EN58
N049.00.42.410:E002.30.38.730:LFPG Gates:EN59
N049.00.48.320:E002.30.54.320:LFPG Gates:EN81
N049.00.47.130:E002.30.54.360:LFPG Gates:EN82
N049.00.45.880:E002.30.54.490:LFPG Gates:EN83
N049.00.51.250:E002.31.10.970:LFPG Gates:EN97
N049.00.50.980:E002.31.12.010:LFPG Gates:EN98
N049.00.51.630:E002.31.12.760:LFPG Gates:EN99
N049.00.40.570:E002.32.09.980:LFPG Gates:S06
N049.00.42.850:E002.32.11.400:LFPG Gates:S06B
N049.00.42.570:E002.32.10.250:LFPG Gates:S07
N049.00.42.380:E002.32.12.060:LFPG Gates:S07B
N049.00.41.330:E002.32.11.070:LFPG Gates:S08
N049.00.41.180:E002.32.11.800:LFPG Gates:S08B
N049.00.40.040:E002.32.13.050:LFPG Gates:S09
N049.00.40.870:E002.32.14.180:LFPG Gates:S09B
N049.00.39.060:E002.32.13.180:LFPG Gates:S10
N049.00.38.890:E002.32.13.660:LFPG Gates:S11
N049.00.38.780:E002.32.15.230:LFPG Gates:S12
N049.00.38.270:E002.32.17.360:LFPG Gates:S13
N049.00.38.830:E002.32.18.240:LFPG Gates:S14
N049.00.38.840:E002.32.20.720:LFPG Gates:S15
N049.00.38.470:E002.32.21.160:LFPG Gates:S16
N049.00.38.960:E002.32.22.760:LFPG Gates:S17
N049.00.38.570:E002.32.24.280:LFPG Gates:S18
N049.00.39.090:E002.32.24.850:LFPG Gates:S19
N049.00.39.370:E002.32.27.210:LFPG Gates:S20
N049.00.39.420:E002.32.28.030:LFPG Gates:S21
N049.00.39.420:E002.32.28.910:LFPG Gates:S22
N049.00.39.420:E002.32.36.770:LFPG Gates:S23
N049.00.39.870:E002.32.40.030:LFPG Gates:S24
N049.00.39.360:E002.32.40.780:LFPG Gates:S25
N049.00.39.970:E002.32.42.150:LFPG Gates:S26
N049.00.39.340:E002.32.44.370:LFPG Gates:S27
N049.00.40.160:E002.32.46.380:LFPG Gates:S28
N049.00.39.740:E002.32.47.870:LFPG Gates:S29
N049.00.40.270:E002.32.48.510:LFPG Gates:S30
N049.00.40.310:E002.32.50.750:LFPG Gates:S31
N049.01.03.590:E002.32.58.700:LFPG Gates:R01
N049.01.01.950:E002.32.59.620:LFPG Gates:R02
