;================================================= ~~ LFMM/LFKF/Gates ~~ =================================================;
N041.30.01.133:E009.05.53.786:LFKF Gates:7
N041.30.00.805:E009.05.55.597:LFKF Gates:8
N041.29.59.798:E009.05.54.337:LFKF Gates:9
N041.29.58.825:E009.05.52.985:LFKF Gates:10
N041.29.57.887:E009.05.51.751:LFKF Gates:11
N041.29.57.008:E009.05.48.536:LFKF Gates:12
N041.29.57.640:E009.05.49.910:LFKF Gates:12B
N041.29.56.941:E009.05.50.485:LFKF Gates:13
N041.29.57.964:E009.05.47.593:LFKF Gates:14
N041.30.07.050:E009.05.58.730:LFKF Gates:H1
N041.30.07.610:E009.05.59.550:LFKF Gates:H2
N041.30.08.190:E009.06.00.360:LFKF Gates:H3
N041.30.08.740:E009.06.01.200:LFKF Gates:H4
N041.30.02.545:E009.05.56.407:LFKF Gates:21
N041.30.02.619:E009.05.57.141:LFKF Gates:21A
N041.30.02.106:E009.05.57.655:LFKF Gates:21B
N041.30.04.272:E009.05.57.808:LFKF Gates:22
N041.30.03.700:E009.05.58.540:LFKF Gates:23
N041.30.03.010:E009.05.59.320:LFKF Gates:24
N041.30.05.520:E009.05.59.750:LFKF Gates:31
N041.30.05.050:E009.06.00.210:LFKF Gates:32
N041.30.04.530:E009.06.00.830:LFKF Gates:33
N041.30.04.040:E009.06.01.350:LFKF Gates:34
N041.30.06.540:E009.06.01.400:LFKF Gates:35
N041.30.06.020:E009.06.02.070:LFKF Gates:36
N041.30.05.600:E009.06.02.570:LFKF Gates:37
N041.30.05.110:E009.06.03.080:LFKF Gates:38
N041.30.07.680:E009.06.02.830:LFKF Gates:51
N041.30.07.260:E009.06.03.320:LFKF Gates:52
N041.30.06.860:E009.06.03.820:LFKF Gates:53
N041.30.06.440:E009.06.04.360:LFKF Gates:54
N041.30.06.070:E009.06.04.810:LFKF Gates:55
N041.29.55.874:E009.05.52.921:LFKF Gates:Terminal
N041.29.58.704:E009.05.56.145:LFKF Gates:TWR
