;================================================= ~~ LFMM/LFLJ/Gates ~~ =================================================;
N045.23.44.209:E006.38.01.939:LFLJ Gates:HANGAR
N045.23.46.415:E006.38.04.624:LFLJ Gates:TWR
N045.23.46.805:E006.38.03.070:LFLJ Gates:AVT
N045.23.42.948:E006.38.09.882:LFLJ Gates:1
N045.23.43.523:E006.38.09.345:LFLJ Gates:2
N045.23.44.061:E006.38.08.892:LFLJ Gates:3
N045.23.44.580:E006.38.08.412:LFLJ Gates:4
N045.23.45.154:E006.38.07.960:LFLJ Gates:5
N045.23.45.748:E006.38.07.451:LFLJ Gates:K6
N045.23.46.285:E006.38.06.970:LFLJ Gates:7
N045.23.46.842:E006.38.06.490:LFLJ Gates:8
N045.23.47.342:E006.38.06.207:LFLJ Gates:9
N045.23.47.843:E006.38.05.811:LFLJ Gates:10
N045.23.49.215:E006.38.08.836:LFLJ Gates:11
N045.23.49.586:E006.38.09.854:LFLJ Gates:12
N045.23.49.956:E006.38.10.815:LFLJ Gates:13
N045.23.50.068:E006.38.11.804:LFLJ Gates:14
N045.23.49.604:E006.38.12.482:LFLJ Gates:15
N045.23.48.881:E006.38.12.454:LFLJ Gates:16
N045.23.48.251:E006.38.12.369:LFLJ Gates:17
N045.23.47.546:E006.38.12.341:LFLJ Gates:18
N045.23.46.879:E006.38.12.313:LFLJ Gates:19
