;================================================= ~~ LFMM/LFLL/Gates ~~ =================================================;
N045.43.32.657:E005.04.51.898:LFLL Gates:TWR
N045.43.37.435:E005.04.49.173:LFLL Gates:Aviation Generale
N045.43.11.384:E005.04.29.261:LFLL Gates:Terminal
N045.42.46.967:E005.04.27.814:LFLL Gates:Terminal Fret
N045.43.18.629:E005.04.45.590:LFLL Gates:Terminal 2
N045.43.08.179:E005.04.37.094:LFLL Gates:Terminal 1
N045.42.56.327:E005.04.54.695:LFLL Gates:Terminal 3
N045.42.48.941:E005.04.40.011:LFLL Gates:CARGO
N045.43.45.871:E005.04.56.719:LFLL Gates:N11
N045.43.47.388:E005.04.55.804:LFLL Gates:N21
N045.43.45.726:E005.04.54.942:LFLL Gates:N12
N045.43.47.080:E005.04.54.132:LFLL Gates:N22
N045.43.45.640:E005.04.53.283:LFLL Gates:N13
N045.43.46.977:E005.04.52.355:LFLL Gates:N23
N045.43.45.511:E005.04.51.506:LFLL Gates:N14
N045.43.46.900:E005.04.50.709:LFLL Gates:N24
N045.43.42.726:E005.04.57.006:LFLL Gates:N31
N045.43.44.295:E005.04.56.196:LFLL Gates:N41
N045.43.42.598:E005.04.55.426:LFLL Gates:N32
N045.43.44.209:E005.04.54.420:LFLL Gates:N42
N045.43.42.512:E005.04.53.662:LFLL Gates:N33
N045.43.44.106:E005.04.52.630:LFLL Gates:N43
N045.43.42.418:E005.04.51.963:LFLL Gates:N34
N045.43.44.003:E005.04.50.983:LFLL Gates:N44
N045.43.37.243:E005.04.57.045:LFLL Gates:G11
N045.43.35.660:E005.04.56.209:LFLL Gates:G12
N045.43.37.573:E005.04.55.341:LFLL Gates:G13
N045.43.36.085:E005.04.54.380:LFLL Gates:G14
N045.43.37.867:E005.04.53.742:LFLL Gates:G15
N045.43.36.414:E005.04.52.666:LFLL Gates:G16
N045.43.25.091:E005.04.57.499:LFLL Gates:B12
N045.43.24.823:E005.04.55.815:LFLL Gates:B14
N045.43.24.655:E005.04.54.182:LFLL Gates:B16
N045.43.22.764:E005.04.53.111:LFLL Gates:B61
N045.43.22.300:E005.04.55.995:LFLL Gates:B62
N045.43.21.000:E005.04.55.390:LFLL Gates:B63
N045.43.20.270:E005.04.55.203:LFLL Gates:B71
N045.43.18.710:E005.04.57.350:LFLL Gates:B72
N045.43.18.180:E005.04.55.250:LFLL Gates:B73
N045.43.17.559:E005.04.55.228:LFLL Gates:B81
N045.43.15.460:E005.04.56.360:LFLL Gates:B82
N045.43.15.410:E005.04.54.020:LFLL Gates:B83
N045.43.14.780:E005.04.53.646:LFLL Gates:B91
N045.43.13.940:E005.04.53.170:LFLL Gates:B92
N045.43.12.990:E005.04.51.550:LFLL Gates:B93
N045.43.12.090:E005.04.51.980:LFLL Gates:C19
N045.43.11.368:E005.04.49.353:LFLL Gates:C21
N045.43.10.430:E005.04.52.010:LFLL Gates:C22
N045.43.09.600:E005.04.50.910:LFLL Gates:C23
N045.43.08.753:E005.04.50.884:LFLL Gates:C41
N045.43.07.490:E005.04.52.380:LFLL Gates:C42
N045.43.07.000:E005.04.50.250:LFLL Gates:C43
N045.43.06.179:E005.04.50.150:LFLL Gates:C61
N045.43.04.910:E005.04.50.790:LFLL Gates:C62
N045.43.04.966:E005.04.49.576:LFLL Gates:C63
N045.43.03.564:E005.04.45.557:LFLL Gates:C81
N045.43.02.460:E005.04.47.820:LFLL Gates:C82
N045.43.01.409:E005.04.46.354:LFLL Gates:C83
N045.42.58.919:E005.04.45.302:LFLL Gates:D21
N045.42.57.680:E005.04.46.290:LFLL Gates:D22
