[ARTCC]

TMA LFML TMA 1 Provence                  N043.32.12.000 E005.01.40.000 N043.32.33.000 E005.01.32.000
                                         N043.32.33.000 E005.01.32.000 N043.32.42.000 E005.01.28.000
                                         N043.32.42.000 E005.01.28.000 N043.32.52.000 E005.01.22.000
                                         N043.32.52.000 E005.01.22.000 N043.33.02.000 E005.01.17.000
                                         N043.33.02.000 E005.01.17.000 N043.33.11.000 E005.01.11.000
                                         N043.33.11.000 E005.01.11.000 N043.33.21.000 E005.01.04.000
                                         N043.33.21.000 E005.01.04.000 N043.33.30.000 E005.00.57.000
                                         N043.33.30.000 E005.00.57.000 N043.33.37.000 E005.00.51.000
                                         N043.33.37.000 E005.00.51.000 N043.33.48.000 E005.00.42.000
                                         N043.33.48.000 E005.00.42.000 N043.33.56.000 E005.00.34.000
                                         N043.33.56.000 E005.00.34.000 N043.34.13.000 E005.00.16.000
                                         N043.34.13.000 E005.00.16.000 N043.42.37.000 E004.47.16.000
                                         N043.42.37.000 E004.47.16.000 N043.42.37.000 E004.58.00.000
                                         N043.42.37.000 E004.58.00.000 N043.41.09.000 E004.58.39.000
                                         N043.41.09.000 E004.58.39.000 N043.41.05.000 E005.16.57.000
                                         N043.41.05.000 E005.16.57.000 N043.33.50.000 E005.19.30.000
                                         N043.33.50.000 E005.19.30.000 N043.33.44.000 E005.20.11.000
                                         N043.33.44.000 E005.20.11.000 N043.34.20.000 E005.22.19.000
                                         N043.34.20.000 E005.22.19.000 N043.32.13.000 E005.33.30.000
                                         N043.32.13.000 E005.33.30.000 N043.24.47.000 E005.33.30.000
                                         N043.24.47.000 E005.33.30.000 N043.25.13.000 E005.29.22.000
                                         N043.25.13.000 E005.29.22.000 N043.24.08.000 E005.24.32.000
                                         N043.24.08.000 E005.24.32.000 N043.15.10.000 E005.24.32.000
                                         N043.15.10.000 E005.24.32.000 N043.15.10.000 E005.10.47.000
                                         N043.15.10.000 E005.10.47.000 N043.20.46.000 E005.05.29.000
                                         N043.20.46.000 E005.05.29.000 N043.24.00.000 E005.03.30.000
                                         N043.24.00.000 E005.03.30.000 N043.32.12.000 E005.01.40.000

TMA LFML TMA 10 Provence                 N044.25.30.000 E004.55.00.000 N044.17.35.000 E005.20.30.000
                                         N044.17.35.000 E005.20.30.000 N044.05.40.000 E005.16.19.000
                                         N044.05.40.000 E005.16.19.000 N043.52.19.000 E005.21.55.000
                                         N043.52.19.000 E005.21.55.000 N043.53.21.000 E005.12.39.000
                                         N043.53.21.000 E005.12.39.000 N043.57.30.000 E005.10.00.000
                                         N043.57.30.000 E005.10.00.000 N043.59.45.000 E005.02.25.000
                                         N043.59.45.000 E005.02.25.000 N044.14.20.000 E005.02.49.000
                                         N044.14.20.000 E005.02.49.000 N044.14.25.606 E005.02.40.293
                                         N044.14.25.606 E005.02.40.293 N044.15.39.548 E005.00.57.269
                                         N044.15.39.548 E005.00.57.269 N044.16.39.526 E004.58.57.921
                                         N044.16.39.526 E004.58.57.921 N044.17.23.719 E004.56.45.875
                                         N044.17.23.719 E004.56.45.875 N044.17.30.000 E004.56.21.000
                                         N044.17.30.000 E004.56.21.000 N044.25.30.000 E004.55.00.000

TMA LFML TMA 11 Provence                 N043.03.24.000 E004.22.26.000 N042.59.24.312 E004.26.13.410
                                         N042.59.24.312 E004.26.13.410 N042.54.50.740 E004.32.29.851
                                         N042.54.50.740 E004.32.29.851 N042.51.08.829 E004.39.45.941
                                         N042.51.08.829 E004.39.45.941 N042.48.25.323 E004.47.48.430
                                         N042.48.25.323 E004.47.48.430 N042.46.45.188 E004.56.22.658
                                         N042.46.45.188 E004.56.22.658 N042.46.11.469 E005.05.13.000
                                         N042.46.11.469 E005.05.13.000 N042.46.23.000 E005.10.40.000
                                         N042.46.23.000 E005.10.40.000 N043.02.00.000 E005.38.00.000
                                         N043.02.00.000 E005.38.00.000 N042.30.00.000 E005.38.00.000
                                         N042.30.00.000 E005.38.00.000 N042.30.00.000 E004.17.00.000
                                         N042.30.00.000 E004.17.00.000 N043.00.00.000 E004.17.00.000
                                         N043.00.00.000 E004.17.00.000 N043.03.24.000 E004.22.26.000

TMA LFML TMA 12 Provence                 N044.25.00.000 E004.39.00.000 N044.23.00.000 E004.40.41.000
                                         N044.23.00.000 E004.40.41.000 N044.17.52.000 E004.49.48.000
                                         N044.17.52.000 E004.49.48.000 N044.17.59.898 E004.52.00.000
                                         N044.17.59.898 E004.52.00.000 N044.17.50.784 E004.54.25.142
