COLOR_Water
N043.40.26.922 E007.22.02.676
N043.41.30.461 E007.19.41.876
N043.42.51.767 E007.19.30.584
N043.42.24.800 E007.16.37.395
N043.39.15.036 E007.08.51.796
N043.37.15.973 E007.07.51.615
N043.36.31.280 E007.07.36.714
N043.35.55.394 E007.07.31.153
N043.35.33.054 E007.07.33.988
N043.35.30.353 E007.07.44.275
N043.35.16.820 E007.07.54.575
N043.34.59.212 E007.07.49.923
N043.34.39.567 E007.07.38.731
N043.34.20.604 E007.07.36.885
N043.34.09.785 E007.07.56.525
N043.34.10.475 E007.08.14.280
N043.34.06.419 E007.08.23.629
N043.33.59.966 E007.08.18.508
N043.33.44.962 E007.08.17.605
N043.33.31.619 E007.08.08.878
N043.33.21.616 E007.08.09.350
N043.33.19.622 E007.08.19.476
N043.33.20.962 E007.08.28.677
N043.33.11.632 E007.08.38.810
N043.33.03.959 E007.08.32.376
N043.32.48.612 E007.08.19.970
N043.32.42.271 E007.08.12.616
N043.31.37.338 E007.09.18.858

COLOR_Landmark2
N043.41.06.981 E007.14.13.929
N043.41.07.461 E007.14.14.579
N043.41.07.546 E007.14.15.027
N043.41.07.332 E007.14.15.303
N043.41.07.450 E007.14.15.689
N043.41.07.756 E007.14.16.060
N043.41.08.033 E007.14.15.941
N043.41.08.129 E007.14.15.628
N043.41.08.572 E007.14.16.107
N043.41.09.153 E007.14.16.804
N043.41.09.880 E007.14.17.740
N043.41.10.185 E007.14.18.281
N043.41.10.113 E007.14.18.468
N043.41.09.913 E007.14.18.610
N043.41.10.168 E007.14.19.054
N043.41.10.376 E007.14.19.100
N043.41.10.459 E007.14.18.768
N043.41.10.667 E007.14.18.701
N043.41.11.014 E007.14.18.985
N043.41.11.535 E007.14.19.596
N043.41.12.031 E007.14.20.216
N043.41.12.695 E007.14.21.294
N043.41.12.886 E007.14.21.943
N043.41.12.662 E007.14.22.181
N043.41.12.589 E007.14.22.570
N043.41.12.852 E007.14.22.958
N043.41.13.117 E007.14.22.996
N043.41.13.398 E007.14.22.773
N043.41.14.479 E007.14.24.405
N043.41.15.606 E007.14.26.374
N043.41.15.466 E007.14.26.545
N043.41.15.345 E007.14.26.910
N043.41.15.583 E007.14.27.516
N043.41.15.871 E007.14.27.436
N043.41.16.110 E007.14.27.348
N043.41.16.578 E007.14.28.083
N043.41.16.595 E007.14.28.122
N043.41.17.041 E007.14.29.119
N043.41.17.655 E007.14.30.214
N043.41.18.339 E007.14.31.344
N043.41.18.900 E007.14.32.461
N043.41.19.155 E007.14.33.268
N043.41.19.029 E007.14.33.549
N043.41.19.116 E007.14.33.902
N043.41.19.347 E007.14.34.249
N043.41.19.579 E007.14.34.078
N043.41.20.111 E007.14.34.686
N043.41.20.388 E007.14.35.208
N043.41.21.076 E007.14.36.281
N043.41.21.406 E007.14.37.348
N043.41.21.345 E007.14.37.563
N043.41.21.236 E007.14.37.764
N043.41.21.231 E007.14.38.092
N043.41.21.579 E007.14.38.347
N043.41.21.836 E007.14.38.409
N043.41.22.512 E007.14.39.793
N043.41.23.172 E007.14.41.403
N043.41.23.223 E007.14.42.069
N043.41.23.075 E007.14.42.059
N043.41.23.013 E007.14.42.571
N043.41.23.239 E007.14.42.746
N043.41.23.437 E007.14.42.767
N043.41.24.366 E007.14.44.910
N043.41.24.390 E007.14.44.971
N043.41.25.824 E007.14.48.027
N043.41.25.865 E007.14.48.129
N043.41.25.898 E007.14.48.212
N043.41.27.534 E007.14.52.546
N043.41.29.501 E007.14.59.156
N043.41.29.575 E007.14.59.758
N043.41.29.344 E007.14.59.849
N043.41.29.199 E007.15.00.137
N043.41.29.317 E007.15.00.463
N043.41.29.613 E007.15.00.431
N043.41.29.889 E007.15.01.000
N043.41.31.489 E007.15.06.826
N043.41.31.519 E007.15.07.006
N043.41.32.488 E007.15.10.661
N043.41.33.512 E007.15.14.576
N043.41.37.326 E007.15.31.112
N043.41.39.587 E007.15.47.385
N043.41.39.719 E007.16.07.969
N043.41.40.273 E007.16.31.296
N043.41.39.418 E007.16.39.920
N043.41.37.857 E007.16.43.838
N043.41.36.521 E007.16.43.800
N043.41.34.320 E007.16.52.713
N043.41.35.097 E007.16.55.163
N043.41.33.179 E007.17.05.740
N043.41.25.664 E007.17.16.702
N043.41.26.158 E007.17.18.661
N043.41.35.162 E007.17.05.645
N043.41.40.194 E007.17.00.165
N043.41.53.224 E007.17.03.413
N043.41.52.795 E007.17.09.780
N043.41.37.994 E007.17.07.803
N043.41.36.215 E007.17.19.262
N043.41.31.612 E007.17.17.983
N043.41.31.540 E007.17.19.844
N043.41.35.222 E007.17.21.514
N043.41.32.600 E007.17.24.155
N043.41.30.395 E007.17.27.638
N043.41.29.136 E007.17.31.273
N043.41.27.074 E007.17.36.487
N043.41.24.597 E007.17.37.485
N043.41.23.224 E007.17.39.749
N043.41.15.799 E007.17.38.733
N043.41.12.550 E007.17.37.720
N043.41.09.895 E007.17.42.118
N043.41.09.295 E007.17.46.152
N043.41.11.546 E007.17.51.199
N043.41.10.811 E007.17.58.626
N043.41.09.410 E007.18.09.261
N043.41.08.619 E007.18.12.854
