[GEO]

LFTH Groundlayout AVISO      N043.05.33.374 E006.09.26.266 N043.05.31.578 E006.09.25.971 COLOR_Taxiway
                N043.05.33.618 E006.09.25.280 N043.05.32.201 E006.09.24.990 COLOR_Taxiway
                N043.05.22.489 E006.08.49.952 N043.05.20.886 E006.08.48.431 COLOR_Taxiway
                N043.05.22.861 E006.08.49.178 N043.05.21.429 E006.08.47.631 COLOR_Taxiway
                N043.05.23.585 E006.08.48.343 N043.05.22.631 E006.08.45.825 COLOR_Taxiway
                N043.05.24.850 E006.08.47.702 N043.05.23.750 E006.08.45.035 COLOR_Taxiway
                N043.05.25.922 E006.08.46.570 N043.05.24.984 E006.08.44.056 COLOR_Taxiway
                N043.05.27.063 E006.08.45.695 N043.05.26.194 E006.08.43.234 COLOR_Taxiway
                N043.05.28.393 E006.08.44.571 N043.05.27.473 E006.08.42.107 COLOR_Taxiway
                N043.05.29.488 E006.08.42.928 N043.05.28.771 E006.08.40.816 COLOR_Taxiway
                N043.05.35.690 E006.09.28.027 N043.05.36.225 E006.09.23.458 COLOR_Taxiway
                N043.05.35.036 E006.09.27.861 N043.05.35.617 E006.09.23.312 COLOR_Taxiway
                N043.05.34.350 E006.09.28.043 N043.05.34.898 E006.09.23.237 COLOR_Taxiway
                N043.05.36.788 E006.09.23.632 N043.05.37.372 E006.09.28.128 COLOR_Taxiway
                N043.05.39.535 E006.09.23.957 N043.05.39.245 E006.09.26.124 COLOR_Taxiway
                N043.05.39.245 E006.09.26.124 N043.05.38.333 E006.09.27.622 COLOR_Taxiway
                N043.05.39.751 E006.09.25.463 N043.05.39.594 E006.09.25.550 COLOR_Taxiway
                N043.05.39.594 E006.09.25.550 N043.05.39.389 E006.09.25.568 COLOR_Taxiway
                N043.05.39.389 E006.09.25.568 N043.05.39.203 E006.09.25.496 COLOR_Taxiway
                N043.05.39.203 E006.09.25.496 N043.05.39.068 E006.09.25.394 COLOR_Taxiway
                N043.05.39.068 E006.09.25.394 N043.05.38.964 E006.09.25.097 COLOR_Taxiway
                N043.05.38.964 E006.09.25.097 N043.05.39.006 E006.09.24.802 COLOR_Taxiway
                N043.05.39.006 E006.09.24.802 N043.05.39.082 E006.09.24.616 COLOR_Taxiway
                N043.05.39.082 E006.09.24.616 N043.05.38.950 E006.09.24.354 COLOR_Taxiway
                N043.05.38.950 E006.09.24.354 N043.05.38.840 E006.09.24.161 COLOR_Taxiway
                N043.05.29.398 E006.09.24.488 N043.05.28.092 E006.09.26.324 COLOR_Taxiway
                N043.05.30.719 E006.09.26.544 N043.05.29.996 E006.09.25.323 COLOR_Taxiway
                N043.05.30.145 E006.09.27.306 N043.05.29.445 E006.09.26.125 COLOR_Taxiway
                N043.05.29.702 E006.09.27.863 N043.05.29.020 E006.09.26.766 COLOR_Taxiway
                N043.05.37.761 E006.08.24.426 N043.05.38.025 E006.08.24.501 COLOR_Taxiway
                N043.05.38.025 E006.08.24.501 N043.05.38.038 E006.08.24.154 COLOR_Taxiway
                N043.05.37.957 E006.08.25.430 N043.05.38.578 E006.08.25.542 COLOR_Taxiway
                N043.05.38.578 E006.08.25.542 N043.05.38.657 E006.08.24.659 COLOR_Taxiway
                N043.05.38.480 E006.08.26.387 N043.05.38.905 E006.08.26.511 COLOR_Taxiway
                N043.05.38.905 E006.08.26.511 N043.05.39.230 E006.08.26.173 COLOR_Taxiway
                N043.05.39.230 E006.08.26.173 N043.05.39.219 E006.08.25.697 COLOR_Taxiway
                N043.05.39.632 E006.08.25.729 N043.05.38.494 E006.08.26.960 COLOR_Taxiway
                N043.06.06.571 E006.08.24.243 N043.06.06.285 E006.08.24.222 COLOR_Taxiway
                N043.06.06.285 E006.08.24.222 N043.06.06.285 E006.08.23.758 COLOR_Taxiway
                N043.06.06.242 E006.08.25.069 N043.06.05.658 E006.08.25.075 COLOR_Taxiway
                N043.06.05.658 E006.08.25.075 N043.06.05.630 E006.08.24.289 COLOR_Taxiway
                N043.06.05.536 E006.08.26.021 N043.06.04.911 E006.08.26.034 COLOR_Taxiway
                N043.06.04.911 E006.08.26.034 N043.06.04.929 E006.08.25.250 COLOR_Taxiway
                N043.06.04.899 E006.08.26.993 N043.06.04.541 E006.08.27.007 COLOR_Taxiway
                N043.06.04.299 E006.08.25.950 N043.06.04.254 E006.08.26.628 COLOR_Taxiway
                N043.06.04.917 E006.08.27.498 N043.06.03.835 E006.08.26.066 COLOR_Taxiway
                N043.06.23.117 E006.09.40.343 N043.06.22.523 E006.09.40.262 COLOR_Taxiway
                N043.06.22.523 E006.09.40.262 N043.06.22.414 E006.09.41.074 COLOR_Taxiway
                N043.06.22.518 E006.09.39.323 N043.06.22.160 E006.09.39.264 COLOR_Taxiway
                N043.06.21.845 E006.09.40.011 N043.06.21.911 E006.09.39.500 COLOR_Taxiway
                N043.06.22.616 E006.09.38.773 N043.06.21.381 E006.09.40.064 COLOR_Taxiway
                N043.05.20.367 E006.09.27.463 N043.05.20.405 E006.09.26.653 COLOR_Taxiway
                N043.05.20.405 E006.09.26.653 N043.05.19.750 E006.09.26.652 COLOR_Taxiway
                N043.05.21.031 E006.09.26.684 N043.05.21.042 E006.09.25.797 COLOR_Taxiway
                N043.05.21.042 E006.09.25.797 N043.05.20.476 E006.09.25.756 COLOR_Taxiway
                N043.05.21.698 E006.09.25.780 N043.05.21.744 E006.09.24.770 COLOR_Taxiway
                N043.05.21.744 E006.09.24.770 N043.05.21.070 E006.09.24.778 COLOR_Taxiway
                N043.05.22.394 E006.09.24.795 N043.05.22.434 E006.09.23.830 COLOR_Taxiway
                N043.05.22.434 E006.09.23.830 N043.05.21.732 E006.09.23.846 COLOR_Taxiway
                N043.05.23.091 E006.09.23.848 N043.05.23.165 E006.09.23.341 COLOR_Taxiway
                N043.05.22.419 E006.09.22.996 N043.05.22.814 E006.09.22.862 COLOR_Taxiway
                N043.05.22.417 E006.09.22.264 N043.05.23.583 E006.09.23.944 COLOR_Taxiway

[REGIONS]

REGIONNAME LFTH AVISO
COLOR_GrasSurface N043.05.27.951 E006.09.25.148
N043.05.28.183 E006.09.25.371
N043.05.27.715 E006.09.26.194
N043.05.28.860 E006.09.27.763
N043.05.32.897 E006.09.27.952
N043.05.40.350 E006.09.29.288
N043.05.40.689 E006.09.23.271
N043.05.40.456 E006.09.22.420
N043.05.39.964 E006.09.20.665
N043.05.38.773 E006.09.20.356
N043.05.37.987 E006.09.20.560
N043.05.37.970 E006.09.20.560
N043.05.36.864 E006.09.20.330
N043.05.36.698 E006.09.19.655
N043.05.35.780 E006.09.19.438
N043.05.34.943 E006.09.19.740
N043.05.34.627 E006.09.18.884
N043.05.34.182 E006.09.18.278
N043.05.31.753 E006.09.16.073
N043.05.42.586 E006.09.01.441
N043.05.44.161 E006.09.02.437
N043.05.45.333 E006.09.03.124
N043.05.46.042 E006.09.03.618
N043.05.44.688 E006.09.05.755
N043.05.44.668 E006.09.05.815
N043.05.44.721 E006.09.06.798
N043.05.45.597 E006.09.08.331
N043.05.46.613 E006.09.09.345
N043.05.49.873 E006.09.05.822
N043.05.51.517 E006.09.05.460
N043.05.52.919 E006.09.06.940
N043.05.54.430 E006.09.09.453
N043.05.54.426 E006.09.09.529
N043.05.54.979 E006.09.10.423
N043.05.54.278 E006.09.11.075
N043.05.54.142 E006.09.12.390
N043.05.54.139 E006.09.12.446
N043.05.54.306 E006.09.13.782
N043.05.54.317 E006.09.13.900
N043.05.54.806 E006.09.14.414
N043.05.55.619 E006.09.14.815
N043.05.56.489 E006.09.16.212
N043.05.56.562 E006.09.16.271
N043.05.57.899 E006.09.16.312
N043.05.58.804 E006.09.17.349
N043.05.58.829 E006.09.17.404
N043.05.59.567 E006.09.18.207
N043.05.59.563 E006.09.18.281
N043.05.59.557 E006.09.18.391
N043.05.59.554 E006.09.18.465
N043.05.59.766 E006.09.19.523
N043.05.59.775 E006.09.19.636
N043.06.00.612 E006.09.21.034
N043.06.00.668 E006.09.21.138
N043.06.01.880 E006.09.21.767
N043.06.01.943 E006.09.21.836
N043.06.03.135 E006.09.22.578
N043.06.03.942 E006.09.23.415
N043.06.12.808 E006.09.38.327
N043.06.13.931 E006.09.39.158
N043.06.15.696 E006.09.41.710
N043.06.16.407 E006.09.42.520
N043.06.17.890 E006.09.42.681
N043.06.18.335 E006.09.42.650
N043.06.19.247 E006.09.42.395
N043.06.20.425 E006.09.42.731
N043.06.20.437 E006.09.42.749
N043.06.20.700 E006.09.43.509
N043.06.21.180 E006.09.44.845
N043.06.21.943 E006.09.45.950
N043.06.22.912 E006.09.46.582
N043.06.23.484 E006.09.46.735
N043.06.24.614 E006.09.44.069
N043.06.24.919 E006.09.42.559
N043.06.25.366 E006.09.40.271
N043.06.25.337 E006.09.38.920
N043.06.24.746 E006.09.37.163
N043.06.24.090 E006.09.34.730
N043.06.23.185 E006.09.35.232
N043.06.23.242 E006.09.34.599
N043.06.23.041 E006.09.33.877
N043.06.07.429 E006.09.08.347
N043.06.02.646 E006.08.59.767
N043.06.06.723 E006.08.47.101
N043.06.06.750 E006.08.46.586
N043.06.06.648 E006.08.45.720
N043.06.06.166 E006.08.45.402
N043.06.02.576 E006.08.41.923
N043.06.02.399 E006.08.41.379
N043.06.02.527 E006.08.40.886
N043.06.06.964 E006.08.26.364
N043.06.07.490 E006.08.24.595
N043.06.07.493 E006.08.24.533
N043.06.07.746 E006.08.23.448
N043.06.07.465 E006.08.22.897
N043.06.06.359 E006.08.22.483
N043.06.06.285 E006.08.22.451
N043.06.05.221 E006.08.22.008
N043.06.04.222 E006.08.21.776
N043.06.04.208 E006.08.21.778
N043.06.04.141 E006.08.21.768
N043.06.03.527 E006.08.21.686
N043.06.03.463 E006.08.21.676
N043.06.03.401 E006.08.21.648
N043.06.03.174 E006.08.21.920
N043.06.01.388 E006.08.22.118
N043.06.00.281 E006.08.22.344
N043.05.58.630 E006.08.21.847
N043.05.58.552 E006.08.21.853
N043.05.58.522 E006.08.21.837
N043.05.57.239 E006.08.22.290
N043.05.55.528 E006.08.24.752
N043.05.55.486 E006.08.24.820
N043.05.51.352 E006.08.23.351
N043.05.47.600 E006.08.21.140
N043.05.46.635 E006.08.21.168
N043.05.46.490 E006.08.21.168
N043.05.46.204 E006.08.21.143
N043.05.41.030 E006.08.20.011
N043.05.39.027 E006.08.18.762
N043.05.38.524 E006.08.19.353
N043.05.37.871 E006.08.22.017
N043.05.36.322 E006.08.24.935
N043.05.34.466 E006.08.28.852
N043.05.32.544 E006.08.31.205
N043.05.31.028 E006.08.32.747
N043.05.29.746 E006.08.34.157
N043.05.26.849 E006.08.36.461
N043.05.26.495 E006.08.36.662
N043.05.23.015 E006.08.39.481
N043.05.22.880 E006.08.39.571
N043.05.20.353 E006.08.41.595
N043.05.20.287 E006.08.41.673
N043.05.18.042 E006.08.43.464
N043.05.15.909 E006.08.45.598
N043.05.15.785 E006.08.45.745
N043.05.13.822 E006.08.48.066
N043.05.13.581 E006.08.48.351
N043.05.11.158 E006.08.51.217
N043.05.10.286 E006.08.53.408
N043.05.09.498 E006.08.56.218
N043.05.08.989 E006.08.58.871
N043.05.08.611 E006.09.01.060
N043.05.08.248 E006.09.02.982
N043.05.08.189 E006.09.03.108
N043.05.07.991 E006.09.04.901
N043.05.07.981 E006.09.05.094
N043.05.07.919 E006.09.05.283
N043.05.07.812 E006.09.07.337
N043.05.07.750 E006.09.07.525
N043.05.07.551 E006.09.10.342
N043.05.07.538 E006.09.10.598
N043.05.08.169 E006.09.13.586
N043.05.08.260 E006.09.13.859
N043.05.08.296 E006.09.14.189
N043.05.08.920 E006.09.17.550
N043.05.08.910 E006.09.17.746
N043.05.09.006 E006.09.17.959
N043.05.10.413 E006.09.21.256
N043.05.10.454 E006.09.21.530
N043.05.10.447 E006.09.21.662
N043.05.11.300 E006.09.23.443
N043.05.11.346 E006.09.23.654
N043.05.12.276 E006.09.25.343
N043.05.12.432 E006.09.25.650
N043.05.15.691 E006.09.28.552
N043.05.15.912 E006.09.28.956
N043.05.18.207 E006.09.31.162
N043.05.18.320 E006.09.31.406
N043.05.18.437 E006.09.31.579
N043.05.20.208 E006.09.33.277
N043.05.21.405 E006.09.33.557

