;=============================================== ~~ LFRR/LFRK/Taxiways ~~ ================================================;
N049.10.48.454:W000.27.45.892:LFRK Taxiways:A1
N049.10.55.431:W000.27.32.807:LFRK Taxiways:A
N049.10.51.310:W000.27.31.005:LFRK Taxiways:H
N049.10.46.495:W000.27.16.925:LFRK Taxiways:H
N049.10.40.844:W000.27.08.240:LFRK Taxiways:H
N049.10.32.656:W000.26.53.764:LFRK Taxiways:H3
N049.10.44.361:W000.27.19.379:LFRK Taxiways:H2
N049.10.47.880:W000.27.27.030:LFRK Taxiways:H1
N049.10.44.670:W000.27.47.860:LFRK Taxiways:X
N049.10.44.220:W000.27.48.250:LFRK Taxiways:X
N049.10.16.843:W000.27.13.342:LFRK Taxiways:X
N049.10.17.456:W000.27.12.104:LFRK Taxiways:X
N049.10.18.211:W000.27.10.652:LFRK Taxiways:X
N049.10.21.326:W000.27.04.628:LFRK Taxiways:X
N049.10.22.228:W000.27.02.722:LFRK Taxiways:X
N049.10.23.078:W000.27.01.127:LFRK Taxiways:X
N049.10.24.657:W000.26.58.078:LFRK Taxiways:X
N049.10.25.632:W000.26.56.189:LFRK Taxiways:X
N049.10.26.462:W000.26.54.597:LFRK Taxiways:X
N049.10.34.295:W000.26.39.458:LFRK Taxiways:X
N049.10.35.731:W000.26.36.343:LFRK Taxiways:X
N049.10.37.037:W000.26.33.917:LFRK Taxiways:X
N049.10.52.903:W000.27.57.771:LFRK Taxiways:X
N049.10.54.009:W000.27.57.829:LFRK Taxiways:X
