[ARTCC]

TMA LFRS TMA Nantes 1                    N047.21.58.000 W001.38.24.000 N047.15.26.000 W001.20.12.000
                                         N047.15.26.000 W001.20.12.000 N046.56.16.000 W001.35.01.000
                                         N046.56.16.000 W001.35.01.000 N047.02.48.000 W001.53.06.000
                                         N047.02.48.000 W001.53.06.000 N047.21.58.000 W001.38.24.000

TMA LFRS TMA Nantes 2                    N047.29.38.000 W002.12.26.000 N047.29.38.000 W001.36.20.000
N047.29.38.000 W001.36.20.000 N047.29.26.448 W001.32.41.538
N047.29.26.448 W001.32.41.538 N047.28.51.449 W001.28.40.854
N047.28.51.449 W001.28.40.854 N047.27.53.890 W001.24.49.634
N047.27.53.890 W001.24.49.634 N047.26.34.909 W001.21.12.378
N047.26.34.909 W001.21.12.378 N047.24.56.071 W001.17.53.314
N047.24.56.071 W001.17.53.314 N047.22.59.329 W001.14.56.319
N047.22.59.329 W001.14.56.319 N047.20.46.984 W001.12.24.835
N047.20.46.984 W001.12.24.835 N047.18.21.644 W001.10.21.811
N047.18.21.644 W001.10.21.811 N047.17.01.000 W001.09.30.000
N047.17.01.000 W001.09.30.000 N046.50.13.000 W001.29.59.000
N046.50.13.000 W001.29.59.000 N046.50.05.853 W001.30.40.303
N046.50.05.853 W001.30.40.303 N046.49.42.712 W001.34.43.969
N046.49.42.712 W001.34.43.969 N046.49.42.712 W001.38.50.031
N046.49.42.712 W001.38.50.031 N046.50.05.853 W001.42.53.698
N046.50.05.853 W001.42.53.698 N046.50.51.693 W001.46.50.226
N046.50.51.693 W001.46.50.226 N046.51.47.000 W001.49.54.000
N046.51.47.000 W001.49.54.000 N047.04.15.000 W002.21.08.000
N047.04.15.000 W002.21.08.000 N047.25.00.000 W002.20.00.000
N047.25.00.000 W002.20.00.000 N047.29.38.000 W002.12.26.000

TMA LFRS TMA Nantes 3                   N047.39.39.000 W001.14.23.000 N047.29.13.000 W000.57.14.000
                                         N047.29.13.000 W000.57.14.000 N047.15.14.000 W000.54.36.000
                                         N047.15.14.000 W000.54.36.000 N046.58.41.000 W001.21.14.000
                                         N046.58.41.000 W001.21.14.000 N046.47.30.000 W001.26.45.000
                                         N046.47.30.000 W001.26.45.000 N046.40.05.000 W001.57.28.000
                                         N046.40.05.000 W001.57.28.000 N046.47.36.000 W002.16.15.000
                                         N046.47.36.000 W002.16.15.000 N046.51.36.000 W002.21.47.000
                                         N046.51.36.000 W002.21.47.000 N047.25.00.000 W002.20.00.000
                                         N047.25.00.000 W002.20.00.000 N047.29.38.000 W002.12.26.000
                                         N047.29.38.000 W002.12.26.000 N047.36.00.000 W002.02.00.000
                                         N047.36.00.000 W002.02.00.000 N047.37.00.000 W001.49.17.000
                                         N047.37.00.000 W001.49.17.000 N047.39.39.000 W001.14.23.000

TMA LFRS TMA Nantes 4                    N047.39.39.000 W001.14.23.000 N047.29.13.000 W000.57.14.000
N047.29.13.000 W000.57.14.000 N047.15.14.000 W000.54.36.000
N047.15.14.000 W000.54.36.000 N046.30.00.000 W001.06.36.000
N046.30.00.000 W001.06.36.000 N046.30.00.000 W001.32.35.000
N046.30.00.000 W001.32.35.000 N046.47.36.000 W002.16.15.000
N046.47.36.000 W002.16.15.000 N046.51.36.000 W002.21.47.000
N046.51.36.000 W002.21.47.000 N047.25.00.000 W002.20.00.000
N047.25.00.000 W002.20.00.000 N047.36.00.000 W002.02.00.000
N047.36.00.000 W002.02.00.000 N047.37.00.000 W001.49.17.000
N047.37.00.000 W001.49.17.000 N047.39.39.000 W001.14.23.000

TMA LFRS TMA Nantes 5       N047.39.39.000 W001.14.23.000 N047.29.13.000 W000.57.14.000
                                         N047.29.13.000 W000.57.14.000 N047.15.14.000 W000.54.36.000
                                         N047.15.14.000 W000.54.36.000 N046.50.08.000 W000.49.56.000
                                         N046.50.08.000 W000.49.56.000 N046.40.00.000 W000.48.18.000
                                         N046.40.00.000 W000.48.18.000 N046.30.00.000 W001.06.36.000
                                         N046.30.00.000 W001.06.36.000 N046.30.00.000 W001.32.35.000
                                         N046.30.00.000 W001.32.35.000 N046.47.36.000 W002.16.15.000
                                         N046.47.36.000 W002.16.15.000 N046.51.36.000 W002.21.47.000
                                         N046.51.36.000 W002.21.47.000 N047.25.00.000 W002.20.00.000
                                         N047.25.00.000 W002.20.00.000 N047.36.00.000 W002.02.00.000
                                         N047.36.00.000 W002.02.00.000 N047.37.00.000 W001.49.17.000
                                         N047.37.00.000 W001.49.17.000 N047.39.39.000 W001.14.23.000

TMA LFRS TMA Nantes 6       N047.29.38.000 W002.12.26.000 N047.29.38.000 W001.36.20.000
N047.29.38.000 W001.36.20.000 N047.29.26.448 W001.32.41.538
N047.29.26.448 W001.32.41.538 N047.28.51.449 W001.28.40.854
N047.28.51.449 W001.28.40.854 N047.27.53.890 W001.24.49.634
N047.27.53.890 W001.24.49.634 N047.26.34.909 W001.21.12.378
N047.26.34.909 W001.21.12.378 N047.25.40.000 W001.19.12.000
N047.25.40.000 W001.19.12.000 N047.37.33.000 W001.42.44.000
N047.37.33.000 W001.42.44.000 N047.36.00.000 W002.02.00.000
N047.36.00.000 W002.02.00.000 N047.29.38.000 W002.12.26.000


[ARTCC LOW]

Tower CTR LFRS CTR Nantes                N047.07.19.000 W001.46.15.000 N047.07.43.028 W001.46.26.904
                                         N047.07.43.028 W001.46.26.904 N047.08.40.673 W001.46.41.857
                                         N047.08.40.673 W001.46.41.857 N047.09.39.188 W001.46.44.863
                                         N047.09.39.188 W001.46.44.863 N047.10.37.437 W001.46.35.861
                                         N047.10.37.437 W001.46.35.861 N047.11.34.283 W001.46.15.029
                                         N047.11.34.283 W001.46.15.029 N047.12.28.620 W001.45.42.771
                                         N047.12.28.620 W001.45.42.771 N047.13.19.386 W001.44.59.714
                                         N047.13.19.386 W001.44.59.714 N047.14.05.591 W001.44.06.698
                                         N047.14.05.591 W001.44.06.698 N047.14.46.332 W001.43.04.754
                                         N047.14.46.332 W001.43.04.754 N047.15.20.811 W001.41.55.087
                                         N047.15.20.811 W001.41.55.087 N047.15.48.355 W001.40.39.054
                                         N047.15.48.355 W001.40.39.054 N047.16.08.423 W001.39.18.135
