N044.10.32.240 E000.35.48.079 ACB
N044.10.30.196 E000.35.47.215 D1
N044.10.30.579 E000.35.47.478 D2
N044.10.30.943 E000.35.47.660 D3
N044.10.30.687 E000.35.44.447 C1
N044.10.31.112 E000.35.44.721 C2
N044.10.31.538 E000.35.44.920 C3
N044.10.31.943 E000.35.45.183 C4
N044.10.31.219 E000.35.42.475 B1
N044.10.31.839 E000.35.42.820 B2
N044.10.32.565 E000.35.38.348 A1
N044.10.31.842 E000.35.40.778 A3
N044.10.33.307 E000.35.39.990 A2
N044.10.36.944 E000.35.31.783 N1
N044.10.37.392 E000.35.32.017 N2
N044.10.35.174 E000.35.37.237 TWR
N044.10.34.567 E000.35.38.556 Terminal
