N044.10.29.018 E000.35.27.872 N044.10.24.586 E000.35.42.991 COLOR_RunwayConcrete ; Piste-11-29
N044.10.23.925 E000.35.45.216 N044.10.17.760 E000.36.06.220 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.760 E000.36.06.220 N044.10.17.790 E000.36.06.283 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.790 E000.36.06.283 N044.10.17.861 E000.36.06.352 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.861 E000.36.06.352 N044.10.17.932 E000.36.06.451 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.932 E000.36.06.451 N044.10.17.993 E000.36.06.543 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.993 E000.36.06.543 N044.10.18.012 E000.36.06.647 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.18.012 E000.36.06.647 N044.10.18.045 E000.36.06.753 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.18.045 E000.36.06.753 N044.10.18.059 E000.36.06.874 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.18.059 E000.36.06.874 N044.10.18.059 E000.36.06.985 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.18.059 E000.36.06.985 N044.10.18.045 E000.36.07.111 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.18.045 E000.36.07.111 N044.10.18.020 E000.36.07.217 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.18.020 E000.36.07.217 N044.10.17.991 E000.36.07.298 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.991 E000.36.07.298 N044.10.17.947 E000.36.07.374 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.947 E000.36.07.374 N044.10.17.889 E000.36.07.454 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.889 E000.36.07.454 N044.10.17.831 E000.36.07.510 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.831 E000.36.07.510 N044.10.17.781 E000.36.07.540 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.781 E000.36.07.540 N044.10.17.701 E000.36.07.575 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.701 E000.36.07.575 N044.10.17.625 E000.36.07.575 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.625 E000.36.07.575 N044.10.17.552 E000.36.07.591 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.552 E000.36.07.591 N044.10.17.503 E000.36.07.580 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.503 E000.36.07.580 N044.10.17.456 E000.36.07.566 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.456 E000.36.07.566 N044.10.17.409 E000.36.07.556 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.409 E000.36.07.556 N044.10.17.372 E000.36.07.579 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.372 E000.36.07.579 N044.10.17.351 E000.36.07.637 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.17.351 E000.36.07.637 N044.10.14.705 E000.36.16.612 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.705 E000.36.16.612 N044.10.14.705 E000.36.16.700 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.705 E000.36.16.700 N044.10.14.689 E000.36.16.811 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.689 E000.36.16.811 N044.10.14.668 E000.36.16.965 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.668 E000.36.16.965 N044.10.14.668 E000.36.17.105 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.668 E000.36.17.105 N044.10.14.678 E000.36.17.252 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.678 E000.36.17.252 N044.10.14.694 E000.36.17.392 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.694 E000.36.17.392 N044.10.14.710 E000.36.17.525 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.710 E000.36.17.525 N044.10.14.745 E000.36.17.629 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.745 E000.36.17.629 N044.10.14.763 E000.36.17.735 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.763 E000.36.17.735 N044.10.14.799 E000.36.17.841 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.799 E000.36.17.841 N044.10.14.827 E000.36.17.941 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.827 E000.36.17.941 N044.10.14.867 E000.36.18.052 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.867 E000.36.18.052 N044.10.14.900 E000.36.18.167 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.900 E000.36.18.167 N044.10.14.943 E000.36.18.278 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.943 E000.36.18.278 N044.10.14.975 E000.36.18.394 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.975 E000.36.18.394 N044.10.15.001 E000.36.18.509 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.15.001 E000.36.18.509 N044.10.15.011 E000.36.18.620 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.15.011 E000.36.18.620 N044.10.15.015 E000.36.18.756 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.15.015 E000.36.18.756 N044.10.15.029 E000.36.18.892 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.15.029 E000.36.18.892 N044.10.15.011 E000.36.19.048 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.15.011 E000.36.19.048 N044.10.14.986 E000.36.19.193 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.986 E000.36.19.193 N044.10.14.957 E000.36.19.314 COLOR_RunwayConcrete ; Piste-11-29-1
