COLOR_GrasSurface          
N044.49.57.745 W000.44.05.799
N044.49.56.658 W000.44.07.426
N044.49.56.414 W000.44.07.745
N044.49.56.226 W000.44.07.923
N044.49.54.242 W000.44.09.324
N044.49.53.178 W000.44.05.852
N044.49.53.409 W000.44.01.656
N044.49.53.501 W000.44.01.200
N044.49.42.413 W000.43.35.893
N044.49.42.205 W000.43.35.948
N044.49.38.573 W000.43.40.669
N044.49.33.661 W000.43.34.764
N044.49.21.732 W000.43.51.687
N044.49.17.492 W000.43.57.753
N044.49.07.467 W000.44.11.990
N044.49.04.430 W000.44.16.317
N044.49.04.356 W000.44.16.207
N044.49.01.476 W000.44.20.289
N044.49.01.554 W000.44.20.394
N044.48.59.201 W000.44.23.729
N044.48.57.051 W000.44.26.787
N044.48.56.407 W000.44.27.703
N044.48.51.180 W000.44.20.424
N044.48.51.330 W000.44.18.953
N044.48.51.455 W000.44.17.610
N044.48.51.502 W000.44.16.522
N044.48.51.470 W000.44.13.951
N044.48.51.129 W000.44.07.018
N044.48.50.445 W000.43.53.125
N044.48.51.088 W000.43.52.325
N044.48.52.567 W000.43.52.180
N044.48.52.472 W000.43.49.957
N044.49.01.169 W000.43.36.046
N044.49.08.052 W000.43.24.727
N044.49.11.938 W000.43.18.257
N044.49.14.546 W000.43.13.891
N044.49.17.344 W000.43.09.618
N044.49.17.920 W000.43.10.254
N044.49.24.779 W000.43.00.281
N044.49.25.386 W000.42.54.724
N044.49.23.996 W000.42.54.341
N044.49.07.013 W000.42.36.992
N044.49.06.301 W000.42.36.239
N044.49.05.973 W000.42.35.747
N044.49.05.767 W000.42.35.169
N044.49.05.683 W000.42.34.442
N044.49.05.685 W000.42.33.685
N044.49.09.430 W000.42.18.260
N044.49.11.671 W000.42.08.595
N044.49.14.014 W000.42.07.065
N044.49.14.839 W000.42.03.712
N044.49.18.706 W000.41.56.588
N044.49.24.131 W000.41.46.489
N044.49.15.707 W000.41.39.346
N044.49.22.339 W000.41.24.217
N044.49.23.183 W000.41.23.922
N044.49.33.586 W000.41.31.743
N044.49.31.967 W000.41.36.008
N044.49.38.344 W000.41.40.779
N044.49.39.862 W000.41.40.751
N044.49.39.898 W000.41.38.754
N044.49.39.962 W000.41.38.369
N044.49.40.092 W000.41.37.838
N044.49.41.025 W000.41.35.228
N044.49.41.157 W000.41.34.927
N044.49.41.301 W000.41.34.745
N044.49.41.548 W000.41.34.595
N044.49.42.111 W000.41.34.342
N044.49.42.798 W000.41.34.120
N044.49.43.100 W000.41.34.055
N044.49.43.476 W000.41.34.037
N044.49.43.858 W000.41.34.131
N044.49.44.402 W000.41.34.312
N044.49.44.779 W000.41.34.489
N044.49.45.229 W000.41.34.800
N044.49.49.042 W000.41.37.686
N044.49.49.126 W000.41.37.772
N044.49.49.211 W000.41.37.876
N044.49.49.291 W000.41.38.001
N044.49.49.352 W000.41.38.132
N044.49.49.405 W000.41.38.282
N044.49.49.443 W000.41.38.461
N044.49.49.441 W000.41.38.641
