N044.49.52.559 W000.42.16.851 A5
N044.49.53.458 W000.42.16.257 A6
N044.49.54.222 W000.42.14.703 A7
N044.49.54.807 W000.42.13.698 A8
N044.49.55.991 W000.42.12.076 A9
N044.49.56.860 W000.42.11.345 A10
N044.49.57.744 W000.42.09.587 A11
N044.49.59.520 W000.42.05.850 Y01
N044.50.02.880 W000.42.01.120 Y02
N044.49.59.961 W000.42.07.485 Y11
N044.50.01.025 W000.42.07.416 Y12
N044.50.01.800 W000.42.04.320 Y13
N044.50.02.350 W000.42.02.040 Y21
N044.50.03.510 W000.42.00.210 Y22
N044.50.03.840 W000.42.02.000 Y2A
N044.49.50.290 W000.42.16.729 B5
N044.49.50.913 W000.42.18.761 B5R
N044.49.50.060 W000.42.19.872 B4R
N044.49.49.465 W000.42.20.720 B4
N044.49.48.669 W000.42.21.890 B3R
N044.49.48.113 W000.42.22.709 B3
N044.49.47.413 W000.42.22.753 B2R
N044.49.47.058 W000.42.23.235 B1R
N044.49.45.869 W000.42.22.431 B1
N044.49.45.380 W000.42.20.647 B6
N044.49.45.936 W000.42.18.615 B7
N044.49.46.320 W000.42.17.811 B7R
N044.49.47.116 W000.42.16.890 B8
N044.49.47.202 W000.42.15.867 B8R
N044.49.48.152 W000.42.14.682 B9R
N044.49.48.506 W000.42.13.747 B9
N044.49.47.593 W000.42.10.820 C1
N044.49.46.829 W000.42.10.135 C2
N044.49.46.155 W000.42.08.764 C3
N044.49.45.226 W000.42.07.805 C4
N044.49.44.731 W000.42.05.886 C6
N044.49.44.297 W000.42.03.510 D1
N044.49.43.368 W000.42.01.889 D2
N044.49.42.843 W000.41.59.604 D3
N044.49.42.409 W000.41.57.525 D4
N044.49.42.229 W000.41.54.807 D5
N044.49.42.424 W000.41.52.363 D6
N044.49.40.730 W000.41.46.560 F1
N044.49.38.753 W000.41.47.977 F2
N044.49.37.074 W000.41.48.868 F3
N044.50.11.014 W000.41.53.999 J11
N044.50.10.528 W000.41.53.323 J12
N044.50.10.031 W000.41.52.661 J13
N044.50.11.999 W000.41.52.582 J21
N044.50.11.521 W000.41.51.884 J22
N044.50.11.044 W000.41.51.207 J23
N044.50.13.027 W000.41.51.091 J31
N044.50.12.525 W000.41.50.432 J32
N044.50.12.078 W000.41.56.668 K1
N044.50.13.020 W000.41.55.238 K2
N044.50.13.965 W000.41.53.870 K3
N044.50.14.924 W000.41.52.485 K4
N044.49.45.503 W000.41.44.523 CARGO
N044.49.14.535 W000.42.24.639 M
N044.50.19.732 W000.42.54.764 ZERO G
