N044.50.12.800 W000.42.03.770 A
N044.49.48.622 W000.42.37.668 B
N044.49.30.596 W000.43.03.889 C
N044.49.16.664 W000.43.24.449 D
N044.50.05.730 W000.42.04.270 EN
N044.50.00.997 W000.42.11.590 E1
N044.49.55.190 W000.42.19.607 E2
N044.49.46.182 W000.42.29.088 E3
N044.49.43.621 W000.42.17.864 E4
N044.49.41.243 W000.42.06.431 E5
N044.49.37.722 W000.41.52.419 E6
N044.49.36.213 W000.42.00.715 F
N044.49.50.391 W000.43.13.807 G
N044.50.10.026 W000.41.57.245 L1
N044.50.09.876 W000.41.51.163 L2
N044.50.11.843 W000.41.48.136 L3
N044.50.13.117 W000.41.50.135 L4
N044.50.12.555 W000.41.53.362 L5
N044.50.13.880 W000.41.55.850 L6
N044.50.15.390 W000.41.47.391 L7
N044.49.26.949 W000.42.54.917 M1
N044.49.18.025 W000.42.11.773 M2
N044.49.27.571 W000.42.04.017 M2
N044.50.07.280 W000.42.04.627 P1
N044.49.58.936 W000.42.16.512 P2
N044.49.51.656 W000.42.26.997 P3
N044.49.42.254 W000.42.36.980 P4
N044.49.44.413 W000.42.37.203 P4
N044.49.37.060 W000.42.44.509 P5
N044.49.33.109 W000.42.53.321 P5
N044.49.19.552 W000.43.12.597 P6
N044.49.39.292 W000.42.02.493 S1
N044.49.41.341 W000.42.12.197 S2
N044.49.44.341 W000.42.26.586 S3
N044.49.51.803 W000.42.54.360 S4
N044.49.52.242 W000.43.04.343 S4
N044.50.22.925 W000.42.09.907 U
N044.50.26.510 W000.42.09.293 U
N044.50.26.108 W000.42.23.459 U1
N044.50.15.645 W000.42.44.541 U2
N044.50.34.083 W000.42.20.169 U5
N044.50.02.710 W000.42.06.570 WN
N044.49.56.890 W000.42.14.200 W1
N044.49.49.980 W000.42.24.420 W2
N044.49.44.700 W000.42.13.780 W3
N044.49.41.590 W000.42.01.180 W4
N044.50.18.087 W000.41.47.226 H
N044.49.26.470 W000.42.25.285 H MIL
N044.49.09.792 W000.43.42.646 05
N044.49.53.420 W000.43.43.857 11
N044.50.17.988 W000.42.05.281 23
N044.49.31.909 W000.42.01.598 29
N044.49.44.761 W000.43.18.416 X
N044.49.37.810 W000.43.20.150 X
N044.49.33.466 W000.43.14.991 X
N044.50.10.770 W000.42.48.156 X
N044.50.07.021 W000.42.46.622 X
N044.50.04.231 W000.42.45.716 X
N044.50.02.219 W000.42.50.665 X
N044.50.08.072 W000.42.55.336 X
N044.50.04.140 W000.42.54.639 X
N044.50.00.619 W000.42.56.033 X
N044.49.58.333 W000.43.04.260 X
N044.49.56.000 W000.43.11.789 X
