N044.49.20.980 E000.30.49.130 Terminal
N044.49.20.626 E000.30.52.744 TWR
N044.49.20.010 E000.30.57.900 ACD
N044.49.20.391 E000.30.42.937 ACB
N044.49.20.317 E000.30.40.177 RFFS
N044.49.22.850 E000.30.37.700 C1
N044.49.22.320 E000.30.37.080 C2
N044.49.21.710 E000.30.37.030 C3
N044.49.22.900 E000.30.41.250 E1
N044.49.22.640 E000.30.40.170 E2
N044.49.22.310 E000.30.41.500 E3
N044.49.21.760 E000.30.41.500 E4
N044.49.21.390 E000.30.41.140 E5
N044.49.21.000 E000.30.41.080 E6
N044.49.22.450 E000.30.43.160 G1
N044.49.22.810 E000.30.43.460 G2
N044.49.21.950 E000.30.43.330 G3
N044.49.21.520 E000.30.42.950 G4
N044.49.21.250 E000.30.43.980 G5
N044.49.21.390 E000.30.44.710 G6
N044.49.21.400 E000.30.45.550 G7
N044.49.21.460 E000.30.46.340 G8
N044.49.20.622 E000.30.44.754 Hangars
N044.49.21.679 E000.30.52.084 D1
N044.49.22.303 E000.30.55.090 D2
N044.49.21.214 E000.30.58.122 D3
N044.49.22.160 E000.30.57.688 D31
N044.49.21.912 E000.31.01.724 D4
