N045.39.45.856 W000.18.06.843 A
N045.39.38.721 W000.18.32.446 F
N045.39.37.118 W000.18.24.949 B
N045.39.26.730 W000.18.24.025 R
N045.39.22.578 W000.18.32.501 Q
N045.39.16.058 W000.18.59.907 C
N045.39.15.306 W000.19.12.301 E
N045.38.58.936 W000.19.27.496 D
N045.39.26.804 W000.19.05.849 H
N045.39.36.354 W000.18.54.729 G
N045.39.37.439 W000.19.11.197 J
N045.39.37.996 W000.19.21.978 K
N045.39.51.026 W000.18.54.432 M
N045.39.58.932 W000.18.32.828 N
N045.39.52.891 W000.18.19.330 P
N045.39.46.595 W000.19.22.757 L
N045.39.47.582 W000.19.24.634 X
N045.39.47.107 W000.19.25.205 X
N045.39.46.719 W000.19.25.593 X
N045.39.44.056 W000.19.25.824 X
N045.39.44.478 W000.19.25.881 X
N045.39.45.019 W000.19.26.142 X
