COLOR_GrasSurface
N046.10.51.875 W001.12.42.387
N046.10.51.472 W001.12.42.778
N046.10.50.927 W001.12.43.214
N046.10.50.628 W001.12.43.447
N046.10.50.244 W001.12.43.701
N046.10.49.776 W001.12.43.981
N046.10.49.223 W001.12.44.258
N046.10.48.720 W001.12.44.490
N046.10.48.210 W001.12.44.650
N046.10.47.673 W001.12.44.802
N046.10.47.315 W001.12.44.857
N046.10.46.942 W001.12.44.918
N046.10.46.426 W001.12.44.915
N046.10.45.865 W001.12.44.907
N046.10.45.297 W001.12.44.849
N046.10.44.873 W001.12.44.775
N046.10.44.627 W001.12.44.706
N046.10.44.173 W001.12.44.550
N046.10.43.679 W001.12.44.370
N046.10.43.281 W001.12.44.168
N046.10.42.708 W001.12.43.912
N046.10.41.617 W001.12.43.418
N046.10.41.560 W001.12.41.498
N046.10.41.362 W001.12.34.701
N046.10.41.219 W001.12.29.698
N046.10.40.909 W001.12.19.166
N046.10.40.697 W001.12.12.045
N046.10.40.526 W001.12.06.342
N046.10.40.439 W001.12.02.761
N046.10.40.174 W001.11.54.481
N046.10.36.398 W001.11.50.947
N046.10.36.207 W001.11.50.806
N046.10.35.788 W001.11.50.661
N046.10.35.654 W001.11.50.604
N046.10.35.501 W001.11.50.484
N046.10.34.609 W001.11.49.648
N046.10.34.466 W001.11.49.498
N046.10.34.360 W001.11.49.319
N046.10.34.269 W001.11.49.118
N046.10.34.175 W001.11.48.918
N046.10.34.061 W001.11.48.768
N046.10.33.910 W001.11.48.628
N046.10.31.610 W001.11.46.425
N046.10.31.470 W001.11.46.282
N046.10.31.433 W001.11.46.207
N046.10.31.415 W001.11.46.108
N046.10.31.409 W001.11.45.997
N046.10.31.423 W001.11.45.844
N046.10.31.466 W001.11.45.681
N046.10.32.391 W001.11.43.263
N046.10.32.428 W001.11.43.124
N046.10.32.448 W001.11.42.961
N046.10.32.459 W001.11.42.776
N046.10.32.463 W001.11.42.532
N046.10.32.405 W001.11.40.693
N046.10.32.279 W001.11.35.685
N046.10.32.269 W001.11.35.504
N046.10.32.257 W001.11.35.440
N046.10.32.234 W001.11.35.399
N046.10.32.199 W001.11.35.393
N046.10.32.120 W001.11.35.427
N046.10.31.665 W001.11.35.728
N046.10.29.173 W001.11.37.504
N046.10.28.660 W001.11.37.874
N046.10.28.522 W001.11.37.975
N046.10.27.668 W001.11.38.722
N046.10.26.791 W001.11.39.375
N046.10.26.581 W001.11.39.488
N046.10.26.374 W001.11.39.563
N046.10.26.190 W001.11.39.604
N046.10.26.058 W001.11.39.595
N046.10.25.898 W001.11.39.572
N046.10.25.731 W001.11.39.538
N046.10.25.584 W001.11.39.475
N046.10.25.443 W001.11.39.401
N046.10.25.312 W001.11.39.301
N046.10.25.184 W001.11.39.149
N046.10.25.058 W001.11.38.937
N046.10.24.936 W001.11.38.689
N046.10.24.834 W001.11.38.444
N046.10.24.637 W001.11.37.633
N046.10.24.531 W001.11.37.139
N046.10.24.208 W001.11.35.556
N046.10.24.101 W001.11.35.134
N046.10.24.058 W001.11.34.933
N046.10.24.020 W001.11.34.757
N046.10.24.003 W001.11.34.565
N046.10.23.948 W001.11.32.587
N046.10.23.880 W001.11.29.931
N046.10.23.774 W001.11.26.358
N046.10.23.785 W001.11.26.172
N046.10.23.819 W001.11.26.031
N046.10.23.923 W001.11.25.785
N046.10.25.076 W001.11.24.353
N046.10.27.226 W001.11.21.690
N046.10.29.531 W001.11.18.844
N046.10.31.281 W001.11.16.609
N046.10.31.826 W001.11.15.905
N046.10.32.030 W001.11.15.584
N046.10.32.385 W001.11.14.990
N046.10.34.005 W001.11.12.274
N046.10.35.262 W001.11.10.163
N046.10.36.350 W001.11.08.318
N046.10.37.435 W001.11.06.490
N046.10.38.101 W001.11.05.335
N046.10.38.624 W001.11.02.962
N046.10.38.646 W001.11.02.850
N046.10.38.654 W001.11.02.737
N046.10.38.463 W001.10.56.025
N046.10.38.333 W001.10.52.031
N046.10.41.243 W001.10.51.857
N046.10.44.547 W001.10.51.619
N046.10.46.983 W001.10.51.501
N046.10.48.158 W001.10.51.400
N046.10.48.354 W001.10.51.380
N046.10.48.508 W001.10.51.373
N046.10.48.590 W001.10.51.377
N046.10.48.632 W001.10.51.425
N046.10.48.801 W001.10.52.215
N046.10.49.034 W001.10.52.248
N046.10.51.127 W001.12.03.176
N046.10.53.031 W001.12.01.897
N046.10.54.439 W001.12.06.024
N046.10.51.271 W001.12.08.107
N046.10.52.287 W001.12.41.978
 
COLOR_HardSurface4
N046.10.35.793 W001.11.43.654
N046.10.35.792 W001.11.43.627
N046.10.35.785 W001.11.43.596
N046.10.35.767 W001.11.43.566
N046.10.35.752 W001.11.43.551
N046.10.35.726 W001.11.43.537
N046.10.35.645 W001.11.43.518
N046.10.35.304 W001.11.43.441
N046.10.35.293 W001.11.43.452
N046.10.35.286 W001.11.43.471
N046.10.35.283 W001.11.43.501
N046.10.35.284 W001.11.43.558
N046.10.35.285 W001.11.43.644
N046.10.35.294 W001.11.43.888
N046.10.35.315 W001.11.44.301
N046.10.35.317 W001.11.44.339
N046.10.35.325 W001.11.44.366
N046.10.35.338 W001.11.44.401
N046.10.35.324 W001.11.44.411
N046.10.34.978 W001.11.44.073
N046.10.35.001 W001.11.44.075
N046.10.35.016 W001.11.44.071
N046.10.35.030 W001.11.44.062
N046.10.35.042 W001.11.44.039
N046.10.35.048 W001.11.43.997
N046.10.35.051 W001.11.43.947
N046.10.35.048 W001.11.43.868
N046.10.35.044 W001.11.43.734
N046.10.35.041 W001.11.43.615
N046.10.35.029 W001.11.43.467
N046.10.35.018 W001.11.43.410
N046.10.35.002 W001.11.43.385
N046.10.34.979 W001.11.43.344
N046.10.34.967 W001.11.43.303
N046.10.34.953 W001.11.43.267
N046.10.34.934 W001.11.43.254
N046.10.34.909 W001.11.43.254
N046.10.34.886 W001.11.43.268
N046.10.34.841 W001.11.43.293
N046.10.34.774 W001.11.43.311
N046.10.34.678 W001.11.43.309
N046.10.34.572 W001.11.43.291
N046.10.34.420 W001.11.43.250
N046.10.34.119 W001.11.43.150
N046.10.33.556 W001.11.42.972
N046.10.33.290 W001.11.42.856
N046.10.33.089 W001.11.42.577
N046.10.33.217 W001.11.42.278
N046.10.33.415 W001.11.42.210
N046.10.33.912 W001.11.38.470
N046.10.33.581 W001.11.37.046
N046.10.33.568 W001.11.35.956
N046.10.33.909 W001.11.35.939
N046.10.33.928 W001.11.35.928
N046.10.33.942 W001.11.35.906
N046.10.33.947 W001.11.35.880
N046.10.33.941 W001.11.35.392
N046.10.33.933 W001.11.35.342
N046.10.33.899 W001.11.35.288
N046.10.33.679 W001.11.33.914
N046.10.33.666 W001.11.33.192
N046.10.33.820 W001.11.32.200
N046.10.33.799 W001.11.31.416
N046.10.33.993 W001.11.31.407
N046.10.34.007 W001.11.31.396
N046.10.34.018 W001.11.31.373
N046.10.34.020 W001.11.31.335
N046.10.34.001 W001.11.30.601
N046.10.34.199 W001.11.30.397
N046.10.34.545 W001.11.41.006
N046.10.34.693 W001.11.41.265
N046.10.35.392 W001.11.41.304
N046.10.35.390 W001.11.41.517
N046.10.35.146 W001.11.41.525
N046.10.35.135 W001.11.42.426
N046.10.35.329 W001.11.42.439
N046.10.35.323 W001.11.43.082
N046.10.35.899 W001.11.43.216
N046.10.35.972 W001.11.43.237
N046.10.36.011 W001.11.43.240
N046.10.36.048 W001.11.43.229
N046.10.35.788 W001.11.43.692
 
COLOR_HardSurface4
N046.10.35.948 W001.11.45.589
N046.10.36.000 W001.11.45.475
N046.10.36.105 W001.11.45.572
N046.10.36.044 W001.11.45.709
N046.10.36.276 W001.11.45.925
N046.10.36.202 W001.11.46.090
N046.10.36.058 W001.11.45.964
N046.10.35.948 W001.11.46.214
N046.10.35.647 W001.11.45.921
N046.10.35.564 W001.11.45.957
N046.10.35.792 W001.11.45.436
 
COLOR_HardSurface4
N046.10.26.445 W001.11.36.852
N046.10.26.377 W001.11.36.921
N046.10.26.319 W001.11.36.986
N046.10.26.263 W001.11.37.060
N046.10.26.206 W001.11.37.173
N046.10.26.155 W001.11.37.269
N046.10.26.133 W001.11.37.304
N046.10.26.119 W001.11.37.367
N046.10.26.105 W001.11.37.453
N046.10.26.101 W001.11.37.530
N046.10.26.105 W001.11.37.609
N046.10.26.108 W001.11.37.673
N046.10.25.967 W001.11.37.781
N046.10.25.686 W001.11.37.392
N046.10.25.547 W001.11.36.974
N046.10.26.354 W001.11.36.380
N046.10.26.496 W001.11.36.814
 
COLOR_HardSurface4
N046.10.27.143 W001.11.34.583
N046.10.27.236 W001.11.34.433
N046.10.27.319 W001.11.34.313
N046.10.27.354 W001.11.34.248
N046.10.27.377 W001.11.34.187
N046.10.27.387 W001.11.34.129
N046.10.27.393 W001.11.34.065
N046.10.27.392 W001.11.33.986
N046.10.27.384 W001.11.33.925
N046.10.27.367 W001.11.33.860
N046.10.27.340 W001.11.33.771
N046.10.27.279 W001.11.33.615
N046.10.27.197 W001.11.33.437
N046.10.27.140 W001.11.33.328
N046.10.27.110 W001.11.33.287
N046.10.27.074 W001.11.33.267
N046.10.26.694 W001.11.33.177
N046.10.26.707 W001.11.32.990
N046.10.26.974 W001.11.33.039
N046.10.27.088 W001.11.33.072
N046.10.27.139 W001.11.33.093
