N046.35.16.055 E000.18.40.965 G1
N046.35.15.574 E000.18.42.168 G2
N046.35.15.084 E000.18.43.409 G3
N046.35.14.612 E000.18.44.136 G4
N046.35.15.147 E000.18.40.212 G5
N046.35.14.675 E000.18.41.401 G6
N046.35.14.167 E000.18.42.630 G7
N046.35.13.740 E000.18.43.713 G8
N046.35.15.601 E000.18.40.556 H1
N046.35.15.084 E000.18.41.798 H2
N046.35.14.612 E000.18.43.000 H3
N046.35.14.058 E000.18.44.004 H4
N046.35.14.739 E000.18.44.598 H8
N046.35.07.030 E000.18.35.332 P1
N046.35.08.009 E000.18.36.096 P2
N046.35.08.988 E000.18.35.373 P3
N046.35.10.676 E000.18.36.777 P4
N046.35.12.463 E000.18.38.201 P5
N046.35.05.010 E000.18.35.423 S1
N046.35.04.168 E000.18.36.406 S2
N046.35.03.957 E000.18.37.177 S3
N046.35.03.565 E000.18.37.663 S4
N046.35.03.144 E000.18.38.118 S5
N046.35.02.686 E000.18.38.509 S6
N046.35.02.287 E000.18.39.016 S7
N046.35.01.895 E000.18.39.523 S8
N046.35.01.510 E000.18.40.031 S9
N046.35.00.172 E000.18.40.459 ACB
N046.35.40.587 E000.18.28.122 Usine
