COLOR_GrasSurface         
N043.39.01.555 E001.20.22.229
N043.39.01.135 E001.20.21.629
N043.38.59.573 E001.20.20.293
N043.38.55.074 E001.20.16.528
N043.38.50.556 E001.20.20.734
N043.38.48.401 E001.20.22.743
N043.38.46.529 E001.20.24.497
N043.38.46.430 E001.20.24.326
N043.38.45.384 E001.20.22.207
N043.38.43.605 E001.20.18.038
N043.38.42.416 E001.20.18.973
N043.38.40.958 E001.20.15.675
N043.38.40.579 E001.20.15.898
N043.38.40.348 E001.20.16.115
N043.38.40.089 E001.20.16.365
N043.38.39.860 E001.20.16.625
N043.38.39.576 E001.20.16.996
N043.38.39.291 E001.20.17.353
N043.38.38.967 E001.20.17.802
N043.38.38.738 E001.20.18.222
N043.38.38.621 E001.20.18.486
N043.38.38.023 E001.20.19.737
N043.38.36.786 E001.20.22.263
N043.38.39.612 E001.20.27.691
N043.38.36.969 E001.20.30.362
N043.38.37.372 E001.20.31.115
N043.38.36.951 E001.20.31.428
N043.38.36.437 E001.20.31.766
N043.38.35.960 E001.20.32.122
N043.38.35.492 E001.20.32.493
N043.38.35.112 E001.20.32.816
N043.38.34.545 E001.20.33.401
N043.38.30.821 E001.20.37.294
N043.38.27.940 E001.20.40.288
N043.38.26.643 E001.20.41.640
N043.38.24.401 E001.20.43.969
N043.38.23.079 E001.20.45.340
N043.38.21.882 E001.20.46.589
N043.38.20.532 E001.20.48.010
N043.38.19.446 E001.20.49.128
N043.38.18.845 E001.20.49.757
N043.38.18.176 E001.20.50.457
N043.38.16.379 E001.20.52.329
N043.38.16.244 E001.20.52.194
N043.38.15.956 E001.20.52.441
N043.38.15.425 E001.20.51.923
N043.38.14.645 E001.20.51.180
N043.38.13.405 E001.20.49.974
N043.38.12.104 E001.20.48.732
N043.38.11.372 E001.20.48.031
N043.38.10.717 E001.20.47.422
N043.38.10.189 E001.20.46.453
N043.38.08.477 E001.20.46.446
N043.38.08.362 E001.20.47.966
N043.38.04.747 E001.20.47.042
N043.38.04.797 E001.20.46.661
N043.38.04.586 E001.20.46.560
N043.38.04.384 E001.20.46.430
N043.38.04.185 E001.20.46.254
N043.38.04.072 E001.20.46.052
N043.38.03.958 E001.20.45.794
N043.38.03.825 E001.20.45.419
N043.38.03.795 E001.20.45.087
N043.38.03.781 E001.20.44.775
N043.38.03.840 E001.20.44.438
N043.38.03.959 E001.20.44.089
N043.38.04.166 E001.20.43.682
N043.38.04.427 E001.20.43.213
N043.38.04.634 E001.20.42.800
N043.38.04.733 E001.20.42.573
N043.38.04.803 E001.20.42.315
N043.38.04.870 E001.20.41.996
N043.38.04.924 E001.20.41.614
N043.38.04.942 E001.20.41.272
N043.38.04.892 E001.20.40.956
N043.38.04.708 E001.20.40.629
N043.38.04.409 E001.20.40.378
N043.38.03.873 E001.20.40.069
N043.38.03.239 E001.20.39.704
N043.38.03.053 E001.20.39.615
N043.38.02.316 E001.20.39.254
N043.38.01.809 E001.20.39.027
N043.38.01.332 E001.20.38.817
N043.38.01.052 E001.20.38.714
N043.38.00.783 E001.20.38.628
N043.38.00.445 E001.20.38.529
N043.38.00.044 E001.20.38.441
N043.37.59.752 E001.20.38.381
N043.37.59.041 E001.20.38.325
N043.37.59.092 E001.20.40.452
N043.37.58.539 E001.20.41.078
N043.37.58.336 E001.20.40.862
N043.37.57.677 E001.20.41.518
N043.37.57.770 E001.20.41.991
N043.37.57.722 E001.20.42.274
N043.37.57.373 E001.20.42.555
N043.37.56.970 E001.20.42.812
N043.37.57.081 E001.20.46.240
N043.37.57.295 E001.20.46.231
N043.37.58.583 E001.20.48.592
N043.37.58.613 E001.20.48.796
N043.37.57.971 E001.20.52.698
N043.37.58.174 E001.20.52.758
N043.37.58.739 E001.20.53.770
N043.37.56.755 E001.20.55.852
N043.37.56.165 E001.20.54.765
N043.37.54.475 E001.20.56.505
N043.37.53.733 E001.20.56.581
N043.37.53.533 E001.20.56.613
N043.37.53.305 E001.20.56.679
N043.37.53.220 E001.20.56.747
N043.37.49.998 E001.21.00.083
N043.37.49.275 E001.21.00.816
N043.37.47.667 E001.21.02.490
N043.37.46.872 E001.21.03.321
N043.37.44.583 E001.21.03.414
N043.37.44.531 E001.21.03.382
N043.37.44.506 E001.21.03.310
N043.37.44.436 E001.21.00.185
N043.37.42.137 E001.21.00.301
N043.37.41.771 E001.20.47.974
N043.37.34.592 E001.20.48.353
N043.37.34.513 E001.20.48.478
N043.37.34.567 E001.20.50.374
N043.37.34.165 E001.20.50.368
N043.37.34.179 E001.20.50.999
N043.37.33.926 E001.20.51.272
N043.37.34.093 E001.20.56.994
N043.37.33.947 E001.20.57.014
N043.37.33.998 E001.20.59.063
N043.37.31.462 E001.20.59.229
N043.37.31.270 E001.20.52.687
N043.37.31.439 E001.20.52.225
N043.37.31.393 E001.20.50.538
N043.37.29.398 E001.20.50.608
N043.37.29.391 E001.20.50.236
N043.37.29.216 E001.20.50.236
N043.37.29.189 E001.20.49.005
N043.37.28.659 E001.20.49.037
N043.37.28.650 E001.20.48.702
N043.37.26.505 E001.20.48.810
N043.37.26.097 E001.20.49.208
N043.37.26.158 E001.20.49.316
N043.37.25.955 E001.20.49.519
N043.37.25.885 E001.20.49.393
N043.37.22.136 E001.20.53.115
N043.37.20.236 E001.20.49.480
N043.37.18.965 E001.20.48.120
N043.37.16.875 E001.20.50.123
N043.37.15.269 E001.20.49.849
N043.37.14.942 E001.20.50.319
N043.37.15.067 E001.20.50.703
N043.37.15.088 E001.20.50.942
N043.37.14.949 E001.20.53.257
N043.37.15.949 E001.20.55.543
N043.37.15.781 E001.20.56.210
N043.37.14.191 E001.20.57.530
N043.37.15.383 E001.21.01.092
N043.37.12.737 E001.20.59.784
N043.37.12.292 E001.20.59.624
N043.37.12.069 E001.20.59.409
N043.37.10.887 E001.21.01.437
N043.37.09.391 E001.21.00.998
N043.37.08.492 E001.21.00.712
N043.37.05.313 E001.20.59.790
N043.37.03.379 E001.20.59.239
N043.37.03.036 E001.21.01.482
N043.37.02.414 E001.21.05.440
N043.37.00.153 E001.21.04.828
N043.37.00.034 E001.21.05.491
N043.36.56.698 E001.21.04.460
N043.36.56.634 E001.21.04.740
N043.36.56.063 E001.21.04.569
