N043.37.04.489 E001.23.13.377 DSNA
N043.37.11.129 E001.23.15.978 CEV
N043.39.28.803 E001.21.17.559 ST MARTIN
N043.39.22.234 E001.21.18.413 J.L.LAGARDERE
N043.38.41.382 E001.20.22.641 ATE
N043.37.54.474 E001.20.51.628 Aire
N043.37.53.552 E001.20.51.628 H.ZIEGLER
N043.37.28.944 E001.21.03.507 Parking C.ADER
N043.37.25.322 E001.21.33.485 BIKINI
N043.37.15.405 E001.21.39.625 VENDEE
N043.37.15.012 E001.21.51.180 MORVAN
N043.37.04.841 E001.21.35.392 AEROSPATIALE
N043.37.03.856 E001.21.35.329 ST MARTIN
N043.36.55.039 E001.21.39.519 LANDES
N043.36.53.624 E001.21.49.233 QUERCY
N043.36.49.680 E001.21.39.916 TARN
N043.36.45.995 E001.21.49.441 PYRENEES
N043.37.19.278 E001.22.40.257 A10
N043.37.20.111 E001.22.41.756 A12
N043.37.20.941 E001.22.43.262 A13
N043.37.21.669 E001.22.44.590 A14
N043.37.22.306 E001.22.45.756 A15
N043.37.22.153 E001.22.44.886 A16
N043.37.21.517 E001.22.37.936 A20
N043.37.22.349 E001.22.39.434 A22
N043.37.23.168 E001.22.40.938 A23
N043.37.23.903 E001.22.42.270 A24
N043.37.24.538 E001.22.43.429 A25
N043.37.25.580 E001.22.33.703 B10
N043.37.25.782 E001.22.35.033 B11
N043.37.26.457 E001.22.35.356 B12
N043.37.27.338 E001.22.37.020 B13
N043.37.28.213 E001.22.38.678 B14
N043.37.22.185 E001.22.37.248 B20
N043.37.25.364 E001.22.34.360 B21
N043.37.23.012 E001.22.38.752 B22
N043.37.24.585 E001.22.41.562 B24
N043.37.25.233 E001.22.42.708 B25
N043.37.26.494 E001.22.36.601 B31
N043.37.27.696 E001.22.38.761 B41
N043.37.17.084 E001.22.48.957 C1
N043.37.18.015 E001.22.47.993 C2
N043.37.18.948 E001.22.47.009 C3
N043.37.19.880 E001.22.46.041 C4
N043.37.28.430 E001.22.31.823 D10
N043.37.29.162 E001.22.32.870 D12
N043.37.30.590 E001.22.29.044 D20
N043.37.31.936 E001.22.27.520 D21
N043.37.31.518 E001.22.30.693 D22
N043.37.33.256 E001.22.28.968 D23
N043.37.30.800 E001.22.27.450 D31
N043.37.31.127 E001.22.29.901 D41
N043.37.32.507 E001.22.28.546 D51
N043.37.44.723 E001.22.31.917 E10
N043.37.44.602 E001.22.30.097 E20
N043.37.44.038 E001.22.27.999 E30
N043.37.44.064 E001.22.25.882 E40
N043.37.45.126 E001.22.24.396 E42
N043.37.46.618 E001.22.23.245 E50
N043.37.47.424 E001.22.21.518 E54
N043.37.48.110 E001.22.20.868 E52
N043.37.48.835 E001.22.20.646 E60
N043.37.49.843 E001.22.19.420 E62
N043.37.43.899 E001.22.33.289 F10
N043.37.42.513 E001.22.34.537 F20
N043.37.41.211 E001.22.35.813 F30
N043.37.39.972 E001.22.37.061 F40
N043.37.38.754 E001.22.38.279 F50
N043.37.12.670 E001.22.53.455 G10
N043.37.11.348 E001.22.54.454 G12
N043.37.14.697 E001.22.54.950 G20
N043.37.15.027 E001.22.55.762 G21
N043.37.15.366 E001.22.56.568 G22
N043.37.15.707 E001.22.57.361 G23
N043.37.16.064 E001.22.58.158 G24
N043.37.16.474 E001.22.59.036 G25
N043.37.17.151 E001.22.59.520 G26
N043.37.17.829 E001.22.59.945 G27
N043.37.18.787 E001.22.56.167 G30
N043.37.18.082 E001.22.55.286 G31
N043.37.17.367 E001.22.54.359 G32
N043.37.20.130 E001.22.53.827 G40
N043.37.39.700 E001.22.30.396 K11
N043.37.40.364 E001.22.29.759 K12
N043.37.38.733 E001.22.31.461 K22
N043.37.37.662 E001.22.32.361 K32
N043.37.52.305 E001.22.18.297 U10
N043.37.51.539 E001.22.16.904 U11
N043.37.52.050 E001.22.15.162 U12
N043.37.51.822 E001.22.14.035 U20
N043.37.51.996 E001.22.12.806 U21
N043.37.53.085 E001.22.11.618 U22
N043.37.53.461 E001.22.10.306 U30
N043.37.54.442 E001.22.09.753 U31
N043.37.55.504 E001.22.08.770 U32
N043.37.56.283 E001.22.08.401 U40
N043.37.57.614 E001.22.07.499 U41
N043.37.58.259 E001.22.08.483 U42
N043.37.59.052 E001.22.10.019 V10
N043.38.00.179 E001.22.11.428 V12
N043.38.01.753 E001.22.05.034 ROMEO
