N043.36.55.722:E001.23.11.216 H
N043.38.49.178:E001.21.22.816 J1
N043.38.50.753:E001.21.36.738 J2
N043.39.14.471:E001.21.20.212 J3
N043.39.00.392:E001.21.10.427 J4
N043.38.56.132:E001.21.14.914 L1
N043.38.57.201:E001.21.29.737 L2
N043.37.12.658:E001.22.22.553 M2
N043.37.30.035:E001.22.05.906 M4
N043.38.12.507:E001.21.20.163 M8
N043.38.29.936:E001.21.01.978 M10
N043.38.40.228:E001.20.53.738 M11
N043.37.00.852:E001.22.51.306 N1
N043.37.18.428:E001.22.32.579 N2
N043.37.31.619:E001.22.18.707 N4
N043.37.50.727:E001.21.58.042 N6
N043.38.17.590:E001.21.29.249 N8
N043.37.10.382:E001.22.45.320 P10
N043.37.25.756:E001.22.29.586 P20
N043.37.36.939:E001.22.17.661 P40
N043.37.43.545:E001.22.10.899 P50
N043.37.48.447:E001.22.05.655 P55
N043.37.53.992:E001.21.59.976 P60
N043.37.58.884:E001.21.54.788 P65
N043.38.08.944:E001.21.44.425 P70
N043.38.26.478:E001.21.26.268 P90
N043.38.38.440:E001.21.13.816 P100
N043.38.42.236:E001.21.02.905 P101
N043.37.05.032:E001.22.16.927 S2
N043.37.12.084:E001.22.09.925 S3
N043.37.33.590:E001.21.47.260 S4
N043.37.51.557:E001.21.28.630 S6
N043.38.08.198:E001.21.11.354 S8
N043.38.25.340:E001.20.53.060 S10
N043.38.34.112:E001.20.43.460 S11
N043.37.03.159:E001.22.08.814 S20
N043.37.06.654:E001.22.04.944 S30
N043.37.15.335:E001.21.56.808 S32
N043.37.18.172:E001.21.53.850 S35
N043.37.18.639:E001.21.39.552 S35
N043.37.20.801:E001.21.25.503 S35
N043.37.28.857:E001.21.43.680 S40
N043.37.33.640:E001.21.38.567 S50
N043.37.47.332:E001.21.24.141 S60
N043.38.11.416:E001.20.59.314 S90
N043.37.05.790:E001.22.53.486 T10
N043.37.08.664:E001.22.55.037 T11
N043.37.09.852:E001.22.51.724 T12
N043.37.21.694:E001.22.40.826 T20
N043.37.24.631:E001.22.37.721 T21
N043.37.29.816:E001.22.30.573 T22
N043.37.33.443:E001.22.26.777 T40
N043.37.38.029:E001.22.28.356 T41
N043.37.36.576:E001.22.33.148 T42
N043.37.41.447:E001.22.28.196 T43
N043.37.39.997:E001.22.32.689 T44
N043.37.43.244:E001.22.16.587 T50
N043.37.47.421:E001.22.18.324 T51
N043.37.46.531:E001.22.10.652 T55
N043.37.51.868:E001.22.04.741 T60
N043.37.49.955:E001.22.10.708 T61
N043.37.57.458:E001.21.59.362 T65
N043.38.03.382:E001.21.56.943 T70
N043.37.56.146:E001.22.04.145 T71
N043.38.00.664:E001.22.06.393 T81
N043.38.44.112:E001.21.13.065 T101
N043.37.06.517:E001.22.10.231 W20
N043.37.13.325:E001.22.03.177 W30
N043.37.24.476:E001.21.51.566 W35
N043.37.32.471:E001.21.43.264 W40
N043.37.40.824:E001.21.34.567 W50
N043.37.55.895:E001.21.18.706 W60
N043.38.09.278:E001.21.04.761 W80
N043.38.17.052:E001.20.56.728 W90
N043.38.28.647:E001.20.44.636 W100
N043.37.35.893:E001.21.33.111 Y50
N043.37.42.598:E001.21.23.373 Y50
N043.37.07.916:E001.21.56.516 Z1
N043.36.58.291:E001.21.58.853 Z1
N043.37.08.150:E001.21.44.787 Z2
N043.37.08.627:E001.21.33.438 Z3
N043.37.01.260:E001.21.38.731 Z4
N043.37.12.581:E001.21.25.780 Z5
N043.38.44.948:E001.20.57.693 X
N043.38.31.978:E001.21.12.306 X
N043.38.29.025:E001.21.17.871 X
N043.38.24.678:E001.21.24.311 X
N043.38.20.740:E001.21.30.251 X
N043.37.11.277:E001.22.51.906 X
N043.37.09.964:E001.22.53.781 X
N043.36.54.913:E001.22.46.278 X
N043.36.50.770:E001.22.42.277 X
N043.36.47.202:E001.22.39.651 X
N043.36.49.540:E001.22.37.712 X
