N043.23.14.766 W000.25.58.274 13
N043.22.28.932 W000.24.31.133 31
N043.23.09.308 W000.25.40.393 N5
N043.23.00.475 W000.25.17.363 NW
N043.22.54.752 W000.25.06.538 NG
N043.22.49.380 W000.25.02.365 N3
N043.22.41.062 W000.24.40.312 NE
N043.22.32.306 W000.24.28.763 N1
N043.22.25.348 W000.24.35.043 S0
N043.22.31.532 W000.24.44.961 S1
N043.22.48.514 W000.25.17.624 S2
N043.22.57.564 W000.25.09.055 G
N043.22.53.683 W000.25.00.892 C
N043.22.45.864 W000.24.45.709 M
N043.22.43.480 W000.24.37.241 N
N043.22.38.101 W000.24.31.671 E
N043.22.42.648 W000.24.34.036 D
N043.22.40.596 W000.25.09.589 S
N043.22.43.923 W000.24.42.276 HE
N043.22.14.590 W000.24.43.649 H4
N043.22.23.961 W000.25.00.968 H13
N043.22.20.689 W000.24.54.712 H31
N043.22.31.280 W000.25.21.491 H
N043.22.25.680 W000.25.10.657 H
N043.22.49.191 W000.24.42.734 H
N043.22.46.918 W000.24.38.538 H
