N043.10.59.400 E000.00.04.324 S1
N043.10.57.709 E000.00.05.558 S2
N043.10.58.945 E000.00.06.421 S3
N043.10.59.352 E000.00.06.928 S4A
N043.10.59.628 E000.00.06.962 S4B
N043.11.00.924 E000.00.05.711 S5
N043.10.59.916 E000.00.04.611 S6
N043.10.58.573 E000.00.03.428 S7
N043.11.05.791 E000.00.13.388 P1
N043.11.05.847 E000.00.12.912 P2
N043.11.05.454 E000.00.11.406 P3
N043.11.06.051 E000.00.09.358 P4
N043.11.06.411 E000.00.08.872 P5
N043.11.06.411 E000.00.07.731 P6
N043.11.05.407 E000.00.09.570 P6b
N043.11.06.411 E000.00.06.674 P7
N043.11.06.261 E000.00.04.835 P8
N043.11.06.366 E000.00.02.848 P9
N043.11.06.786 E000.00.00.628 P10
N043.11.12.909 E000.00.06.616 G1
N043.11.13.864 E000.00.06.986 G2
N043.11.14.804 E000.00.07.290 G3
N043.11.15.647 E000.00.07.587 G4
N043.11.15.811 E000.00.08.842 ACB
N043.11.13.135 W000.00.31.857 TARMAC
