N043.10.18.773 W000.00.35.233 02
N043.11.27.802 W000.00.00.305 20
N043.11.05.867 W000.00.06.766 A
N043.10.50.266 W000.00.14.636 B
N043.10.16.316 W000.00.32.169 C
N043.09.58.848 W000.00.40.638 D
N043.10.49.854 W000.00.24.828 T6
N043.11.10.305 W000.00.14.442 T7
N043.10.24.658 W000.00.22.808 M
N043.10.42.844 W000.00.11.197 M
N043.10.55.197 W000.00.01.844 M
N043.11.11.284 E000.00.01.108 N7
N043.11.11.856 E000.00.03.069 N8
N043.11.10.340 W000.00.00.538 G2
N043.11.07.595 W000.00.02.546 G1
N043.10.58.353 W000.00.01.228 M1
N043.10.12.707 W000.00.31.072 C1
N043.10.04.483 W000.00.35.440 M2
