N043.33.28.510 E002.17.27.785 P Mil
N043.33.18.656 E002.17.18.197 Parking
N043.33.14.402 E002.17.19.726 TWR
N043.33.15.026 E002.17.18.972 Terminal
N043.33.14.068 E002.17.20.377 ATS
N043.33.12.255 E002.17.22.056 Hangar
N043.33.14.100 E002.17.23.419 P6
N043.33.14.026 E002.17.22.468 P5
N043.33.13.312 E002.17.22.755 P4
N043.33.15.384 E002.17.21.363 P3
N043.33.14.775 E002.17.21.475 P2
N043.33.15.565 E002.17.20.349 P1
N043.33.18.152 E002.17.19.656 A1
N043.33.17.545 E002.17.20.347 A2
N043.33.17.251 E002.17.19.693 A5
N043.33.17.521 E002.17.18.616 A4
N043.33.16.944 E002.17.19.292 A3
