COLOR_GrasSurface           
N044.24.02.858 E002.29.30.926
N044.24.02.604 E002.29.31.517
N044.24.05.285 E002.29.34.335
N044.24.03.597 E002.29.37.387
N044.24.05.721 E002.29.39.854
N044.24.07.325 E002.29.37.021
N044.24.10.348 E002.29.39.951
N044.24.12.223 E002.29.36.425
N044.24.17.613 E002.29.26.434
N044.24.19.056 E002.29.24.495
N044.24.20.082 E002.29.23.321
N044.24.20.901 E002.29.21.633
N044.24.27.058 E002.29.11.784
N044.24.27.206 E002.29.11.697
N044.24.27.397 E002.29.11.651
N044.24.27.613 E002.29.11.728
N044.24.27.874 E002.29.11.954
N044.24.28.194 E002.29.12.273
N044.24.28.445 E002.29.12.519
N044.24.28.913 E002.29.13.003
N044.24.29.249 E002.29.13.185
N044.24.29.668 E002.29.13.201
N044.24.30.033 E002.29.13.083
N044.24.30.318 E002.29.12.913
N044.24.30.649 E002.29.12.474
N044.24.30.963 E002.29.12.251
N044.24.32.657 E002.29.14.070
N044.24.33.729 E002.29.12.423
N044.24.34.234 E002.29.11.545
N044.24.34.780 E002.29.10.993
N044.24.36.542 E002.29.08.613
N044.24.36.833 E002.29.08.156
N044.24.37.124 E002.29.07.402
N044.24.37.073 E002.29.07.151
N044.24.35.804 E002.29.05.849
N044.24.36.411 E002.29.04.728
N044.24.38.301 E002.29.01.180
N044.24.39.916 E002.28.58.146
N044.24.42.831 E002.28.53.835
N044.24.42.825 E002.28.53.533
N044.24.42.547 E002.28.53.045
N044.24.48.678 E002.28.42.430
N044.24.50.437 E002.28.37.506
N044.24.52.704 E002.28.33.471
N044.24.52.767 E002.28.32.566
N044.24.52.718 E002.28.31.878
N044.24.52.652 E002.28.31.319
N044.24.52.473 E002.28.30.786
N044.24.52.275 E002.28.30.236
N044.24.52.025 E002.28.29.356
N044.24.51.801 E002.28.28.399
N044.24.51.491 E002.28.27.151
N044.24.51.280 E002.28.26.152
N044.24.51.182 E002.28.25.667
N044.24.51.329 E002.28.24.764
N044.24.51.514 E002.28.23.555
N044.24.51.601 E002.28.22.738
N044.24.51.748 E002.28.21.597
N044.24.51.995 E002.28.20.407
N044.24.52.264 E002.28.19.758
N044.24.53.019 E002.28.18.264
N044.24.53.412 E002.28.17.528
N044.24.52.648 E002.28.16.530
N044.24.51.764 E002.28.15.451
N044.24.51.330 E002.28.15.108
N044.24.50.791 E002.28.14.808
N044.24.47.994 E002.28.12.417
N044.24.45.047 E002.28.11.615
N044.24.18.215 E002.28.56.357
N044.24.16.679 E002.28.59.542
N044.24.14.096 E002.29.04.828
N044.24.13.218 E002.29.07.299
N044.24.11.652 E002.29.10.436
N044.24.09.448 E002.29.13.056
N044.24.07.843 E002.29.15.120
N044.24.06.113 E002.29.17.664
N044.24.04.332 E002.29.19.815
N044.24.03.500 E002.29.21.812
N044.24.02.592 E002.29.23.942
N044.24.02.005 E002.29.26.108
N044.24.01.508 E002.29.27.908
N044.24.01.815 E002.29.29.281
N044.24.01.985 E002.29.29.985
N044.24.02.506 E002.29.30.370

COLOR_RunwayConcrete        
N044.24.49.007 E002.28.20.589
N044.24.48.725 E002.28.20.858
N044.24.07.048 E002.29.32.961
N044.24.08.315 E002.29.34.413
N044.24.08.525 E002.29.34.422
N044.24.08.741 E002.29.34.356
N044.24.08.957 E002.29.34.252
N044.24.09.179 E002.29.34.094
N044.24.09.316 E002.29.33.904
N044.24.09.347 E002.29.33.714
N044.24.09.356 E002.29.33.530
N044.24.09.397 E002.29.33.062
N044.24.09.416 E002.29.32.689
N044.24.09.498 E002.29.32.269
N044.24.09.569 E002.29.31.914
N044.24.09.686 E002.29.31.618
N044.24.26.478 E002.29.02.575
N044.24.26.792 E002.29.02.229
N044.24.27.100 E002.29.02.013
N044.24.27.400 E002.29.01.905
N044.24.27.724 E002.29.01.890
N044.24.28.005 E002.29.01.912
N044.24.28.226 E002.29.02.046
N044.24.28.455 E002.29.02.205
N044.24.28.616 E002.29.02.353
N044.24.28.796 E002.29.02.557
N044.24.29.087 E002.29.02.923
N044.24.29.543 E002.29.02.094
N044.24.29.271 E002.29.01.791
N044.24.29.093 E002.29.01.596
N044.24.28.915 E002.29.01.336
N044.24.28.798 E002.29.01.072
N044.24.28.693 E002.29.00.781
N044.24.28.567 E002.29.00.325
N044.24.28.524 E002.28.59.751
N044.24.28.554 E002.28.59.227
N044.24.28.680 E002.28.58.841
N044.24.28.755 E002.28.58.581
N044.24.50.037 E002.28.21.838

COLOR_HardSurface2          
N044.24.29.926 E002.29.03.942
N044.24.30.119 E002.29.04.432
N044.24.30.215 E002.29.04.811
N044.24.30.244 E002.29.05.244
N044.24.30.242 E002.29.05.583
N044.24.30.163 E002.29.05.974
N044.24.30.042 E002.29.06.431
N044.24.29.829 E002.29.06.867
N044.24.29.426 E002.29.07.520
N044.24.29.985 E002.29.08.168
N044.24.29.981 E002.29.08.168
N044.24.29.972 E002.29.08.162
N044.24.29.976 E002.29.08.169
N044.24.29.972 E002.29.08.169
N044.24.29.976 E002.29.08.181
N044.24.29.981 E002.29.08.175
N044.24.29.981 E002.29.08.168
N044.24.29.972 E002.29.08.175
N044.24.29.976 E002.29.08.162
N044.24.29.981 E002.29.08.168
N044.24.29.990 E002.29.08.168
N044.24.29.985 E002.29.08.168
N044.24.29.976 E002.29.08.162
N044.24.29.972 E002.29.08.162
N044.24.29.967 E002.29.08.169
N044.24.29.978 E002.29.08.169
N044.24.29.978 E002.29.08.169
N044.24.31.377 E002.29.05.719
N044.24.32.403 E002.29.04.762
N044.24.33.943 E002.29.02.074
N044.24.35.193 E002.28.59.851
N044.24.36.709 E002.28.59.281
N044.24.36.370 E002.28.58.918
N044.24.38.375 E002.28.58.279
N044.24.39.086 E002.28.57.130
N044.24.39.181 E002.28.57.234
N044.24.39.711 E002.28.56.847
N044.24.39.923 E002.28.56.820
N044.24.40.113 E002.28.56.969
N044.24.40.196 E002.28.57.056
N044.24.40.455 E002.28.56.624
N044.24.40.258 E002.28.56.349
N044.24.41.888 E002.28.53.560
N044.24.42.378 E002.28.52.836
N044.24.41.767 E002.28.52.009
N044.24.41.506 E002.28.51.901
N044.24.41.209 E002.28.51.727
N044.24.37.634 E002.28.57.974
N044.24.35.003 E002.28.58.808
N044.24.34.591 E002.28.58.954
N044.24.34.362 E002.28.59.106
N044.24.34.159 E002.28.59.430
N044.24.33.992 E002.28.59.715
N044.24.32.305 E002.29.02.556
N044.24.32.018 E002.29.02.934
N044.24.31.785 E002.29.03.106
N044.24.31.554 E002.29.03.215
N044.24.31.307 E002.29.03.247
N044.24.31.083 E002.29.03.272
N044.24.30.905 E002.29.03.261
N044.24.30.761 E002.29.03.202
N044.24.30.536 E002.29.03.123
N044.24.30.379 E002.29.03.004
N044.24.30.174 E002.29.02.797
N044.24.29.573 E002.29.02.137
N044.24.29.106 E002.29.02.945

COLOR_HardSurface2          
N044.24.32.434 E002.29.10.989
N044.24.32.582 E002.29.10.736
N044.24.33.788 E002.29.08.873
N044.24.33.321 E002.29.08.382
N044.24.34.117 E002.29.07.050
N044.24.33.825 E002.29.06.726
N044.24.34.675 E002.29.05.291
N044.24.35.391 E002.29.04.772
N044.24.35.993 E002.29.05.318
N044.24.39.898 E002.28.58.212
N044.24.39.064 E002.28.57.161
N044.24.37.347 E002.28.59.987
N044.24.36.731 E002.28.59.277
N044.24.35.201 E002.28.59.849
N044.24.32.369 E002.29.04.797
N044.24.31.383 E002.29.05.716
N044.24.29.980 E002.29.08.138
N044.24.29.427 E002.29.07.521
N044.24.28.819 E002.29.08.554
N044.24.31.270 E002.29.11.328
N044.24.31.895 E002.29.10.352

COLOR_RunwayConcrete     
N044.24.49.662 E002.28.23.998
N044.24.49.823 E002.28.23.720
N044.24.49.893 E002.28.23.429
N044.24.49.906 E002.28.23.194
N044.24.49.876 E002.28.22.783
N044.24.49.842 E002.28.22.581
N044.24.49.846 E002.28.22.169
N044.24.48.349 E002.28.24.759

COLOR_Stopbar        
N044.24.29.106 E002.29.02.946
N044.24.29.577 E002.29.02.136
N044.24.29.514 E002.29.02.055
N044.24.29.038 E002.29.02.868

COLOR_Building              
N044.24.32.527 E002.29.12.757
N044.24.32.844 E002.29.12.245
N044.24.32.319 E002.29.11.675
N044.24.31.995 E002.29.12.219

COLOR_Building              
N044.24.32.773 E002.29.10.411
N044.24.33.370 E002.29.09.462
N044.24.33.225 E002.29.09.329
N044.24.33.333 E002.29.09.179
N044.24.33.013 E002.29.08.834
N044.24.32.817 E002.29.09.100
N044.24.32.547 E002.29.08.816
N044.24.32.408 E002.29.09.051
N044.24.32.603 E002.29.09.280
N044.24.32.277 E002.29.09.869

COLOR_Building              
N044.24.34.067 E002.29.09.240
N044.24.34.175 E002.29.09.073
N044.24.34.330 E002.29.09.211
N044.24.34.906 E002.29.08.274
N044.24.35.160 E002.29.08.530
N044.24.36.124 E002.29.06.933
N044.24.35.925 E002.29.06.731
N044.24.35.979 E002.29.06.674
N044.24.34.678 E002.29.05.256
N044.24.33.814 E002.29.06.728
N044.24.33.870 E002.29.06.789
N044.24.34.103 E002.29.07.055
N044.24.33.327 E002.29.08.375

COLOR_Building              
N044.24.35.878 E002.29.04.391
N044.24.36.312 E002.29.03.749
N044.24.36.222 E002.29.03.721
N044.24.36.211 E002.29.03.646
N044.24.36.161 E002.29.03.640
N044.24.36.155 E002.29.03.520
N044.24.36.295 E002.29.03.460
N044.24.36.476 E002.29.03.591
N044.24.36.561 E002.29.03.492
N044.24.36.551 E002.29.03.430
