N048.06.33.623 E007.21.44.493 TWR
N048.06.48.480 E007.21.49.293 Hangars
N048.06.39.106 E007.21.43.312 ACB
N048.06.25.135 E007.21.43.868 Hangars
N048.06.35.539 E007.21.41.630 P-Commercial
N048.06.29.480 E007.21.44.255 P-Aviation Generale
N048.06.17.357 E007.21.39.004 P-Sierra
N048.06.33.921 E007.21.42.779 1
N048.06.33.174 E007.21.42.575 2
N048.06.32.420 E007.21.42.343 3
N048.06.31.685 E007.21.42.352 4
N048.06.30.996 E007.21.42.210 A
N048.06.30.540 E007.21.42.094 B
N048.06.30.073 E007.21.41.845 C
N048.06.29.559 E007.21.41.747 D
N048.06.29.081 E007.21.41.684 E
