N047.02.37.939 E005.25.30.212 TWR
N047.02.37.964 E005.25.31.381 Terminal
N047.02.36.563 E005.25.27.535 Hangars
N047.02.22.491 E005.24.56.191 Hangars ACB
N047.02.22.703 E005.26.07.923 Hangar
N047.02.37.678 E005.25.33.120 1A
N047.02.36.524 E005.25.30.725 2B
N047.02.36.341 E005.25.31.469 2E
N047.02.35.762 E005.25.30.477 2W
N047.02.35.364 E005.25.29.177 3E
N047.02.34.826 E005.25.28.056 3W
N047.02.36.128 E005.25.26.997 OPS
N047.02.35.093 E005.25.31.208 P-Aviation Commerciale
N047.02.34.638 E005.25.26.728 45E
N047.02.34.415 E005.25.27.154 44E
N047.02.34.121 E005.25.27.486 43E
N047.02.33.760 E005.25.27.785 42E
N047.02.33.547 E005.25.28.020 41E
N047.02.34.025 E005.25.25.472 45W
N047.02.33.736 E005.25.25.771 44W
N047.02.33.476 E005.25.26.152 43W
N047.02.33.125 E005.25.26.522 42W
N047.02.32.917 E005.25.26.705 41W
N047.02.32.808 E005.25.27.798 P-Aviation Generale code A, B
N047.02.33.152 E005.25.23.316 C
N047.02.33.291 E005.25.25.195 53E
N047.02.32.872 E005.25.25.688 52E
N047.02.32.426 E005.25.26.077 51E
N047.02.32.774 E005.25.24.149 53W
N047.02.32.360 E005.25.24.537 52W
N047.02.31.950 E005.25.25.090 51W
N047.02.32.529 E005.25.23.528 63E
N047.02.32.075 E005.25.24.055 62E
N047.02.31.666 E005.25.24.560 61E
N047.02.32.092 E005.25.22.699 63W
N047.02.31.659 E005.25.23.162 62W
N047.02.31.230 E005.25.23.641 61W
N047.02.33.325 E005.25.22.658 AVT
N047.02.33.053 E005.25.21.310 Hangars
N047.02.31.416 E005.25.25.239 P-Aviation Generale code A
