

COLOR_GrasSurface
N048.59.32.513 E006.15.34.086
N048.59.32.414 E006.15.33.784
N048.59.32.331 E006.15.33.630
N048.59.27.212 E006.15.27.385
N048.59.12.960 E006.15.09.729
N048.59.05.050 E006.14.59.943
N048.59.04.757 E006.14.59.567
N048.59.04.727 E006.14.59.490
N048.59.02.942 E006.14.48.271
N048.59.02.302 E006.14.44.299
N048.59.00.652 E006.14.45.591
N048.58.58.594 E006.14.42.997
N048.58.59.311 E006.14.41.602
N048.58.57.717 E006.14.39.622
N048.58.56.013 E006.14.37.569
N048.58.51.081 E006.14.31.435
N048.58.50.950 E006.14.31.249
N048.58.50.870 E006.14.31.084
N048.58.50.793 E006.14.30.874
N048.58.50.731 E006.14.30.653
N048.58.50.667 E006.14.30.362
N048.58.50.622 E006.14.30.084
N048.58.50.037 E006.14.24.636
N048.58.49.988 E006.14.24.503
N048.58.49.921 E006.14.24.404
N048.58.49.838 E006.14.24.354
N048.58.49.741 E006.14.24.334
N048.58.49.621 E006.14.24.297
N048.58.49.520 E006.14.24.259
N048.58.49.408 E006.14.24.204
N048.58.49.307 E006.14.24.137
N048.58.49.213 E006.14.24.047
N048.58.49.139 E006.14.23.964
N048.58.49.061 E006.14.23.837
N048.58.48.997 E006.14.23.702
N048.58.48.935 E006.14.23.537
N048.58.48.853 E006.14.23.310
N048.58.48.818 E006.14.23.141
N048.58.48.792 E006.14.22.964
N048.58.48.769 E006.14.22.885
N048.58.48.740 E006.14.22.820
N048.58.48.690 E006.14.22.750
N048.58.48.614 E006.14.22.678
N048.58.48.541 E006.14.22.625
N048.58.48.470 E006.14.22.610
N048.58.48.240 E006.14.22.584
N048.58.47.959 E006.14.22.551
N048.58.47.724 E006.14.22.500
N048.58.47.489 E006.14.22.441
N048.58.47.241 E006.14.22.354
N048.58.46.979 E006.14.22.252
N048.58.46.732 E006.14.22.154
N048.58.46.522 E006.14.22.049
N048.58.46.276 E006.14.21.914
N048.58.46.050 E006.14.21.760
N048.58.45.858 E006.14.21.621
N048.58.45.677 E006.14.21.471
N048.58.45.440 E006.14.21.243
N048.58.44.766 E006.14.20.546
N048.58.43.597 E006.14.22.779
N048.58.41.560 E006.14.20.226
N048.58.40.581 E006.14.21.991
N048.58.38.234 E006.14.19.173
N048.58.36.727 E006.14.22.348
N048.58.21.240 E006.14.03.141
N048.58.18.764 E006.14.00.113
N048.58.15.933 E006.13.56.559
N048.58.12.651 E006.13.52.495
N048.58.11.623 E006.13.51.223
N048.58.06.583 E006.13.44.981
N048.58.06.543 E006.13.44.940
N048.58.06.498 E006.13.44.925
N048.57.56.294 E006.13.44.820
N048.57.57.198 E006.13.58.456
N048.57.57.597 E006.13.58.679
N048.57.57.677 E006.13.59.901
N048.57.57.316 E006.14.00.413
N048.57.58.098 E006.14.12.237
N048.58.08.617 E006.14.25.283
N048.58.08.734 E006.14.25.398
N048.58.08.854 E006.14.25.465
N048.58.12.580 E006.14.25.833
N048.58.12.667 E006.14.25.858
N048.58.12.750 E006.14.25.907
N048.58.16.282 E006.14.30.319
N048.58.16.083 E006.14.30.707
N048.58.21.488 E006.14.37.396
N048.58.31.187 E006.14.49.446
N048.58.34.135 E006.14.53.071
N048.58.33.951 E006.14.53.474
N048.58.36.946 E006.14.57.197
N048.58.36.745 E006.14.57.564
N048.58.39.800 E006.15.01.360
N048.58.47.305 E006.15.10.654
N048.58.50.683 E006.15.14.848
N048.58.51.263 E006.15.13.743
N048.58.51.729 E006.15.14.327
N048.58.53.396 E006.15.12.490
N048.58.54.964 E006.15.14.417
N048.58.56.652 E006.15.16.536
N048.58.55.420 E006.15.18.803
N048.59.05.773 E006.15.31.584
N048.59.06.083 E006.15.31.545
N048.59.10.667 E006.15.37.217
N048.59.11.307 E006.15.43.554
N048.59.11.891 E006.15.45.061
N048.59.14.775 E006.15.48.642
N048.59.15.047 E006.15.48.927
N048.59.15.384 E006.15.49.154
N048.59.16.605 E006.15.49.732
N048.59.16.980 E006.15.49.411
N048.59.22.435 E006.15.52.023
N048.59.22.580 E006.15.52.121
N048.59.25.959 E006.15.55.537
N048.59.26.029 E006.15.55.580
N048.59.28.260 E006.15.55.712
N048.59.30.825 E006.15.50.983
N048.59.32.138 E006.15.52.617
N048.59.33.845 E006.15.49.743
N048.59.32.978 E006.15.48.387
N048.59.32.732 E006.15.48.043
N048.59.32.610 E006.15.47.818
N048.59.32.564 E006.15.47.683
N048.59.35.150 E006.15.42.982


COLOR_HardSurface4
N048.58.42.433 E006.14.35.954
N048.58.42.302 E006.14.35.793
N048.58.42.214 E006.14.35.666
N048.58.42.146 E006.14.35.537
N048.58.42.070 E006.14.35.360
N048.58.42.005 E006.14.35.174
N048.58.41.947 E006.14.34.966
N048.58.41.904 E006.14.34.790
N048.58.41.869 E006.14.34.600
N048.58.41.844 E006.14.34.426
N048.58.41.829 E006.14.34.244
N048.58.41.826 E006.14.33.990
N048.58.41.833 E006.14.33.804
N048.58.41.847 E006.14.33.635
N048.58.41.869 E006.14.33.476
N048.58.41.899 E006.14.33.308
N048.58.41.937 E006.14.33.147
N048.58.41.989 E006.14.32.982
N048.58.42.051 E006.14.32.824
N048.58.42.097 E006.14.32.716
N048.58.42.190 E006.14.32.522
N048.58.42.630 E006.14.31.671
N048.58.44.466 E006.14.28.262
N048.58.44.841 E006.14.28.740
N048.58.46.207 E006.14.26.149
N048.58.43.808 E006.14.23.131
N048.58.43.637 E006.14.23.400
N048.58.43.505 E006.14.23.272
N048.58.43.461 E006.14.23.234
N048.58.43.414 E006.14.23.207
N048.58.43.363 E006.14.23.193
N048.58.43.307 E006.14.23.196
N048.58.43.244 E006.14.23.219
N048.58.43.179 E006.14.23.255
N048.58.43.122 E006.14.23.312
N048.58.43.055 E006.14.23.407
N048.58.42.055 E006.14.25.267
N048.58.38.576 E006.14.20.959
N048.58.38.395 E006.14.21.300
N048.58.36.721 E006.14.24.406
N048.58.36.444 E006.14.24.930
N048.58.36.351 E006.14.25.100
N048.58.36.270 E006.14.25.249
N048.58.36.193 E006.14.25.384
N048.58.36.119 E006.14.25.493
N048.58.36.034 E006.14.25.596
N048.58.35.951 E006.14.25.686
N048.58.35.856 E006.14.25.782
N048.58.35.768 E006.14.25.858
N048.58.35.685 E006.14.25.913
N048.58.35.593 E006.14.25.969
N048.58.35.504 E006.14.26.015
N048.58.35.425 E006.14.26.050
N048.58.35.328 E006.14.26.070
N048.58.35.184 E006.14.26.095
N048.58.35.041 E006.14.26.105
N048.58.34.869 E006.14.26.106
N048.58.34.789 E006.14.26.105
N048.58.34.724 E006.14.26.095
N048.58.34.662 E006.14.26.072
N048.58.34.577 E006.14.26.030
N048.58.34.478 E006.14.25.964
N048.58.34.333 E006.14.25.851
N048.58.34.181 E006.14.25.716
N048.58.34.056 E006.14.25.597
N048.58.33.916 E006.14.25.439
N048.58.29.986 E006.14.20.581
N048.58.29.508 E006.14.19.981
N048.58.29.384 E006.14.19.834
N048.58.29.311 E006.14.19.749
N048.58.29.252 E006.14.19.694
N048.58.29.184 E006.14.19.641
N048.58.29.103 E006.14.19.596
N048.58.28.985 E006.14.19.539
N048.58.28.858 E006.14.19.476
N048.58.28.743 E006.14.19.442
N048.58.28.636 E006.14.19.422
N048.58.28.523 E006.14.19.419
N048.58.28.416 E006.14.19.430
N048.58.28.321 E006.14.19.459
N048.58.28.215 E006.14.19.505
N048.58.28.051 E006.14.19.604
N048.58.27.886 E006.14.19.722
N048.58.27.769 E006.14.19.825
N048.58.27.697 E006.14.19.901
N048.58.27.640 E006.14.19.975
N048.58.27.557 E006.14.20.104
N048.58.27.271 E006.14.20.606
N048.58.27.027 E006.14.21.062
N048.58.26.849 E006.14.21.401
N048.58.26.685 E006.14.21.697
N048.58.26.537 E006.14.21.944
