N048.58.47.805 E006.14.36.591 P1
N048.58.47.772 E006.14.37.986 PE
N048.58.49.525 E006.14.39.500 P2
N048.58.50.909 E006.14.41.303 P3
N048.58.52.216 E006.14.43.157 P4
N048.58.54.728 E006.14.43.140 P5
N048.58.54.695 E006.14.45.267 P6N
N048.58.53.857 E006.14.44.246 P6S
N048.58.54.226 E006.14.46.118 P7N
N048.58.53.366 E006.14.45.148 P7S
N048.58.53.745 E006.14.47.002 P8N
N048.58.52.886 E006.14.45.998 P8S
N048.58.53.422 E006.14.44.365 P9
N048.58.53.269 E006.14.36.259 Terminal
N048.58.48.929 E006.14.32.870 TWR
