N048.58.16.653 E006.14.16.311 04
N048.59.26.246 E006.15.42.194 22
N048.59.27.910 E006.15.37.504 A
N048.59.12.935 E006.15.19.251 B
N048.58.45.916 E006.14.43.955 C
N048.59.23.750 E006.15.27.744 T1
N048.59.03.479 E006.15.02.749 T2
N048.58.48.997 E006.14.44.577 T3
N048.58.26.030 E006.14.23.695 X
N048.58.28.580 E006.14.20.530 X
N048.58.32.020 E006.14.23.848 X
N048.58.36.972 E006.14.27.498 X
N048.58.38.729 E006.14.24.091 X
N048.58.42.084 E006.14.28.147 X
N048.58.40.380 E006.14.31.148 X
N048.58.37.824 E006.14.30.418 X
N048.58.42.761 E006.14.37.101 X
