COLOR_GrasSurface          
N047.37.30.458 E007.30.14.991
N047.37.30.009 E007.30.14.324
N047.37.29.179 E007.30.13.959
N047.37.28.997 E007.30.13.901
N047.37.28.797 E007.30.13.955
N047.37.14.687 E007.30.23.808
N047.37.14.554 E007.30.23.855
N047.37.14.422 E007.30.23.825
N047.37.14.311 E007.30.23.740
N047.37.14.203 E007.30.23.495
N047.37.12.850 E007.30.19.426
N047.37.12.710 E007.30.19.145
N047.37.12.539 E007.30.19.039
N047.37.12.398 E007.30.19.046
N047.37.12.212 E007.30.19.165
N047.36.51.740 E007.30.33.392
N047.36.51.553 E007.30.33.558
N047.36.51.436 E007.30.33.776
N047.36.51.370 E007.30.34.045
N047.36.51.384 E007.30.34.337
N047.36.51.450 E007.30.34.865
N047.36.51.441 E007.30.35.048
N047.36.51.416 E007.30.35.218
N047.36.51.326 E007.30.35.318
N047.36.50.022 E007.30.36.229
N047.36.47.163 E007.30.38.203
N047.36.42.556 E007.30.41.418
N047.36.41.594 E007.30.42.081
N047.36.38.468 E007.30.43.896
N047.36.37.966 E007.30.42.155
N047.36.37.802 E007.30.42.220
N047.36.37.644 E007.30.42.344
N047.36.37.644 E007.30.42.334
N047.36.37.497 E007.30.42.511
N047.36.37.301 E007.30.42.784
N047.36.37.110 E007.30.43.118
N047.36.36.867 E007.30.43.613
N047.36.36.542 E007.30.44.362
N047.36.36.446 E007.30.44.615
N047.36.36.277 E007.30.44.442
N047.36.36.076 E007.30.44.914
N047.36.35.908 E007.30.45.346
N047.36.35.705 E007.30.45.701
N047.36.35.439 E007.30.45.418
N047.36.32.163 E007.30.48.451
N047.36.29.943 E007.30.48.777
N047.36.24.862 E007.30.52.337
N047.36.20.881 E007.30.54.270
N047.36.16.143 E007.30.56.605
N047.36.10.340 E007.30.59.449
N047.36.09.548 E007.30.57.009
N047.36.01.451 E007.31.02.633
N047.35.42.187 E007.31.16.089
N047.35.37.562 E007.31.19.269
N047.35.21.106 E007.30.54.656
N047.35.20.164 E007.30.54.986
N047.35.19.828 E007.30.54.968
N047.35.19.354 E007.30.54.780
N047.35.17.084 E007.30.51.255
N047.35.15.506 E007.30.49.506
N047.35.14.037 E007.30.50.434
N047.35.13.469 E007.30.56.887
N047.35.13.328 E007.30.57.274
N047.35.13.289 E007.30.58.764
N047.35.14.965 E007.31.09.846
N047.35.14.978 E007.31.10.142
N047.35.14.761 E007.31.10.156
N047.35.14.646 E007.31.10.559
N047.35.14.525 E007.31.10.834
N047.35.14.352 E007.31.11.102
N047.35.14.127 E007.31.11.283
N047.35.13.414 E007.31.11.602
N047.35.13.150 E007.31.11.783
N047.35.10.056 E007.31.13.254
N047.35.09.844 E007.31.13.452
N047.35.09.718 E007.31.13.764
N047.35.09.667 E007.31.14.133
N047.35.09.726 E007.31.15.747
N047.35.10.123 E007.31.18.566
N047.35.07.504 E007.31.20.375
N047.35.04.816 E007.31.22.249
N047.35.01.590 E007.31.24.488
N047.35.00.831 E007.31.24.898
N047.34.59.747 E007.31.25.331
N047.34.58.831 E007.31.25.365
