N047.35.50.599 E007.31.56.422 1
N047.35.51.807 E007.31.55.578 2
N047.35.53.025 E007.31.54.670 3
N047.35.54.277 E007.31.53.801 4
N047.35.55.623 E007.31.52.047 5
N047.35.54.656 E007.31.48.848 6A
N047.35.53.474 E007.31.46.291 9A
N047.35.51.755 E007.31.45.948 11A
N047.35.50.099 E007.31.45.764 12A
N047.35.50.185 E007.31.43.839 14A
N047.35.51.292 E007.31.43.902 16A
N047.35.52.454 E007.31.43.025 17
N047.35.53.277 E007.31.41.794 18
N047.35.54.270 E007.31.41.804 20
N047.35.55.003 E007.31.41.262 22
N047.35.55.948 E007.31.41.550 23
N047.35.55.800 E007.31.39.387 24
N047.35.57.660 E007.31.39.362 26
N047.35.58.562 E007.31.38.300 26A
N047.35.58.998 E007.31.37.787 28A
N047.35.59.960 E007.31.38.574 29
N047.35.59.567 E007.31.40.051 29A
N047.35.58.889 E007.31.40.935 30A
N047.35.58.268 E007.31.43.118 32A
N047.35.58.757 E007.31.45.435 34
N047.35.59.314 E007.31.47.304 35
N047.36.00.971 E007.31.47.860 36
N047.36.04.058 E007.31.46.631 37
N047.36.03.237 E007.31.47.183 37A
N047.36.05.572 E007.31.45.597 38
N047.36.04.887 E007.31.46.050 38A
N047.36.06.417 E007.31.42.419 39
N047.36.05.809 E007.31.44.063 39A
N047.36.05.332 E007.31.36.150 40
N047.36.06.549 E007.31.35.329 41
N047.36.07.864 E007.31.34.455 42
N047.36.04.692 E007.31.34.134 43
N047.36.04.814 E007.31.33.050 43A
N047.36.05.773 E007.31.32.808 44
N047.36.07.007 E007.31.31.930 45
N047.36.07.799 E007.31.31.393 46
N047.36.09.060 E007.31.34.700 47
N047.36.09.680 E007.31.36.930 48
N047.34.55.950 E007.31.42.410 A1
N047.35.33.596 E007.31.54.888 F1
N047.35.35.889 E007.31.53.325 F2
N047.35.37.048 E007.31.52.464 F3
N047.35.38.748 E007.31.50.142 F4
N047.35.41.294 E007.31.49.309 F4A
N047.35.45.274 E007.31.48.166 F5
N047.35.42.690 E007.31.48.070 F5A
N047.35.43.751 E007.31.51.091 F6
N047.35.44.925 E007.31.51.553 F7
N047.35.45.308 E007.31.52.695 F8
N047.35.45.688 E007.31.53.888 F9
N047.35.46.668 E007.31.55.667 F10
N047.35.48.673 E007.31.57.482 F11
N047.35.19.445 E007.32.11.590 F21
N047.35.16.509 E007.32.13.574 F22
N047.36.10.505 E007.31.30.916 G7
N047.36.10.778 E007.31.31.449 G8
N047.36.11.061 E007.31.31.973 G9
N047.36.11.345 E007.31.32.489 G10
N047.36.11.143 E007.31.29.332 G11
N047.36.11.452 E007.31.29.903 G12
N047.36.11.741 E007.31.30.422 G14
N047.36.12.029 E007.31.30.938 G15
N047.36.11.711 E007.31.27.387 G16
N047.36.12.020 E007.31.27.968 G17
N047.36.12.314 E007.31.28.547 G18
N047.36.12.603 E007.31.29.075 G19
N047.36.12.881 E007.31.29.603 G20
N047.36.08.851 E007.31.27.779 G30
N047.36.09.573 E007.31.27.282 G31
N047.35.23.440 E007.32.21.910 J1
N047.35.23.840 E007.32.19.390 J2
N047.35.23.200 E007.32.20.110 J3
N047.35.23.360 E007.32.19.410 J4
N047.36.13.452 E007.31.32.558 GAGBA
N047.35.33.195 E007.32.05.151 JET 1
N047.35.37.418 E007.32.22.412 NOMAD
N047.35.21.210 E007.32.20.570 JAPAT
N047.35.15.145 E007.32.19.773 CARGO
N047.34.56.023 E007.31.45.678 ASB
N047.34.58.596 E007.31.37.040 JET 2
N047.35.10.342 E007.31.28.792 AMAC
N047.36.21.966 E007.31.25.571 REGA
