

COLOR_GrasSurface
N048.38.34.138 E004.53.04.215
N048.38.31.876 E004.52.55.498
N048.38.31.286 E004.52.51.268
N048.38.31.254 E004.52.50.353
N048.38.31.793 E004.52.45.451
N048.38.31.770 E004.52.45.186
N048.38.31.698 E004.52.44.956
N048.38.31.589 E004.52.44.811
N048.38.31.395 E004.52.44.686
N048.38.29.495 E004.52.44.199
N048.38.29.345 E004.52.44.229
N048.38.29.164 E004.52.44.378
N048.38.29.058 E004.52.44.532
N048.38.29.023 E004.52.44.736
N048.38.28.974 E004.52.45.446
N048.38.27.901 E004.52.48.071
N048.38.27.216 E004.52.48.018
N048.38.26.822 E004.52.48.019
N048.38.26.143 E004.52.48.258
N048.38.25.215 E004.52.48.628
N048.38.24.225 E004.52.49.560
N048.38.18.790 E004.52.59.189
N048.38.18.444 E004.52.59.687
N048.38.18.202 E004.52.59.883
N048.38.17.898 E004.52.59.940
N048.38.05.651 E004.52.56.467
N048.38.03.612 E004.52.58.394
N048.38.02.216 E004.53.03.364
N048.37.58.473 E004.53.00.938
N048.37.55.528 E004.53.11.306
N048.37.55.367 E004.53.11.339
N048.37.54.353 E004.53.14.760
N048.37.56.873 E004.53.16.384
N048.37.57.857 E004.53.18.005
N048.37.57.155 E004.53.24.229
N048.37.57.646 E004.53.28.346
N048.37.57.864 E004.53.28.885
N048.38.00.392 E004.53.30.731
N048.38.01.564 E004.53.38.748
N048.38.00.724 E004.53.42.138
N048.37.54.115 E004.54.06.015
N048.37.53.718 E004.54.06.349
N048.37.53.161 E004.54.06.587
N048.37.52.687 E004.54.06.689
N048.37.52.207 E004.54.06.708
N048.37.51.914 E004.54.06.514
N048.37.44.054 E004.53.58.605
N048.37.43.808 E004.53.58.150
N048.37.43.658 E004.53.57.618
N048.37.43.549 E004.53.55.720
N048.37.43.476 E004.53.55.462
N048.37.43.342 E004.53.55.214
N048.37.42.423 E004.53.53.550
N048.37.42.142 E004.53.53.195
N048.37.41.825 E004.53.53.054
N048.37.41.467 E004.53.52.998
N048.37.41.113 E004.53.53.098
N048.37.28.733 E004.54.08.088
N048.37.28.318 E004.54.08.664
N048.37.28.058 E004.54.09.249
N048.37.27.855 E004.54.09.863
N048.37.27.734 E004.54.10.803
N048.37.27.442 E004.54.14.429
N048.37.27.337 E004.54.14.888
N048.37.27.206 E004.54.15.191
N048.37.26.977 E004.54.15.608
N048.37.26.643 E004.54.15.980
N048.37.26.303 E004.54.16.257
N048.37.25.884 E004.54.16.425
N048.37.25.414 E004.54.16.474
N048.37.22.813 E004.54.16.509
N048.37.22.505 E004.54.16.543
N048.37.22.215 E004.54.16.688
N048.37.21.869 E004.54.16.937
N048.37.21.560 E004.54.17.271
N048.37.21.293 E004.54.17.717
N048.37.21.132 E004.54.18.177
N048.37.21.008 E004.54.18.708
N048.37.20.926 E004.54.19.370
N048.37.19.533 E004.54.34.045
N048.37.19.002 E004.54.41.324
N048.37.18.893 E004.54.42.774
N048.37.18.833 E004.54.43.980
N048.37.18.833 E004.54.45.041
N048.37.18.967 E004.54.45.942
N048.37.19.165 E004.54.46.877
N048.37.19.441 E004.54.47.762
N048.37.19.771 E004.54.48.475
N048.37.22.280 E004.54.52.931
N048.37.22.794 E004.54.53.626
N048.37.23.299 E004.54.54.149
N048.37.23.826 E004.54.54.626
N048.37.24.315 E004.54.54.915
N048.37.24.928 E004.54.55.172
N048.37.25.571 E004.54.55.353
N048.37.26.323 E004.54.55.400
N048.37.26.983 E004.54.55.282
N048.37.27.500 E004.54.55.017
N048.37.27.949 E004.54.54.700
N048.37.29.879 E004.54.53.210
N048.37.30.314 E004.54.53.022
N048.37.30.775 E004.54.52.939
N048.37.31.231 E004.54.52.939
N048.37.31.713 E004.54.53.051
N048.37.32.018 E004.54.53.218
N048.37.32.408 E004.54.53.499
N048.37.33.529 E004.54.54.443
N048.37.33.971 E004.54.54.715
N048.37.34.446 E004.54.54.970
N048.37.37.001 E004.54.56.093
N048.37.37.269 E004.54.56.217
N048.37.37.595 E004.54.56.455
N048.37.42.500 E004.55.00.522
N048.37.44.212 E004.55.02.220
N048.37.45.035 E004.55.02.811
N048.37.45.868 E004.55.03.385
N048.37.46.931 E004.55.03.974
N048.37.52.191 E004.55.06.796
N048.37.52.716 E004.55.07.171
N048.37.53.201 E004.55.07.609
N048.37.57.602 E004.55.12.432
N048.37.57.956 E004.55.12.833
N048.37.58.363 E004.55.13.108
N048.37.58.853 E004.55.13.306
N048.37.59.353 E004.55.13.437
N048.37.59.807 E004.55.13.385
N048.38.00.181 E004.55.13.272
N048.38.00.624 E004.55.13.034
N048.38.02.297 E004.55.12.023
N048.38.02.683 E004.55.11.705
N048.38.03.029 E004.55.11.328
N048.38.03.357 E004.55.10.907
N048.38.04.784 E004.55.08.921
N048.38.05.165 E004.55.08.278
N048.38.05.423 E004.55.07.709
N048.38.05.597 E004.55.07.199
N048.38.05.747 E004.55.06.624
N048.38.05.855 E004.55.06.426
N048.38.06.009 E004.55.06.296
N048.38.06.289 E004.55.06.204
N048.38.07.703 E004.55.06.146
N048.38.12.165 E004.55.05.917
N048.38.17.706 E004.55.05.162
N048.38.18.316 E004.55.05.014
N048.38.18.673 E004.55.04.879
N048.38.18.925 E004.55.04.638
N048.38.19.076 E004.55.04.382
N048.38.19.174 E004.55.03.990
N048.38.24.192 E004.54.28.743
N048.38.24.219 E004.54.28.331
N048.38.24.153 E004.54.28.022
N048.38.23.913 E004.54.27.126
N048.38.23.870 E004.54.26.871
N048.38.23.863 E004.54.26.644
N048.38.23.920 E004.54.26.240
N048.38.25.853 E004.54.16.302
N048.38.26.877 E004.54.11.184
N048.38.27.853 E004.54.04.046
N048.38.27.873 E004.54.03.362
N048.38.27.793 E004.54.02.763
N048.38.27.672 E004.54.02.182
N048.38.27.534 E004.54.01.516
N048.38.27.477 E004.54.00.987
N048.38.27.456 E004.54.00.240
N048.38.27.523 E004.53.59.487
N048.38.27.650 E004.53.58.727
N048.38.27.913 E004.53.58.003
N048.38.28.192 E004.53.57.531
N048.38.28.534 E004.53.56.965
N048.38.28.822 E004.53.56.370
N048.38.29.078 E004.53.55.697
N048.38.29.272 E004.53.54.910
N048.38.36.015 E004.53.08.039
N048.38.35.897 E004.53.07.650
N048.38.34.457 E004.53.05.034
N048.38.34.280 E004.53.04.725


COLOR_Terrain1
N048.38.25.292 E004.54.00.787
N048.38.25.380 E004.54.00.586
N048.38.25.437 E004.54.00.291
N048.38.25.448 E004.53.59.981
N048.38.25.388 E004.53.59.671
N048.38.25.299 E004.53.59.490
N048.38.25.159 E004.53.59.362
N048.38.24.968 E004.53.59.256
N048.38.24.827 E004.53.59.161
N048.38.24.721 E004.53.59.005
N048.38.24.430 E004.53.58.213
N048.38.24.394 E004.53.57.998
N048.38.24.421 E004.53.57.754
N048.38.24.482 E004.53.57.556
N048.38.24.586 E004.53.57.386
N048.38.24.748 E004.53.57.219
N048.38.24.979 E004.53.56.899
N048.38.25.257 E004.53.56.468
