



COLOR_GrasSurface4  
N048.24.51.935 E007.52.58.079
    N048.37.47.821 E007.54.17.471
    N048.39.01.971 E007.23.56.711
    N048.25.51.856 E007.22.37.841


COLOR_GrasSurface   
N048.31.40.393 E007.36.52.151
    N048.31.44.938 E007.36.51.091
    N048.31.48.790 E007.37.16.353
    N048.31.54.754 E007.37.12.931
    N048.32.19.629 E007.37.55.440
    N048.32.19.782 E007.37.55.649
    N048.32.19.962 E007.37.55.799
    N048.32.20.231 E007.37.55.979
    N048.32.20.491 E007.37.56.175
    N048.32.20.844 E007.37.56.586
    N048.32.21.116 E007.37.57.153
    N048.32.21.394 E007.37.58.276
    N048.32.21.452 E007.37.58.912
    N048.32.21.475 E007.37.59.694
    N048.32.21.406 E007.38.00.423
    N048.32.21.276 E007.38.01.123
    N048.32.21.123 E007.38.01.752
    N048.32.20.798 E007.38.02.467
    N048.32.20.374 E007.38.03.207
    N048.32.19.872 E007.38.04.031
    N048.32.19.388 E007.38.04.679
    N048.32.18.964 E007.38.05.195
    N048.32.18.463 E007.38.05.761
    N048.32.17.857 E007.38.06.526
    N048.32.17.327 E007.38.07.496
    N048.32.16.848 E007.38.08.369
    N048.32.16.539 E007.38.09.084
    N048.32.16.258 E007.38.09.949
    N048.32.15.209 E007.38.12.980
    N048.32.14.912 E007.38.14.186
    N048.32.14.660 E007.38.15.755
    N048.32.14.506 E007.38.17.759
    N048.32.14.506 E007.38.19.619
    N048.32.14.616 E007.38.21.000
    N048.32.14.897 E007.38.22.355
    N048.32.15.414 E007.38.23.844
    N048.32.16.059 E007.38.25.340
    N048.32.16.689 E007.38.26.857
    N048.32.18.406 E007.38.29.809
    N048.32.18.652 E007.38.30.256
    N048.32.18.842 E007.38.30.748
    N048.32.18.984 E007.38.31.476
    N048.32.19.049 E007.38.32.483
    N048.32.19.084 E007.38.34.074
    N048.32.19.074 E007.38.40.453
    N048.32.19.129 E007.38.40.885
    N048.32.19.184 E007.38.41.105
    N048.32.19.285 E007.38.41.287
    N048.32.19.979 E007.38.42.248
    N048.32.20.152 E007.38.42.351
    N048.32.20.335 E007.38.42.386
    N048.32.20.563 E007.38.42.351
    N048.32.20.731 E007.38.42.241
    N048.32.24.929 E007.38.38.317
    N048.32.25.077 E007.38.38.170
    N048.32.25.171 E007.38.38.106
    N048.32.25.252 E007.38.38.106
    N048.32.25.338 E007.38.38.135
    N048.32.25.901 E007.38.38.259
    N048.32.26.095 E007.38.38.317
    N048.32.26.244 E007.38.38.353
    N048.32.26.380 E007.38.38.335
    N048.32.26.583 E007.38.38.276
    N048.32.26.875 E007.38.38.200
    N048.32.27.101 E007.38.38.094
    N048.32.27.840 E007.38.37.692
    N048.32.28.013 E007.38.37.603
    N048.32.28.165 E007.38.37.562
    N048.32.28.302 E007.38.37.586
    N048.32.28.417 E007.38.37.651
    N048.32.28.503 E007.38.37.754
    N048.32.28.627 E007.38.37.973
    N048.32.28.735 E007.38.38.234
    N048.32.28.911 E007.38.38.892
    N048.32.31.838 E007.38.48.902
    N048.32.31.974 E007.38.49.411
    N048.32.32.069 E007.38.49.886
    N048.32.32.128 E007.38.50.348
    N048.32.32.162 E007.38.50.810
    N048.32.32.250 E007.38.52.170
    N048.32.32.290 E007.38.52.627
    N048.32.32.358 E007.38.53.126
    N048.32.32.417 E007.38.53.429
    N048.32.32.500 E007.38.53.672
    N048.32.32.621 E007.38.53.882
    N048.32.32.790 E007.38.54.031
    N048.32.32.970 E007.38.54.166
    N048.32.33.223 E007.38.54.283
    N048.32.38.061 E007.38.56.473
    N048.32.38.339 E007.38.56.585
    N048.32.38.630 E007.38.56.715
    N048.32.38.832 E007.38.56.734
    N048.32.38.977 E007.38.56.748
    N048.32.39.743 E007.38.56.753
    N048.32.39.876 E007.38.56.781
    N048.32.40.003 E007.38.56.869
    N048.32.40.148 E007.38.56.995
    N048.32.40.305 E007.38.57.191
    N048.32.40.521 E007.38.57.504
    N048.32.42.795 E007.39.00.830
    N048.32.43.141 E007.39.01.362
    N048.32.43.309 E007.39.01.588
    N048.32.43.461 E007.39.01.696
    N048.32.43.587 E007.39.01.738
    N048.32.43.733 E007.39.01.756
    N048.32.43.856 E007.39.01.752
    N048.32.43.989 E007.39.01.710
    N048.32.44.236 E007.39.01.579
    N048.32.44.922 E007.39.01.163
    N048.32.45.573 E007.39.00.856
    N048.32.46.746 E007.39.00.424
    N048.32.47.695 E007.39.00.085
    N048.32.48.915 E007.38.59.839
    N048.32.50.232 E007.38.59.793
    N048.32.51.558 E007.38.59.855
    N048.32.52.886 E007.39.00.160
    N048.32.54.184 E007.39.00.524
    N048.32.55.502 E007.39.01.115
    N048.32.56.504 E007.39.01.749
    N048.32.57.461 E007.39.02.465
    N048.33.01.904 E007.39.05.570
    N048.33.02.355 E007.39.05.859
    N048.33.02.883 E007.39.06.218
    N048.33.03.305 E007.39.06.417
    N048.33.03.688 E007.39.06.522
    N048.33.04.177 E007.39.06.531
    N048.33.04.583 E007.39.06.451
    N048.33.04.962 E007.39.06.292
    N048.33.05.362 E007.39.05.995
    N048.33.05.708 E007.39.05.597
    N048.33.05.995 E007.39.05.119
    N048.33.06.255 E007.39.04.421
    N048.33.06.427 E007.39.03.246
    N048.33.06.399 E007.39.02.069
    N048.33.06.303 E007.39.00.923
    N048.33.06.201 E007.38.59.947
    N048.33.05.771 E007.38.57.120
    N048.33.05.001 E007.38.53.006
    N048.33.03.761 E007.38.47.560
    N048.33.01.801 E007.38.39.294
    N048.32.57.883 E007.38.22.693
