

 COLOR_GrasSurface
 N047.03.59.641 E002.39.21.511
N047.03.59.387 E002.39.20.680
N047.03.53.943 E002.39.06.554
N047.03.03.182 E002.36.54.886
N047.03.03.072 E002.36.54.165
N047.03.03.142 E002.36.53.129
N047.03.03.285 E002.36.52.246
N047.03.05.276 E002.36.44.931
N047.03.05.355 E002.36.44.089
N047.03.05.327 E002.36.43.234
N047.03.05.215 E002.36.42.222
N047.03.05.040 E002.36.41.402
N047.03.00.654 E002.36.30.205
N047.03.00.334 E002.36.29.514
N047.03.00.006 E002.36.28.881
N047.02.59.700 E002.36.28.365
N047.02.59.319 E002.36.27.870
N047.02.58.809 E002.36.27.369
N047.02.58.280 E002.36.26.945
N047.02.57.617 E002.36.26.611
N047.02.54.144 E002.36.25.058
N047.02.53.551 E002.36.24.935
N047.02.52.959 E002.36.24.926
N047.02.51.902 E002.36.24.985
N047.02.51.122 E002.36.24.879
N047.02.50.594 E002.36.24.732
N047.02.50.027 E002.36.24.454
N047.02.49.569 E002.36.24.093
N047.02.45.688 E002.36.20.122
N047.02.45.209 E002.36.19.724
N047.02.44.709 E002.36.19.289
N047.02.44.111 E002.36.19.009
N047.02.43.520 E002.36.18.854
N047.02.42.884 E002.36.18.934
N047.02.42.297 E002.36.19.191
N047.02.41.705 E002.36.19.648
N047.02.41.191 E002.36.20.330
N047.02.40.736 E002.36.21.177
N047.02.40.427 E002.36.22.374
N047.02.40.353 E002.36.23.338
N047.02.40.471 E002.36.24.644
N047.02.40.784 E002.36.26.496
N047.02.41.908 E002.36.33.233
N047.02.42.330 E002.36.35.675
N047.02.42.748 E002.36.37.966
N047.02.43.397 E002.36.42.032
N047.02.44.002 E002.36.45.701
N047.02.44.315 E002.36.47.625
N047.02.44.438 E002.36.49.129
N047.02.44.419 E002.36.50.375
N047.02.44.257 E002.36.52.040
N047.02.43.588 E002.36.55.509
N047.02.42.155 E002.37.03.021
N047.02.41.555 E002.37.06.368
