N047.03.45.897 E002.39.12.932 A1
N047.02.55.878 E002.36.39.251 A2
N047.03.45.100 E002.39.04.769 B1
N047.03.40.089 E002.38.52.831 B2
N047.03.23.974 E002.38.22.429 B3
N047.03.02.516 E002.37.37.592 B4
N047.02.48.399 E002.36.42.918 B5
N047.03.28.182 E002.38.42.051 E
N047.03.08.753 E002.38.07.256 C
N047.02.55.206 E002.37.32.469 W
N047.02.52.229 E002.37.06.480 W
N047.03.05.422 E002.37.43.433 X
N047.03.10.199 E002.37.52.017 X
N047.03.14.683 E002.37.59.708 X
N047.03.18.402 E002.38.06.336 X
N047.03.22.891 E002.38.14.338 X
N047.03.29.180 E002.38.25.267 X
N047.03.33.273 E002.38.32.536 X
N047.03.23.756 E002.38.26.484 X
N047.03.17.460 E002.38.36.887 X
N047.03.12.371 E002.38.45.804 X
N047.03.07.597 E002.38.54.553 X
