COLOR_GrasSurface
N049.26.40.197 E002.08.22.126
N049.26.41.132 E002.08.24.188
N049.26.45.373 E002.08.19.140
N049.26.45.587 E002.08.18.946
N049.26.45.913 E002.08.18.827
N049.26.47.933 E002.08.18.182
N049.26.49.192 E002.08.16.612
N049.26.52.621 E002.08.08.733
N049.26.52.054 E002.08.02.545
N049.27.03.220 E002.07.37.028
N049.27.03.425 E002.07.32.341
N049.27.18.312 E002.06.57.758
N049.27.52.726 E002.07.44.366
N049.27.52.830 E002.07.44.205
N049.27.53.104 E002.07.44.020
N049.27.53.335 E002.07.43.759
N049.27.53.472 E002.07.43.538
N049.27.56.918 E002.07.37.591
N049.27.48.908 E002.07.26.613
N049.27.50.482 E002.07.23.783
N049.27.50.600 E002.07.22.058
N049.27.51.280 E002.07.20.859
N049.27.45.649 E002.07.13.274
N049.27.45.439 E002.07.07.959
N049.27.45.905 E002.07.07.895
N049.27.45.863 E002.07.06.471
N049.27.46.001 E002.07.06.008
N049.27.46.431 E002.07.05.449
N049.27.46.551 E002.07.05.245
N049.27.46.601 E002.07.05.015
N049.27.46.613 E002.07.04.776
N049.27.46.581 E002.07.04.529
N049.27.46.477 E002.07.04.251
N049.27.46.289 E002.07.03.825
N049.27.45.226 E002.07.01.326
N049.27.44.397 E002.07.01.320
N049.27.40.637 E002.07.06.624
N049.27.35.938 E002.06.58.403
N049.27.38.721 E002.06.54.500
N049.27.37.373 E002.06.52.689
N049.27.32.081 E002.06.45.536
N049.27.31.960 E002.06.45.240
N049.27.31.862 E002.06.44.901
N049.27.31.819 E002.06.44.501
N049.27.31.801 E002.06.44.152
N049.27.31.831 E002.06.43.714
N049.27.31.886 E002.06.43.385
N049.27.32.241 E002.06.42.407
N049.27.33.463 E002.06.38.997
N049.27.35.216 E002.06.30.224
N049.27.35.182 E002.06.29.777
N049.27.35.212 E002.06.29.238
N049.27.35.303 E002.06.28.617
N049.27.35.410 E002.06.28.032
N049.27.36.147 E002.06.24.354
N049.27.37.014 E002.06.22.689
N049.27.37.408 E002.06.20.684
N049.27.37.437 E002.06.20.485
N049.27.37.434 E002.06.20.227
N049.27.37.466 E002.06.19.984
N049.27.37.511 E002.06.19.775
N049.27.37.602 E002.06.19.572
N049.27.37.679 E002.06.19.462
N049.27.37.734 E002.06.19.428
N049.27.38.586 E002.06.15.113
N049.27.38.826 E002.06.13.790
N049.27.39.467 E002.06.09.662
N049.27.38.868 E002.06.07.253
N049.27.37.810 E002.06.05.763
N049.27.37.356 E002.06.05.179
N049.27.36.417 E002.06.04.155
N049.27.35.406 E002.06.03.086
N049.27.34.625 E002.06.02.247
N049.27.34.105 E002.06.01.734
N049.27.33.466 E002.06.01.078
N049.27.33.085 E002.06.00.714
N049.27.32.437 E002.06.00.161
N049.27.31.781 E002.05.59.724
N049.27.31.191 E002.05.59.301
N049.27.30.607 E002.05.58.989
N049.27.29.852 E002.05.58.594
N049.27.29.175 E002.05.58.305
N049.27.28.625 E002.05.58.052
N049.27.27.761 E002.05.57.877
N049.27.27.041 E002.05.57.720
N049.27.26.347 E002.05.57.640
N049.27.25.668 E002.05.57.609
N049.27.24.615 E002.05.57.641
N049.27.21.433 E002.06.06.759
N049.27.20.956 E002.06.06.391
N049.27.20.161 E002.06.08.548
N049.27.20.120 E002.06.09.391
N049.27.17.947 E002.06.14.399
N049.27.17.821 E002.06.14.291
N049.27.17.619 E002.06.14.835
N049.27.15.871 E002.06.18.841
N049.27.15.391 E002.06.19.665
N049.27.15.351 E002.06.19.991
N049.27.15.334 E002.06.20.561
N049.27.13.291 E002.06.25.299
N049.27.09.401 E002.06.31.058
N049.27.10.416 E002.06.32.052
N049.27.01.224 E002.06.53.145
N049.27.03.980 E002.06.58.242
N049.26.44.907 E002.07.42.452
N049.26.44.586 E002.07.42.910
N049.26.41.138 E002.07.43.802
N049.26.38.219 E002.07.50.574
N049.26.33.161 E002.07.51.191
N049.26.32.987 E002.07.51.374
N049.26.33.177 E002.07.52.101
