N049.27.13.160:E002.06.27.233 IGN
N049.27.33.027:E002.06.39.218 T1
N049.27.35.923:E002.06.52.164 T2
N049.27.44.673:E002.07.18.373 Park. Nord
N049.27.44.364:E002.07.10.793 Hangars ACB
N049.27.31.738:E002.06.33.023 L5
N049.27.31.320:E002.06.34.151 L4
N049.27.31.014:E002.06.34.862 L3
N049.27.30.789:E002.06.35.377 L1
N049.27.30.757:E002.06.36.236 L2
N049.27.31.030:E002.06.39.546 1
N049.27.30.487:E002.06.40.804 2
N049.27.29.612:E002.06.42.805 3
N049.27.28.776:E002.06.44.551 4
N049.27.28.454:E002.06.45.159 5
N049.27.29.252:E002.06.45.473 6
N049.27.30.294:E002.06.46.905 7
N049.27.31.400:E002.06.48.395 8
N049.27.33.176:E002.06.50.867 9
N049.27.34.006:E002.06.51.929 10
N049.27.35.132:E002.06.53.474 11
N049.27.36.226:E002.06.54.945 12
N049.27.14.740:E002.06.27.270 G1
N049.27.14.320:E002.06.28.210 G2
N049.27.13.870:E002.06.29.340 G3
