N049.32.00.643 E000.05.41.642 TWR
N049.31.56.927 E000.05.41.906 ACB
N049.31.53.296 E000.05.32.318 Terminal
N049.31.50.331 E000.05.30.050 Hangars
N049.32.09.354 E000.05.48.810 H
N049.32.10.163 E000.05.49.284 Douanes
N049.32.05.800 E000.05.47.235 H
N049.32.06.403 E000.05.47.311 Protection Civile
N049.31.57.767 E000.05.36.500 D1
N049.31.57.169 E000.05.37.041 D2
N049.31.56.608 E000.05.37.520 D3
N049.31.56.632 E000.05.33.417 C1
N049.31.56.078 E000.05.33.957 C2
N049.31.55.529 E000.05.34.461 C3
N049.31.57.245 E000.05.32.925 B2
N049.31.56.648 E000.05.31.286 B1
N049.31.54.987 E000.05.28.688 B
N049.31.53.339 E000.05.28.166 H
N049.31.54.649 E000.05.26.424 A
