COLOR_GrasSurface
N048.46.50.599 E004.09.11.934
N048.46.50.514 E004.09.11.709
N048.46.50.559 E004.09.11.260
N048.46.54.062 E004.08.44.207
N048.46.51.203 E004.08.43.281
N048.46.47.633 E004.09.10.689
N048.46.47.320 E004.09.10.983
N048.46.32.677 E004.09.11.403
N048.46.27.266 E004.09.52.712
N048.46.31.568 E004.09.57.569
N048.46.34.736 E004.10.00.242
N048.46.36.486 E004.10.01.450
N048.46.36.607 E004.10.01.938
N048.46.20.805 E004.12.01.273
N048.46.20.673 E004.12.01.434
N048.46.15.979 E004.12.01.626
N048.46.09.878 E004.12.03.880
N048.46.08.855 E004.12.11.910
N048.46.05.869 E004.12.13.872
N048.46.09.446 E004.12.24.782
N048.46.09.407 E004.12.26.526
N048.46.08.597 E004.12.28.155
N048.46.07.956 E004.12.28.754
N048.46.07.221 E004.12.28.982
N048.46.06.581 E004.12.28.810
N048.46.05.745 E004.12.37.122
N048.46.04.506 E004.12.45.340
N048.46.18.555 E004.12.54.609
N048.46.18.069 E004.12.58.420
N048.46.18.841 E004.12.58.837
N048.46.20.647 E004.12.59.462
N048.46.21.209 E004.12.55.305
N048.46.36.425 E004.12.54.884
N048.46.37.980 E004.12.42.468
N048.46.39.515 E004.12.43.116
N048.46.41.063 E004.12.43.863
N048.46.42.803 E004.12.44.059
N048.46.44.362 E004.12.43.639
N048.46.46.008 E004.12.42.661
N048.46.47.245 E004.12.41.284
N048.46.50.692 E004.12.39.167
N048.46.51.313 E004.12.38.173
N048.46.51.710 E004.12.36.526
N048.46.51.780 E004.12.34.930
N048.46.51.787 E004.12.28.456
N048.46.51.587 E004.12.26.809
N048.46.51.187 E004.12.25.086
N048.46.51.071 E004.12.23.489
N048.46.51.338 E004.12.21.817
N048.46.51.506 E004.12.20.880
N048.46.49.662 E004.12.17.428
N048.46.44.475 E004.12.07.185
N048.46.46.742 E004.12.06.254
N048.46.46.941 E004.12.04.154
N048.46.49.243 E004.12.00.029
N048.46.50.291 E004.11.58.318
N048.46.50.576 E004.11.57.627
N048.46.54.581 E004.11.27.565
N048.46.56.264 E004.11.17.697
N048.46.55.612 E004.11.14.848
N048.46.51.981 E004.11.10.264
N048.46.49.697 E004.11.08.468
N048.46.50.144 E004.10.47.067
N048.46.47.439 E004.10.40.096
N048.46.47.309 E004.10.39.429
N048.46.47.332 E004.10.38.470
N048.46.50.435 E004.10.15.409
N048.46.51.839 E004.10.04.913
N048.46.52.047 E004.10.04.540
N048.46.58.774 E004.10.02.185
N048.47.04.156 E004.09.20.799

COLOR_HardSurface4
N048.46.44.397 E004.11.23.884
N048.46.44.595 E004.11.23.954
N048.46.43.808 E004.11.30.174
N048.46.46.642 E004.11.31.206
N048.46.43.801 E004.11.53.705
N048.46.44.316 E004.11.53.854
N048.46.45.297 E004.11.46.159
N048.46.45.735 E004.11.45.257
N048.46.46.303 E004.11.41.107
N048.46.47.109 E004.11.37.339
N048.46.47.445 E004.11.34.886
N048.46.49.156 E004.11.32.887
N048.46.50.259 E004.11.24.426
N048.46.49.169 E004.11.24.096
N048.46.49.668 E004.11.19.365
N048.46.48.891 E004.11.19.142
N048.46.49.791 E004.11.11.990
N048.46.49.276 E004.11.11.832
N048.46.47.732 E004.11.24.022
N048.46.44.504 E004.11.23.142

COLOR_HardSurface3
N048.46.42.644 E004.11.16.674
N048.46.42.817 E004.11.17.013
N048.46.42.945 E004.11.17.421
N048.46.43.023 E004.11.17.854
N048.46.43.067 E004.11.18.424
N048.46.43.067 E004.11.19.146
N048.46.43.061 E004.11.19.726
N048.46.43.005 E004.11.20.325
N048.46.42.886 E004.11.21.466
N048.46.42.779 E004.11.22.416
N048.46.42.418 E004.11.25.038
N048.46.43.226 E004.11.25.282
N048.46.43.586 E004.11.22.518
N048.46.44.543 E004.11.22.807
N048.46.44.470 E004.11.23.335
N048.46.47.777 E004.11.24.360
N048.46.49.387 E004.11.11.864
N048.46.46.103 E004.11.10.814
N048.46.46.052 E004.11.11.291
N048.46.45.081 E004.11.11.001
N048.46.45.380 E004.11.08.768
N048.46.44.571 E004.11.08.530
N048.46.44.183 E004.11.11.025
N048.46.44.105 E004.11.11.414
N048.46.43.766 E004.11.12.725
