N048.46.47.827 E004.11.22.295 W1
N048.46.45.194 E004.11.16.520 W2
N048.46.48.199 E004.11.19.001 W3
N048.46.48.513 E004.11.16.092 W4
N048.46.48.943 E004.11.13.226 W5
N048.46.45.967 E004.11.33.674 E1E
N048.46.46.310 E004.11.31.535 E1W
N048.46.44.879 E004.11.33.375 E2E
N048.46.45.251 E004.11.31.236 E2W
N048.46.43.906 E004.11.33.075 E3E
N048.46.44.250 E004.11.30.979 E3W
N048.46.42.876 E004.11.32.776 E4E
N048.46.43.219 E004.11.30.594 E4W
N048.46.43.734 E004.11.37.353 E5A
N048.46.45.881 E004.11.37.225 E5
N048.46.45.566 E004.11.39.364 E6A
N048.46.45.403 E004.11.40.639 E6
N048.46.45.243 E004.11.41.768 E6B
N048.46.45.037 E004.11.43.342 E7A
N048.46.44.853 E004.11.44.745 E7
N048.46.44.647 E004.11.46.183 E7B
N048.46.44.373 E004.11.48.441 E8
N048.46.43.906 E004.11.51.984 E9
N048.46.41.560 E004.11.46.551 E10
N048.46.41.075 E004.12.28.024 M1
N048.46.47.099 E004.10.51.289 S
N048.46.50.275 E004.11.21.093 TERMINAL
N048.46.48.472 E004.11.34.012 FRET 1
N048.46.47.843 E004.11.39.745 FRET 2
