N048.46.45.330 E004.09.37.768 10
N048.46.23.379 E004.12.27.555 28
N048.46.41.419 E004.10.31.748 A2
N048.46.34.985 E004.11.24.005 A3
N048.46.27.795 E004.12.18.941 A4
N048.46.27.542 E004.12.32.149 A5
N048.46.46.087 E004.10.43.041 B1
N048.46.44.320 E004.10.53.378 B2
N048.46.41.419 E004.11.14.817 B3
N048.46.39.527 E004.11.30.704 B4
N048.46.41.419 E004.11.03.714 T2
N048.46.33.850 E004.11.59.991 T3
N048.46.29.813 E004.12.31.766 T4
N048.46.36.121 E004.12.27.746 M
N048.46.40.844 E004.11.41.332 E
N048.46.42.332 E004.11.30.252 EA
N048.46.43.305 E004.11.34.145 EB
