
COLOR_GrasSurface
N048.57.51.980 E002.25.04.967
N048.57.50.838 E002.25.05.259
N048.57.50.131 E002.25.05.494
N048.57.49.656 E002.25.05.690
N048.57.49.257 E002.25.05.983
N048.57.46.341 E002.25.08.588
N048.57.43.903 E002.25.10.351
N048.57.44.035 E002.25.10.736
N048.57.39.926 E002.25.14.466
N048.57.40.806 E002.25.16.462
N048.57.41.357 E002.25.17.436
N048.57.41.718 E002.25.22.523
N048.57.42.096 E002.25.22.485
N048.57.42.516 E002.25.27.991
N048.57.42.517 E002.25.28.393
N048.57.42.303 E002.25.29.244
N048.57.39.659 E002.25.38.207
N048.57.39.424 E002.25.38.957
N048.57.34.872 E002.25.47.698
N048.57.34.566 E002.25.47.878
N048.57.02.156 E002.25.25.028
N048.57.00.638 E002.25.25.507
N048.56.57.271 E002.25.25.238
N048.56.55.386 E002.25.30.711
N048.56.48.238 E002.25.25.677
N048.56.45.197 E002.25.35.497
N048.56.52.137 E002.25.40.352
N048.56.50.835 E002.25.44.018
N048.56.48.618 E002.25.50.890
N048.56.46.504 E002.25.56.530
N048.56.42.022 E002.25.56.515
N048.56.41.153 E002.25.58.744
N048.56.43.506 E002.26.01.600
N048.56.49.719 E002.26.06.323
N048.56.51.169 E002.26.06.845
N048.56.57.235 E002.26.12.346
N048.56.56.526 E002.26.14.485
N048.56.58.149 E002.26.15.866
N048.56.58.449 E002.26.16.185
N048.56.58.652 E002.26.16.419
N048.56.58.799 E002.26.16.749
N048.56.58.952 E002.26.17.196
N048.56.59.099 E002.26.17.547
N048.56.59.403 E002.26.17.892
N048.57.08.433 E002.26.25.968
N048.57.11.012 E002.26.28.248
N048.57.12.014 E002.26.29.104
N048.57.12.838 E002.26.29.724
N048.57.15.476 E002.26.31.579
N048.57.20.634 E002.26.35.180
N048.57.26.675 E002.26.39.441
N048.57.36.696 E002.26.46.481
N048.57.36.805 E002.26.46.587
N048.57.36.884 E002.26.46.707
N048.57.36.936 E002.26.46.926
N048.57.37.086 E002.26.49.568
N048.57.36.251 E002.26.52.146
N048.57.36.144 E002.26.52.530
N048.57.36.144 E002.26.52.812
N048.57.36.200 E002.26.52.983
N048.57.36.324 E002.26.53.136
N048.57.36.544 E002.26.53.385
N048.57.41.868 E002.26.58.177
N048.57.42.880 E002.26.59.199
N048.57.45.484 E002.27.01.559
N048.57.45.589 E002.27.01.606
N048.57.45.674 E002.27.01.607
N048.57.47.167 E002.27.00.916
N048.57.49.026 E002.27.00.065
N048.57.49.358 E002.27.00.093
N048.57.49.792 E002.27.00.165
N048.57.50.219 E002.27.00.319
N048.57.50.475 E002.27.00.442
N048.57.50.648 E002.27.00.574
N048.57.50.780 E002.27.00.714
N048.57.50.912 E002.27.00.906
N048.57.51.044 E002.27.01.169
N048.57.51.153 E002.27.01.423
N048.57.51.274 E002.27.01.756
N048.57.51.372 E002.27.02.237
N048.57.51.464 E002.27.02.789
N048.57.51.575 E002.27.03.590
N048.57.51.505 E002.27.03.850
N048.57.51.435 E002.27.04.186
N048.57.51.349 E002.27.04.782
N048.57.51.309 E002.27.05.163
N048.57.51.364 E002.27.05.607
N048.57.51.470 E002.27.06.034
N048.57.51.625 E002.27.06.455
N048.57.51.806 E002.27.06.776
N048.57.52.006 E002.27.07.034
N048.58.07.726 E002.27.21.915
N048.58.18.075 E002.27.31.092
N048.58.19.041 E002.27.31.897
N048.58.20.345 E002.27.32.874
N048.58.24.388 E002.27.36.361
N048.58.27.407 E002.27.36.796
N048.58.33.566 E002.27.30.190
N048.58.20.031 E002.26.39.822
N048.58.25.240 E002.26.14.260
N048.58.19.572 E002.26.09.941
N048.58.14.522 E002.26.07.424
N048.58.16.595 E002.26.03.175
N048.58.14.725 E002.26.01.271
N048.58.13.896 E002.26.00.285
N048.58.10.278 E002.26.02.977
N048.57.55.228 E002.25.06.883
N048.57.55.262 E002.25.04.643
N048.57.53.672 E002.25.04.781

COLOR_HardSurface4
N048.58.06.042 E002.26.25.092
N048.58.05.418 E002.26.27.164
N048.58.14.838 E002.26.33.742
N048.58.15.428 E002.26.31.682

COLOR_HardSurface4
N048.58.26.815 E002.27.28.083
N048.58.25.458 E002.27.28.894
N048.58.27.043 E002.27.34.690
N048.58.28.424 E002.27.33.792

COLOR_HardSurface4
N048.58.02.897 E002.26.42.676
N048.58.02.867 E002.26.42.174
N048.58.02.873 E002.26.41.888
N048.58.02.909 E002.26.41.610
N048.58.02.997 E002.26.41.224
N048.58.03.097 E002.26.40.947
N048.58.03.226 E002.26.40.615
N048.58.04.166 E002.26.38.812
N048.58.03.810 E002.26.38.881
N048.58.03.661 E002.26.38.901
N048.58.03.519 E002.26.38.881
N048.58.03.358 E002.26.38.871
N048.58.03.183 E002.26.38.782
N048.58.03.008 E002.26.38.703
N048.58.02.821 E002.26.38.556
N048.58.02.646 E002.26.38.368
N048.58.02.484 E002.26.38.152
N048.58.02.323 E002.26.37.886
N048.58.02.200 E002.26.37.580
N048.58.02.090 E002.26.37.275
N048.58.01.999 E002.26.36.851
N048.57.54.514 E002.25.46.453
N048.57.52.596 E002.25.46.889
N048.57.59.648 E002.26.34.509
N048.57.59.952 E002.26.36.646
N048.58.00.155 E002.26.38.061
N048.58.00.245 E002.26.38.788
N048.58.00.282 E002.26.39.301
