N049.00.49.270 E002.30.17.740 I04
N049.00.49.370 E002.30.20.000 I05
N049.00.49.530 E002.30.22.210 I06
N049.00.43.610 E002.30.18.470 I09
N049.00.43.700 E002.30.20.680 I10
N049.00.43.790 E002.30.22.950 I11
N049.00.41.470 E002.30.21.630 I14
N049.00.39.530 E002.30.21.450 I15
N049.00.39.120 E002.30.21.670 I16
N049.00.37.610 E002.30.21.680 I17
N049.00.36.800 E002.30.21.920 I18
N049.00.35.680 E002.30.21.910 I19
N049.00.47.190 E002.30.08.990 I20
N049.00.44.960 E002.30.07.560 I21
N049.00.44.350 E002.30.07.530 I22
N049.00.43.050 E002.30.07.800 I23
N049.00.41.120 E002.30.08.020 I24
N049.00.39.200 E002.30.08.270 I25
N049.00.37.870 E002.30.08.170 I26
N049.00.37.260 E002.30.07.920 I27
N049.00.52.560 E002.30.11.360 I3A
N049.00.52.440 E002.30.09.600 I3B
N049.00.52.360 E002.30.07.890 I3C
N049.00.52.250 E002.30.06.080 I3D
N049.00.52.260 E002.30.03.800 I3F
N049.00.52.170 E002.30.02.130 I3G
N049.00.52.080 E002.30.00.460 I3H
N049.00.55.200 E002.30.24.850 I30
N049.00.55.640 E002.30.24.220 I31
N049.00.55.330 E002.30.22.460 I32
N049.00.55.490 E002.30.20.670 I33
N049.00.55.180 E002.30.20.080 I34
N049.00.54.670 E002.30.11.500 I35
N049.00.54.510 E002.30.08.900 I36
N049.00.54.370 E002.30.06.330 I37
N049.00.54.190 E002.30.02.930 I38
N049.00.54.060 E002.30.00.360 I39
N049.00.48.000 E002.30.09.580 I40
N049.00.46.940 E002.30.08.090 I41
N049.00.47.190 E002.30.07.760 I42
N049.00.46.700 E002.30.04.400 I43
N049.00.46.540 E002.30.01.460 I44
N049.00.46.390 E002.29.58.580 I45
N049.00.46.220 E002.29.55.630 I46
N049.00.46.080 E002.29.52.750 I47
N049.00.45.880 E002.29.49.220 I48
N049.00.45.719 E002.29.46.310 I49
N049.00.48.840 E002.30.08.220 I4J
N049.00.48.810 E002.30.06.540 I4L
N049.00.48.660 E002.30.04.820 I4M
N049.00.48.590 E002.30.03.140 I4N
N049.00.48.470 E002.30.01.560 I4P
N049.00.48.410 E002.29.59.780 I4Q
N049.00.48.370 E002.29.58.140 I4R
N049.00.48.230 E002.29.56.470 I4S
N049.00.48.150 E002.29.54.790 I4T
N049.00.48.070 E002.29.53.130 I4U
N049.00.47.970 E002.29.51.460 I4V
N049.00.47.850 E002.29.49.400 I4W
N049.00.47.780 E002.29.47.700 I4X
N049.00.45.150 E002.29.43.410 I50
N049.00.44.840 E002.29.41.330 I51
N049.00.44.010 E002.29.41.590 I52
N049.00.42.920 E002.29.41.330 I53
N049.00.41.670 E002.29.41.900 I54
N049.00.41.020 E002.29.41.900 I55
N049.01.03.360 E002.30.28.210 I60
N049.01.02.620 E002.30.25.670 I61
N049.01.03.170 E002.30.24.650 I62
N049.01.02.470 E002.30.21.930 I63
N049.01.02.960 E002.30.21.120 I64
N049.01.02.300 E002.30.19.010 I65
N049.01.02.760 E002.30.17.570 I66
N049.01.02.100 E002.30.16.030 I67
N049.01.02.590 E002.30.14.020 I68
N049.01.01.950 E002.30.13.080 I69
N049.01.02.410 E002.30.10.460 I70
N049.01.01.600 E002.30.06.740 I71
N049.01.02.130 E002.30.05.880 I72
N049.01.01.410 E002.30.03.020 I73
N049.01.01.970 E002.30.02.340 I74
N049.01.01.280 E002.30.00.140 I75
N049.01.01.710 E002.29.58.720 I76
N049.01.01.140 E002.29.57.220 I77
N049.01.01.510 E002.29.54.950 I78
N049.01.01.060 E002.29.54.330 I79
N049.00.53.230 E002.29.41.820 I80
N049.00.54.320 E002.29.41.550 I81
N049.00.55.750 E002.29.42.070 I82
N049.00.57.150 E002.29.42.620 I83
N049.00.58.520 E002.29.43.080 I84
N049.00.53.640 E002.29.47.700 I85
N049.00.52.410 E002.29.47.610 I86
N049.00.52.690 E002.29.53.190 I90
N049.00.53.900 E002.29.52.640 I91
N049.00.54.570 E002.30.43.030 EN20
N049.00.54.420 E002.30.39.590 EN21
N049.00.54.190 E002.30.36.030 EN22
N049.00.53.990 E002.30.32.500 EN23
N049.00.54.040 E002.30.28.920 EN24
N049.00.32.320 E002.30.35.920 EN49
N049.00.49.620 E002.30.38.820 EN50
N049.00.47.595 E002.30.38.065 EN51
N049.00.47.720 E002.30.41.020 EN52
N049.00.48.990 E002.30.43.410 EN53
N049.00.46.740 E002.30.43.770 EN54
N049.00.47.950 E002.30.45.420 EN55
N049.00.50.860 E002.30.48.710 EN56
N049.00.49.360 E002.30.49.860 EN57
N049.00.44.520 E002.30.38.280 EN58
N049.00.42.410 E002.30.38.730 EN59
N049.00.48.320 E002.30.54.320 EN81
N049.00.47.130 E002.30.54.360 EN82
N049.00.45.880 E002.30.54.490 EN83
N049.00.51.250 E002.31.10.970 EN97
N049.00.50.980 E002.31.12.010 EN98
N049.00.51.630 E002.31.12.760 EN99
N049.00.40.570 E002.32.09.980 S06
N049.00.42.850 E002.32.11.400 S06B
N049.00.42.570 E002.32.10.250 S07
N049.00.42.380 E002.32.12.060 S07B
N049.00.41.330 E002.32.11.070 S08
N049.00.41.180 E002.32.11.800 S08B
N049.00.40.040 E002.32.13.050 S09
N049.00.40.870 E002.32.14.180 S09B
N049.00.39.060 E002.32.13.180 S10
N049.00.38.890 E002.32.13.660 S11
N049.00.38.780 E002.32.15.230 S12
N049.00.38.270 E002.32.17.360 S13
N049.00.38.830 E002.32.18.240 S14
N049.00.38.840 E002.32.20.720 S15
N049.00.38.470 E002.32.21.160 S16
N049.00.38.960 E002.32.22.760 S17
N049.00.38.570 E002.32.24.280 S18
N049.00.39.090 E002.32.24.850 S19
N049.00.39.370 E002.32.27.210 S20
N049.00.39.420 E002.32.28.030 S21
N049.00.39.420 E002.32.28.910 S22
N049.00.39.420 E002.32.36.770 S23
N049.00.39.870 E002.32.40.030 S24
N049.00.39.360 E002.32.40.780 S25
N049.00.39.970 E002.32.42.150 S26
