N049.01.29.259 E002.31.32.025 09L
N049.01.35.910 E002.33.38.768 27R
N049.01.14.357 E002.30.49.590 09R
N049.01.25.041 E002.34.09.127 27L
N048.59.44.606 E002.33.11.600 08L
N048.59.54.979 E002.36.28.075 26R
N048.59.34.550 E002.33.59.670 08R
N048.59.41.411 E002.36.05.683 26L
N049.01.26.474 E002.31.28.844 Z1
N049.01.27.011 E002.31.37.730 Z2
N049.01.28.161 E002.32.00.063 Z3
N049.01.30.846 E002.32.47.767 Z5
N049.01.31.766 E002.33.12.906 Z6
N049.01.32.993 E002.33.32.081 Z7
N049.01.33.683 E002.33.41.669 Z8
N049.01.22.639 E002.31.30.130 K
N049.01.23.483 E002.31.44.512 K
N049.01.28.085 E002.33.11.854 K
N049.01.28.928 E002.33.28.340 K
N049.01.29.618 E002.33.38.044 K
N049.01.18.038 E002.31.23.115 K1
N049.01.18.728 E002.31.37.379 K2
N049.01.19.342 E002.31.48.136 K3
N049.01.24.557 E002.33.22.143 K6
N049.01.25.094 E002.33.34.420 K7
N049.01.25.554 E002.33.42.020 K8
N049.01.12.399 E002.30.47.121 D1
N049.01.13.875 E002.31.15.824 D3
N049.01.14.384 E002.31.24.125 D4
N049.01.15.096 E002.31.38.011 D5
N049.01.15.707 E002.31.48.639 D6
N049.01.20.703 E002.33.22.580 Q2
N049.01.21.448 E002.33.35.080 Q3
N049.01.22.069 E002.33.43.603 Q4
N049.01.22.690 E002.33.57.240 Q5
N049.01.23.312 E002.34.13.338 Q6
N049.01.12.107 E002.30.54.640 Y1A
N049.01.14.990 E002.31.32.897 Y1
N049.01.11.301 E002.31.20.679 Y1
N049.01.14.036 E002.31.54.328 Y2
N049.01.15.245 E002.32.11.589 Y4
N049.01.13.018 E002.32.24.292 Y4
N049.01.16.453 E002.32.21.964 Y3
N049.01.13.018 E002.32.11.201 Y3
N049.01.15.881 E002.32.39.904 Y5
N049.01.17.789 E002.33.07.456 Y6
N049.01.06.719 E002.30.58.815 D
N049.01.04.605 E002.31.21.202 DY
N049.01.07.381 E002.31.12.003 D
N049.01.07.788 E002.31.20.536 D
N049.01.05.345 E002.31.31.319 D
N049.01.06.234 E002.31.45.776 D
N049.01.06.668 E002.31.58.937 D
N049.01.07.737 E002.32.19.495 D
N049.01.08.449 E002.32.32.295 D
N049.01.09.299 E002.32.45.786 D
N049.01.09.839 E002.32.58.529 D
N049.00.59.370 E002.30.53.720 DE-ICE 11
N049.01.00.010 E002.31.06.250 DE-ICE 12
N049.01.00.720 E002.31.20.390 DE-ICE 13
N049.01.06.770 E002.33.14.360 DE-ICE 21
N049.01.07.580 E002.33.29.030 DE-ICE 22
N049.01.07.820 E002.33.42.320 DE-ICE 23
N048.59.52.290 E002.32.42.030 DE-ICE 31
N049.00.01.420 E002.35.39.740 DE-ICE 41
N049.00.16.810 E002.35.47.960 DE-ICE 42
N049.00.08.260 E002.35.50.320 DE-ICE 43
N049.00.08.960 E002.36.03.300 DE-ICE 44
N049.01.12.479 E002.32.43.968 Q
N049.01.13.115 E002.32.58.150 Q
N049.01.13.751 E002.33.09.665 Q
N049.01.14.546 E002.33.27.363 Q
N049.01.15.500 E002.33.42.030 Q
N049.01.12.797 E002.33.53.545 Q
N049.01.13.592 E002.34.06.879 Q
N049.01.14.785 E002.34.29.424 Q
N049.01.12.797 E002.34.47.243 Q
N049.01.01.427 E002.34.52.819 Q
N049.00.47.041 E002.34.54.515 Q
N049.00.36.357 E002.34.56.148 Q
N049.00.57.353 E002.30.05.424 B
N049.00.58.719 E002.30.32.507 B
N049.01.00.707 E002.31.06.031 B
N049.01.01.576 E002.31.21.561 B
N049.01.02.252 E002.31.36.516 B
