
COLOR_Building
N048.49.19.639 E002.37.27.070
N048.49.19.828 E002.37.29.234
N048.49.20.131 E002.37.29.181
N048.49.20.228 E002.37.29.289
N048.49.20.316 E002.37.30.086
N048.49.20.423 E002.37.30.060
N048.49.20.394 E002.37.29.330
N048.49.20.440 E002.37.29.161
N048.49.20.740 E002.37.29.050
N048.49.20.594 E002.37.26.902

COLOR_Building
N048.49.21.254 E002.37.28.857
N048.49.21.403 E002.37.28.797
N048.49.21.479 E002.37.28.886
N048.49.21.558 E002.37.29.862
N048.49.21.695 E002.37.29.831
N048.49.21.628 E002.37.28.918
N048.49.21.692 E002.37.28.799
N048.49.21.860 E002.37.28.704
N048.49.21.724 E002.37.26.927
N048.49.21.124 E002.37.27.061

COLOR_Building
N048.49.22.006 E002.37.28.850
N048.49.23.119 E002.37.28.622
N048.49.23.116 E002.37.29.545
N048.49.23.458 E002.37.29.489
N048.49.23.383 E002.37.28.580
N048.49.25.270 E002.37.28.233
N048.49.25.397 E002.37.29.717
N048.49.25.625 E002.37.29.685
N048.49.25.523 E002.37.28.186
N048.49.25.832 E002.37.28.128
N048.49.25.626 E002.37.25.969
N048.49.21.825 E002.37.26.676

COLOR_Building
N048.49.21.484 E002.37.32.014
N048.49.21.418 E002.37.32.154
N048.49.21.114 E002.37.32.242
N048.49.21.287 E002.37.34.753
N048.49.23.394 E002.37.34.362
N048.49.23.186 E002.37.31.883
N048.49.22.923 E002.37.31.915
N048.49.22.827 E002.37.31.846
N048.49.22.786 E002.37.31.786
N048.49.22.717 E002.37.31.265
N048.49.22.581 E002.37.31.293
N048.49.22.607 E002.37.31.740
N048.49.22.561 E002.37.31.885
N048.49.21.926 E002.37.32.078
N048.49.21.786 E002.37.32.017
N048.49.21.690 E002.37.31.913
N048.49.21.602 E002.37.31.461
N048.49.21.448 E002.37.31.488

COLOR_Building
N048.49.23.666 E002.37.33.791
N048.49.24.956 E002.37.33.549
N048.49.24.814 E002.37.31.755
N048.49.24.653 E002.37.31.767
N048.49.24.577 E002.37.30.913
N048.49.24.448 E002.37.30.939
N048.49.24.504 E002.37.31.819
N048.49.23.533 E002.37.32.000

COLOR_Building
N048.49.25.592 E002.37.31.399
N048.49.25.292 E002.37.31.484
N048.49.25.457 E002.37.33.618
N048.49.26.264 E002.37.33.457
N048.49.26.049 E002.37.31.328
N048.49.25.755 E002.37.31.357
N048.49.25.684 E002.37.30.723
N048.49.25.550 E002.37.30.739

COLOR_Building
N048.49.19.782 E002.37.31.926
N048.49.19.696 E002.37.31.265
N048.49.19.557 E002.37.31.291
N048.49.20.122 E002.37.38.026
N048.49.20.260 E002.37.38.017
N048.49.19.903 E002.37.33.584
N048.49.20.053 E002.37.33.388
N048.49.20.179 E002.37.34.986
N048.49.21.129 E002.37.34.776
N048.49.20.884 E002.37.31.764

COLOR_Building
N048.49.20.368 E002.37.37.105
N048.49.20.374 E002.37.37.125
N048.49.20.383 E002.37.37.191
N048.49.20.396 E002.37.37.262
N048.49.20.594 E002.37.39.732
N048.49.20.828 E002.37.39.737
N048.49.20.854 E002.37.39.912
N048.49.21.066 E002.37.39.850
N048.49.21.160 E002.37.39.662
N048.49.21.388 E002.37.39.581
N048.49.21.272 E002.37.38.195
N048.49.21.103 E002.37.38.209
N048.49.20.980 E002.37.36.945

COLOR_Building
N048.49.22.271 E002.37.36.443
N048.49.22.451 E002.37.38.708
N048.49.22.603 E002.37.38.660
N048.49.22.629 E002.37.38.879
N048.49.22.791 E002.37.38.872
N048.49.22.837 E002.37.39.518
N048.49.23.160 E002.37.39.448
N048.49.23.107 E002.37.38.807
N048.49.23.586 E002.37.38.717
N048.49.23.647 E002.37.39.351
N048.49.23.965 E002.37.39.305
N048.49.23.918 E002.37.38.663
N048.49.24.059 E002.37.38.605
N048.49.24.047 E002.37.38.389
N048.49.24.213 E002.37.38.360
N048.49.24.031 E002.37.36.106

COLOR_Building
N048.49.24.358 E002.37.38.013
N048.49.24.644 E002.37.37.970
N048.49.24.767 E002.37.38.112
N048.49.24.861 E002.37.39.134
N048.49.24.989 E002.37.39.076
N048.49.24.933 E002.37.38.092
N048.49.25.048 E002.37.37.896
N048.49.25.287 E002.37.37.833
N048.49.25.147 E002.37.36.149
N048.49.24.229 E002.37.36.348

COLOR_Building
N048.49.25.316 E002.37.35.862
N048.49.25.518 E002.37.38.312
N048.49.25.528 E002.37.38.310
N048.49.25.820 E002.37.38.282
N048.49.25.994 E002.37.38.388
N048.49.26.051 E002.37.38.912
N048.49.26.198 E002.37.38.871
N048.49.26.200 E002.37.38.848
N048.49.26.176 E002.37.38.521
N048.49.26.201 E002.37.38.365
N048.49.26.271 E002.37.38.271
