N048.49.14.186 E002.37.17.455 08
N048.49.17.361 E002.37.50.003 26
N048.49.08.299 E002.37.07.109 08R
N048.49.12.863 E002.37.56.382 26L
N048.49.14.980 E002.37.57.336 S1
N048.49.13.855 E002.37.44.679 S2
N048.49.12.698 E002.37.32.373 S3
N048.49.12.268 E002.37.28.204 S4
N048.49.11.375 E002.37.19.766 S5
N048.49.10.515 E002.37.09.519 S6
N048.49.19.047 E002.37.50.706 N1
N048.49.19.014 E002.37.50.003 N2
N048.49.16.732 E002.37.31.519 N3
N048.49.15.178 E002.37.16.702 N4
N048.49.20.337 E002.37.56.733 S
N048.49.15.112 E002.37.51.409 S
N048.49.13.789 E002.37.37.546 S
N048.49.12.433 E002.37.23.734 S
N048.49.11.573 E002.37.14.442 S
N048.49.16.534 E002.37.21.474 N
N048.49.18.287 E002.37.36.642 N
N048.49.19.378 E002.37.45.583 N
N048.49.11.970 E002.37.10.022 W
N048.49.15.542 E002.37.11.026 W
N048.49.16.997 E002.37.17.003 V
N048.49.23.908 E002.37.30.263 T1
N048.49.19.775 E002.37.30.916 T1
N048.49.24.504 E002.37.39.957 T2
N048.49.19.940 E002.37.40.861 T2
