

 COLOR_GrasSurface
 N048.44.58.124 E002.05.27.773
N048.44.54.215 E002.05.29.727
N048.44.53.442 E002.05.30.557
N048.44.53.016 E002.05.31.515
N048.44.52.815 E002.05.32.476
N048.44.52.803 E002.05.33.568
N048.44.53.035 E002.05.35.054
N048.44.54.048 E002.05.39.569
N048.44.54.119 E002.05.40.587
N048.44.53.965 E002.05.41.901
N048.44.53.595 E002.05.42.942
N048.44.52.924 E002.05.44.393
N048.44.51.453 E002.05.46.908
N048.44.49.627 E002.05.50.023
N048.44.46.737 E002.05.55.384
N048.44.46.338 E002.05.56.983
N048.44.46.317 E002.05.57.814
N048.44.46.778 E002.06.18.712
N048.44.49.599 E002.06.24.442
N048.44.48.438 E002.06.27.449
N048.44.52.309 E002.06.35.852
N048.44.54.351 E002.06.40.162
N048.44.54.532 E002.06.40.884
N048.44.54.735 E002.06.41.994
N048.44.55.406 E002.06.46.214
N048.44.55.685 E002.06.47.150
N048.44.56.244 E002.06.48.111
N048.44.50.634 E002.07.01.564
N048.44.51.934 E002.07.04.606
N048.44.53.022 E002.07.06.951
N048.44.55.581 E002.07.09.864
N048.44.57.449 E002.07.10.803
N048.44.59.482 E002.07.11.544
N048.45.02.346 E002.07.11.977
N048.45.10.172 E002.07.12.976
N048.45.18.300 E002.07.14.341
N048.45.20.004 E002.07.14.945
N048.45.21.012 E002.07.15.804
N048.45.21.683 E002.07.16.160
N048.45.22.330 E002.07.16.739
N048.45.22.535 E002.07.16.734
N048.45.21.489 E002.07.11.700
N048.45.22.781 E002.07.05.658
N048.45.22.530 E002.07.04.522
N048.45.21.964 E002.07.03.202
N048.45.22.187 E002.07.01.813
N048.45.21.466 E002.06.56.910
N048.45.19.868 E002.06.49.890
N048.45.20.185 E002.06.47.862
N048.45.21.098 E002.06.46.421
N048.45.22.118 E002.06.45.742
N048.45.22.959 E002.06.45.244
N048.45.22.815 E002.06.44.085
N048.45.16.624 E002.06.16.621
N048.45.12.326 E002.06.07.648
N048.45.05.011 E002.05.35.105
N048.45.04.645 E002.05.31.748
N048.45.04.764 E002.05.28.560
N048.45.04.232 E002.05.24.602


 COLOR_HardSurface4
 N048.44.57.356 E002.05.59.702
N048.44.58.808 E002.05.58.879
N048.44.58.091 E002.05.55.386
N048.44.56.381 E002.06.00.575
N048.44.56.787 E002.06.00.114


 COLOR_HardSurface4
 N048.45.01.836 E002.05.46.453
N048.45.03.908 E002.05.55.703
N048.45.04.812 E002.05.55.229
N048.45.02.741 E002.05.45.949


 COLOR_RunwayGrass
 N048.44.55.949 E002.06.28.379
N048.44.58.833 E002.06.34.023
N048.45.00.388 E002.06.32.240
N048.44.57.496 E002.06.26.665


 COLOR_HardSurface2
 N048.44.57.330 E002.05.50.234
N048.44.57.108 E002.05.50.161
N048.44.56.812 E002.05.50.118
N048.44.56.525 E002.05.50.105
N048.44.56.388 E002.05.50.103
N048.44.56.249 E002.05.50.125
N048.44.56.098 E002.05.50.167
N048.44.55.883 E002.05.50.235
N048.44.55.405 E002.05.50.459
N048.44.55.024 E002.05.50.777
N048.44.54.705 E002.05.51.117
N048.44.54.577 E002.05.51.297
N048.44.54.355 E002.05.51.635
N048.44.54.150 E002.05.52.015
N048.44.53.959 E002.05.52.532
N048.44.53.805 E002.05.53.025
N048.44.53.725 E002.05.53.422
N048.44.53.656 E002.05.53.842
N048.44.53.620 E002.05.54.437
N048.44.53.616 E002.05.54.990
N048.44.53.641 E002.05.55.914
N048.44.53.693 E002.05.58.136
N048.44.53.709 E002.05.58.649
N048.44.53.696 E002.05.58.791
N048.44.53.657 E002.05.58.931
N048.44.53.587 E002.05.59.091
N048.44.53.480 E002.05.59.238
N048.44.53.389 E002.05.59.315
N048.44.53.279 E002.05.59.359
N048.44.53.110 E002.05.59.361
N048.44.53.121 E002.05.59.817
N048.44.53.277 E002.05.59.811
N048.44.53.349 E002.05.59.820
N048.44.53.425 E002.05.59.853
N048.44.53.490 E002.05.59.897
N048.44.53.556 E002.05.59.978
N048.44.53.618 E002.06.00.069
N048.44.53.677 E002.06.00.181
N048.44.53.725 E002.06.00.311
N048.44.53.755 E002.06.00.448
