N048.44.56.166 E002.06.32.002 A
N048.44.55.031 E002.06.29.789 B
N048.44.54.133 E002.06.27.719 C
N048.44.53.460 E002.06.24.052 D
N048.45.13.630 E002.06.51.522 E
N048.45.04.680 E002.06.54.515 E1
N048.45.01.408 E002.07.01.773 E1
N048.44.59.389 E002.07.07.869 E2
N048.44.59.487 E002.06.54.170 E3
N048.44.59.855 E002.07.00.708 E4
N048.45.04.548 E002.06.53.021 E4
N048.45.00.845 E002.07.01.464 EH
N048.44.53.430 E002.06.15.420 F
N048.44.59.880 E002.06.23.846 H1
N048.44.56.596 E002.06.16.113 H2
N048.45.04.891 E002.06.42.674 S
N048.44.59.833 E002.06.36.166 S
N048.44.54.556 E002.06.25.635 S
N048.44.54.282 E002.06.12.535 S
N048.45.04.612 E002.06.36.425 S1
N048.44.53.387 E002.06.12.552 S2
N048.44.52.523 E002.06.20.223 S2
N048.44.52.704 E002.06.26.629 S2
N048.44.56.661 E002.06.34.638 S2
N048.44.54.059 E002.06.01.972 W
N048.44.54.603 E002.05.58.041 W
N048.45.00.661 E002.05.53.399 W
N048.44.56.060 E002.06.04.000 W1
N048.44.50.768 E002.06.08.178 W2
N048.44.50.114 E002.05.59.679 W3
