COLOR_Terrain2
N048.41.10.190 E002.27.44.469
N048.46.10.885 E002.27.45.084
N048.46.11.929 E002.16.01.663
N048.41.16.807 E002.16.03.445

COLOR_GrasSurface3
N048.43.12.145 E002.19.02.692
N048.43.09.502 E002.19.01.983
N048.43.06.392 E002.19.04.053
N048.43.05.115 E002.19.09.867
N048.43.32.672 E002.20.28.035
N048.43.21.086 E002.21.09.034
N048.43.22.629 E002.21.20.390
N048.43.14.257 E002.21.24.342
N048.43.10.364 E002.21.34.361
N048.43.20.607 E002.22.29.298
N048.43.12.720 E002.22.25.520
N048.43.04.672 E002.22.31.713
N048.43.03.780 E002.22.36.465
N048.43.23.617 E002.22.46.253
N048.43.38.490 E002.24.06.552
N048.43.41.890 E002.24.05.425
N048.43.45.173 E002.23.57.871
N048.43.41.908 E002.23.04.656
N048.43.40.220 E002.22.54.595
N048.44.16.304 E002.23.12.649
N048.44.19.240 E002.23.00.949
N048.44.32.937 E002.22.57.216
N048.44.32.606 E002.22.17.802
N048.44.24.009 E002.22.18.099
N048.44.23.865 E002.22.23.254
N048.44.32.187 E002.22.23.432
N048.44.32.579 E002.22.57.036
N048.44.28.705 E002.22.58.029
N048.44.28.113 E002.22.53.812
N048.44.22.458 E002.22.54.852
N048.44.20.707 E002.22.59.967
N048.44.18.196 E002.23.00.497
N048.44.17.111 E002.22.57.581
N048.43.41.715 E002.22.39.782
N048.43.31.598 E002.21.34.535
N048.43.49.270 E002.21.30.485
N048.43.56.462 E002.21.40.144
N048.44.00.543 E002.21.38.593
N048.44.04.448 E002.21.39.567
N048.44.06.734 E002.21.35.640

COLOR_HardSurface3
N048.43.29.753 E002.22.15.407
N048.43.30.503 E002.22.19.390
N048.43.30.519 E002.22.19.805
N048.43.30.482 E002.22.20.157
N048.43.30.434 E002.22.20.378
N048.43.30.084 E002.22.21.326
N048.43.30.062 E002.22.21.487
N048.43.30.078 E002.22.21.712
N048.43.30.233 E002.22.22.623
N048.43.30.352 E002.22.22.925
N048.43.30.454 E002.22.23.113
N048.43.30.512 E002.22.23.302
N048.43.30.823 E002.22.24.880
N048.43.30.949 E002.22.25.194
N048.43.31.143 E002.22.25.478
N048.43.31.318 E002.22.25.858
N048.43.31.393 E002.22.26.218
N048.43.31.660 E002.22.27.833
N048.43.32.314 E002.22.31.045
N048.43.32.778 E002.22.30.827
N048.43.32.225 E002.22.27.675
N048.43.32.939 E002.22.25.763
N048.43.31.306 E002.22.24.602
N048.43.30.931 E002.22.20.462
N048.43.31.364 E002.22.18.490
N048.43.30.194 E002.22.15.971
N048.43.31.772 E002.22.15.358
N048.43.31.612 E002.22.14.615

COLOR_HardSurface3
N048.43.24.387 E002.21.48.779
N048.43.24.104 E002.21.48.954
N048.43.23.883 E002.21.49.114
N048.43.23.660 E002.21.49.322
N048.43.23.867 E002.21.50.756
N048.43.24.425 E002.21.51.739
N048.43.24.757 E002.21.52.687
N048.43.27.082 E002.22.05.582
N048.43.27.590 E002.22.05.391
N048.43.27.744 E002.22.05.362
N048.43.27.988 E002.22.05.450
N048.43.28.146 E002.22.05.682
N048.43.28.511 E002.22.06.271
N048.43.28.818 E002.22.06.569
N048.43.29.293 E002.22.06.992
N048.43.29.463 E002.22.07.100
N048.43.29.564 E002.22.07.253
N048.43.29.891 E002.22.08.988
N048.43.30.323 E002.22.08.805
N048.43.29.986 E002.22.06.323
N048.43.28.105 E002.22.04.723
N048.43.25.090 E002.21.48.962
N048.43.24.655 E002.21.48.641

COLOR_HardSurface3
N048.43.20.090 E002.21.29.825
N048.43.22.851 E002.21.44.402
N048.43.24.621 E002.21.43.588
N048.43.24.522 E002.21.42.928
N048.43.23.071 E002.21.41.344
N048.43.23.687 E002.21.39.377
N048.43.22.537 E002.21.37.736
N048.43.23.249 E002.21.35.910
N048.43.21.907 E002.21.34.748
N048.43.22.427 E002.21.32.714
N048.43.21.167 E002.21.30.722
N048.43.21.912 E002.21.29.084

COLOR_HardSurface3
N048.43.28.041 E002.20.58.661
N048.43.27.023 E002.21.06.473
N048.43.27.085 E002.21.06.888
N048.43.27.022 E002.21.06.918
N048.43.27.157 E002.21.07.522
N048.43.36.365 E002.21.03.533
N048.43.36.241 E002.21.02.846
N048.43.35.416 E002.21.02.830
N048.43.35.153 E002.21.02.846
N048.43.34.834 E002.21.02.971
N048.43.30.315 E002.21.04.882
N048.43.30.127 E002.21.04.972
N048.43.29.940 E002.21.05.136
N048.43.29.733 E002.21.05.359
N048.43.29.685 E002.21.05.321
N048.43.29.605 E002.21.05.179
N048.43.29.524 E002.21.04.943
N048.43.29.291 E002.21.03.577
N048.43.29.471 E002.21.03.231
N048.43.34.866 E002.21.00.991
N048.43.33.602 E002.20.54.074
N048.43.33.466 E002.20.54.134
N048.43.33.282 E002.20.53.190
N048.43.33.124 E002.20.53.249
N048.43.32.904 E002.20.52.052
