N048.46.26.842 E002.11.22.821 09
N048.46.28.478 E002.12.48.429 27
N048.46.23.363 E002.12.41.444 A
N048.46.17.734 E002.12.20.243 A
N048.46.19.146 E002.11.50.921 B
N048.46.21.553 E002.11.35.331 C
N048.46.15.057 E002.12.09.792 D
N048.46.12.193 E002.12.08.239 E
N048.46.02.270 E002.12.27.720 E
N048.46.13.165 E002.12.12.353 F
N048.46.14.341 E002.11.55.821 G
N048.46.07.743 E002.11.37.349 H1
N048.46.06.771 E002.12.15.457 X
N048.46.05.953 E002.12.11.344 X
N048.45.57.155 E002.12.37.655 X
N048.45.58.792 E002.12.25.625 X
N048.45.51.886 E002.12.39.052 X
