N048.50.25.414 E001.58.35.672 05
N048.50.40.569 E001.59.05.215 23
N048.50.34.663 E001.58.36.594 10
N048.50.29.697 E001.59.07.350 28
N048.50.24.375 E001.58.37.030 A1
N048.50.25.998 E001.58.41.105 A
N048.50.27.913 E001.58.43.774 A2
N048.50.28.886 E001.58.46.733 A
N048.50.30.184 E001.58.48.188 A3
N048.50.30.476 E001.58.50.565 B3
N048.50.29.308 E001.58.54.737 B
N048.50.29.113 E001.58.58.715 B4
N048.50.28.010 E001.59.02.741 B
N048.50.27.750 E001.59.07.301 B5
N048.50.33.040 E001.58.59.540 N2
N048.50.33.429 E001.58.56.241 N1
N048.50.35.052 E001.58.57.405 A4
N048.50.37.064 E001.59.02.596 A
N048.50.39.757 E001.59.06.574 A5
N048.50.31.028 E001.58.43.434 S1
N048.50.30.152 E001.58.41.979 S2
N048.50.32.002 E001.58.41.591 B2
N048.50.32.066 E001.58.38.001 B
N048.50.33.008 E001.58.35.284 B1
N048.50.26.215 E001.58.48.306 T
N048.50.25.002 E001.58.51.867 AVT
