COLOR_GrasSurface 
N048.48.37.275 E002.04.27.495
N048.48.39.023 E002.04.27.134
N048.48.39.758 E002.04.26.855
N048.48.41.236 E002.04.26.199
N048.48.44.084 E002.04.25.180
N048.48.44.984 E002.04.24.570
N048.48.48.125 E002.04.13.655
N048.48.49.356 E002.04.14.395
N048.48.52.379 E002.04.04.193
N048.48.53.364 E002.04.05.004
N048.48.57.109 E002.03.52.612
N048.48.58.428 E002.03.48.161
N048.48.57.803 E002.03.47.277
N048.48.54.301 E002.03.42.640
N048.48.51.488 E002.03.38.951
N048.48.49.654 E002.03.36.540
N048.48.47.232 E002.03.41.473
N048.48.46.708 E002.03.42.495
N048.48.46.134 E002.03.42.548
N048.48.45.331 E002.03.42.620
N048.48.44.689 E002.03.42.694
N048.48.44.127 E002.03.42.810
N048.48.43.685 E002.03.43.033
N048.48.43.278 E002.03.43.395
N048.48.42.703 E002.03.44.160
N048.48.40.558 E002.03.48.188
N048.48.39.977 E002.03.49.471
N048.48.39.125 E002.03.51.697
N048.48.39.006 E002.03.52.192
N048.48.38.942 E002.03.52.543
N048.48.38.912 E002.03.52.861
N048.48.38.894 E002.03.53.788
N048.48.38.839 E002.03.54.895
N048.48.38.750 E002.03.55.790
N048.48.38.631 E002.03.56.904
N048.48.38.556 E002.03.58.038
N048.48.38.513 E002.03.58.568
N048.48.38.358 E002.03.59.062
N048.48.38.038 E002.03.59.811
N048.48.37.362 E002.04.01.115
N048.48.36.959 E002.04.01.686
N048.48.36.576 E002.04.02.217
N048.48.36.105 E002.04.03.423
N048.48.35.582 E002.04.02.864
N048.48.35.258 E002.04.02.597
N048.48.34.792 E002.04.02.314
N048.48.34.544 E002.04.02.335
N048.48.34.297 E002.04.02.514
N048.48.33.992 E002.04.02.934
N048.48.33.381 E002.04.04.308
N048.48.32.985 E002.04.05.405
N048.48.32.596 E002.04.06.674
N048.48.32.209 E002.04.07.704
N048.48.31.836 E002.04.08.573
N048.48.31.565 E002.04.09.250
N048.48.31.362 E002.04.09.788
N048.48.31.402 E002.04.09.897
N048.48.31.932 E002.04.10.532
N048.48.32.580 E002.04.11.173
N048.48.27.859 E002.04.21.585
N048.48.27.668 E002.04.21.977
N048.48.26.113 E002.04.20.238
N048.48.23.632 E002.04.25.876
N048.48.24.179 E002.04.30.148
N048.48.26.643 E002.04.32.204
N048.48.33.250 E002.04.37.318
N048.48.33.841 E002.04.34.608
N048.48.34.443 E002.04.31.871
N048.48.34.957 E002.04.27.218
N048.48.35.819 E002.04.27.484

COLOR_HardSurface2
N048.48.32.745 E002.04.23.739
N048.48.32.591 E002.04.23.650
N048.48.32.452 E002.04.23.551
N048.48.32.349 E002.04.23.413
N048.48.32.319 E002.04.23.332
N048.48.32.289 E002.04.23.215
N048.48.32.300 E002.04.23.049
N048.48.35.587 E002.04.16.396
N048.48.35.339 E002.04.16.166
N048.48.35.237 E002.04.16.400
N048.48.33.943 E002.04.19.041
N048.48.33.105 E002.04.20.733
N048.48.32.986 E002.04.20.920
