N048.48.26.080 E002.04.31.040 E2
N048.48.30.002 E002.04.25.082 E1
N048.48.32.043 E002.04.21.036 G
N048.48.35.062 E002.04.07.054 F
N048.48.39.039 E002.03.58.086 K7
N048.48.40.063 E002.03.54.054 K5
N048.48.43.010 E002.03.46.014 K3
N048.48.42.056 E002.03.52.011 K4
N048.48.36.036 E002.04.26.003 B
N048.48.34.067 E002.04.24.047 A
N048.48.46.009 E002.03.59.085 C
N048.48.42.062 E002.03.57.069 D
N048.48.38.096 E002.04.23.086 C5
N048.48.42.050 E002.04.11.072 C4
N048.48.44.058 E002.04.04.058 C3
N048.48.37.023 E002.03.55.003 C2
N048.48.39.092 E002.04.09.093 D4
N048.48.41.078 E002.04.03.005 D3
N048.48.44.043 E002.03.53.032 D2
N048.48.46.058 E002.03.44.005 D1
N048.48.49.088 E002.04.46.025 C1
N048.48.52.096 E002.03.57.017 K2
N048.48.54.045 E002.03.51.026 K1
