

 COLOR_GrasSurface
 N050.34.01.541 E003.05.09.482
N050.33.59.277 E003.05.02.913
N050.33.59.085 E003.05.01.924
N050.33.58.947 E003.05.01.083
N050.33.58.277 E003.04.56.922
N050.33.58.181 E003.04.56.416
N050.33.57.947 E003.04.55.650
N050.33.57.704 E003.04.54.982
N050.33.57.429 E003.04.54.253
N050.33.57.262 E003.04.53.805
N050.33.57.136 E003.04.53.436
N050.33.57.530 E003.04.52.289
N050.33.54.289 E003.04.42.822
N050.33.53.663 E003.04.40.274
N050.33.53.651 E003.04.39.966
N050.33.54.111 E003.04.40.025
N050.33.54.308 E003.04.39.771
N050.33.53.782 E003.04.32.193
N050.33.53.748 E003.04.31.884
N050.33.53.707 E003.04.31.702
N050.33.53.643 E003.04.31.576
N050.33.53.541 E003.04.31.445
N050.33.53.442 E003.04.31.360
N050.33.53.297 E003.04.31.327
N050.33.53.158 E003.04.31.312
N050.33.53.041 E003.04.31.314
N050.33.52.839 E003.04.31.383
N050.33.52.446 E003.04.31.512
N050.33.52.180 E003.04.31.586
N050.33.51.972 E003.04.31.662
N050.33.51.792 E003.04.31.764
N050.33.51.603 E003.04.31.912
N050.33.51.407 E003.04.32.109
N050.33.51.234 E003.04.32.306
N050.33.51.059 E003.04.32.451
N050.33.50.858 E003.04.32.534
N050.33.50.662 E003.04.32.546
N050.33.50.426 E003.04.32.529
N050.33.50.093 E003.04.32.464
N050.33.48.802 E003.04.32.183
N050.33.46.444 E003.04.31.658
N050.33.43.240 E003.04.30.918
N050.33.43.039 E003.04.31.187
N050.33.42.899 E003.04.31.171
N050.33.42.666 E003.04.30.817
N050.33.42.373 E003.04.30.728
N050.33.42.094 E003.04.30.669
N050.33.41.865 E003.04.30.608
N050.33.41.634 E003.04.30.596
N050.33.40.239 E003.04.31.887
N050.33.38.232 E003.04.33.747
N050.33.35.868 E003.04.35.933
N050.33.34.645 E003.04.37.072
N050.33.34.654 E003.04.37.335
N050.33.33.969 E003.04.37.454
N050.33.33.772 E003.04.37.511
N050.33.33.478 E003.04.37.629
N050.33.33.201 E003.04.37.746
N050.33.32.925 E003.04.37.869
N050.33.32.666 E003.04.38.004
N050.33.32.513 E003.04.38.093
N050.33.33.878 E003.04.48.526
N050.33.34.810 E003.04.55.533
N050.33.35.204 E003.04.58.588
N050.33.28.655 E003.04.56.009
N050.33.25.864 E003.05.08.741
N050.33.25.605 E003.05.09.183
N050.33.26.048 E003.05.11.710
N050.33.32.558 E003.05.15.155
N050.33.32.398 E003.05.22.444
N050.33.32.410 E003.05.22.768
N050.33.32.472 E003.05.23.243
N050.33.33.185 E003.05.26.993
N050.33.33.462 E003.05.28.185
N050.33.34.082 E003.05.30.312
N050.33.34.458 E003.05.31.579
N050.33.35.424 E003.05.34.294
N050.33.33.347 E003.05.35.898
N050.33.34.269 E003.05.37.728
N050.33.34.463 E003.05.38.433
