N050.34.19.210 E003.06.55.379 Fret
N050.34.18.354 E003.06.21.373 Terminal
N050.34.08.096 E003.05.42.955 Aviation Generale
N050.34.26.242 E003.05.38.970 H
N050.34.23.110 E003.05.40.522 Parking E
N050.34.13.082 E003.06.07.961 B01
N050.34.13.425 E003.06.10.270 B02
N050.34.13.721 E003.06.12.362 B03
N050.34.14.040 E003.06.14.418 B04
N050.34.14.383 E003.06.16.546 B06
N050.34.15.046 E003.06.19.504 B07
N050.34.15.271 E003.06.21.254 B08
N050.34.15.448 E003.06.22.390 B09
N050.34.15.862 E003.06.24.248 B10
N050.34.16.051 E003.06.25.871 B11
N050.34.16.241 E003.06.27.007 B12
N050.34.16.477 E003.06.28.667 B13
N050.34.16.631 E003.06.29.767 B14
N050.34.16.300 E003.06.30.759 B15
N050.34.16.761 E003.06.32.274 B16
N050.34.16.880 E003.06.33.085 B17
N050.34.07.778 E003.05.53.081 C1W
N050.34.07.447 E003.05.53.208 C1E
N050.34.06.974 E003.05.53.316 C2W
N050.34.06.690 E003.05.53.460 C2E
N050.34.06.193 E003.05.53.604 C3W
N050.34.05.921 E003.05.53.731 C3E
N050.34.05.448 E003.05.53.893 C4W
N050.34.05.140 E003.05.54.019 C4E
N050.34.04.632 E003.05.54.182 C5W
N050.34.04.371 E003.05.54.308 C5E
N050.34.07.282 E003.05.50.322 C6W
N050.34.06.974 E003.05.50.448 C6E
N050.34.06.359 E003.05.50.665 C7W
N050.34.06.075 E003.05.50.809 C7E
N050.34.05.495 E003.05.50.971 C8W
N050.34.05.140 E003.05.51.116 C8E
N050.34.04.572 E003.05.51.242 C9W
N050.34.04.217 E003.05.51.422 C9E
N050.34.05.389 E003.05.47.167 C10
N050.34.04.991 E003.05.44.267 C11
N050.34.03.647 E003.05.42.969 C12
N050.34.04.613 E003.05.41.309 C13
N050.34.14.305 E003.06.53.454 D01W
N050.34.14.635 E003.06.53.757 D01E
N050.34.14.926 E003.06.53.232 D02W
N050.34.15.274 E003.06.53.557 D02E
N050.34.15.589 E003.06.53.003 D03W
N050.34.15.904 E003.06.53.350 D03E
N050.34.13.680 E003.06.56.497 D04W
N050.34.14.286 E003.06.57.266 D04E
N050.34.14.664 E003.06.56.157 D05W
N050.34.15.231 E003.06.56.985 D05E
N050.34.15.652 E003.06.55.825 D06W
N050.34.16.258 E003.06.56.608 D06E
N050.34.15.638 E003.06.59.282 D07W
N050.34.16.733 E003.07.00.546 D07E
