N050.34.09.446 E003.06.41.744 P2
N050.34.03.354 E003.06.02.458 P3
N050.34.00.014 E003.05.34.938 P4
N050.33.58.119 E003.05.21.521 P5
N050.34.07.822 E003.06.55.298 T2
N050.34.03.715 E003.06.25.782 T3
N050.33.57.668 E003.05.42.919 T4
N050.33.55.501 E003.05.27.989 T5
N050.34.12.651 E003.06.56.950 V1
N050.34.08.634 E003.06.24.613 V2
N050.34.06.423 E003.06.09.958 V3
N050.34.02.045 E003.05.48.010 V4
N050.34.01.278 E003.05.42.506 V5
N050.34.23.721 E003.05.30.615 V6
N050.34.25.292 E003.05.31.178 V7
N050.34.23.097 E003.05.35.018 V8
N050.34.25.338 E003.05.32.552 E
N050.34.23.028 E003.05.32.693 F
